ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_success_in_play,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,82564afe-12d6-4411-873b-6ad0fa65ea38,1,,,3754107,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Aston Villa,59,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 12608, 'name': 'Bradley Guzan'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 9533, 'name': 'Leandro Bacuna'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 7}, {'player': {'id': 42700, 'name': 'Micah Richards'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 3041, 'name': 'Ciaran Clark'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 4347, 'name': 'Jordan Amavi'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 23}, {'player': {'id': 3583, 'name': 'Ashley Westwood'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 7153, 'name': 'Jordan Veretout'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 17}, {'player': {'id': 3436, 'name': 'Idrissa Gana Gueye'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 3450, 'name': 'Jordan Ayew'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 19}, {'player': {'id': 11117, 'name': 'Scott Sinclair'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 9}, {'player': {'id': 42699, 'name': 'Gabriel Imuetinyan Agbonlahor'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",Aston Villa,59,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,6b4fc606-bde3-4f86-bd72-cf0c43fc277f,2,,,3754107,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Aston Villa,59,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 4892, 'name': 'Sergio Germán Romero'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 20}, {'player': {'id': 4587, 'name': 'Matteo Darmian'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 36}, {'player': {'id': 10958, 'name': 'Chris Smalling'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 12}, {'player': {'id': 3311, 'name': 'Daley Blind'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 17}, {'player': {'id': 3382, 'name': 'Luke Shaw'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 23}, {'player': {'id': 4751, 'name': 'Michael Carrick'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 3600, 'name': 'Morgan Schneiderlin'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 28}, {'player': {'id': 3294, 'name': 'Juan Manuel Mata García'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 8}, {'player': {'id': 6330, 'name': 'Adnan Januzaj'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 11}, {'player': {'id': 2988, 'name': 'Memphis Depay'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 3538, 'name': 'Wayne Mark Rooney'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Manchester United,39,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,906abc2f-1bfd-4d4f-b081-0fe4803a6ef5,3,,,3754107,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Aston Villa,59,['cb83c430-4369-4cea-a2d0-95acc11675bf'],0,,,,,,,,,,,,,,,,,,Manchester United,39,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,cb83c430-4369-4cea-a2d0-95acc11675bf,4,,,3754107,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Aston Villa,59,['906abc2f-1bfd-4d4f-b081-0fe4803a6ef5'],0,,,,,,,,,,,,,,,,,,Aston Villa,59,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,06980fe6-c78b-4614-a803-395aa8bcaa44,1895,,,3754107,45,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,92,Manchester United,39,['0379cd12-6a56-4020-90ab-a10e2a4bf229'],0,,,,,,,,,,,,,,,,,,Manchester United,39,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0379cd12-6a56-4020-90ab-a10e2a4bf229,1896,,,3754107,45,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,92,Manchester United,39,['06980fe6-c78b-4614-a803-395aa8bcaa44'],0,,,,,,,,,,,,,,,,,,Aston Villa,59,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.276929,,,,,,,,,,,,,,6f82d2d6-3ea8-4aef-b61f-1ed0bf6cc4a7,5,,"[61.0, 40.1]",3754107,0,,,,1.815775,,Left Foot,,,"[60.4, 42.5]",,Ground Pass,,2.4738634,,,Wayne Mark Rooney,3538.0,,,,,Kick Off,1,From Kick Off,Adnan Januzaj,6330.0,Center Attacking Midfield,2,Manchester United,39,['38100685-5f12-4d20-9444-8dca2c6a1fdf'],0,,,,,,,,,,,,,,,,,,Manchester United,39,00:00:00.065,Pass,
,,,,,,,,,,,,,,,0.457489,,,,,,,,,,,,,,cff5bca6-e804-4afc-8f62-01233b382336,8,,"[59.5, 42.4]",3754107,0,,,,-2.8037145,,Right Foot,,,"[55.8, 41.1]",,Ground Pass,,3.9217343,,,Michael Carrick,4751.0,,,,,,1,From Kick Off,Wayne Mark Rooney,3538.0,Center Forward,2,Manchester United,39,['ac0cb56a-44be-4c4a-aba8-33f35bebf847'],0,,,,,,,,,,,,,,,,,,Manchester United,39,00:00:00.446,Pass,
,,,,,,,,,,,,,,,1.902843,,,,,,,,,,,,,,e14894cc-7b01-4920-8f6b-20bddaf18091,11,,"[55.8, 41.1]",3754107,0,,,,-1.8358849,,Right Foot,,,"[47.9, 12.0]",,Ground Pass,,30.153275,,,Luke Shaw,3382.0,,,,,,1,From Kick Off,Michael Carrick,4751.0,Right Defensive Midfield,2,Manchester United,39,['95d904a6-c3f9-4374-9fa5-5917326e93a7'],1,,,,,,,,,,,,,,,,,,Manchester United,39,00:00:01.496,Pass,
,,,,,,,,,,,,,,,1.362038,,,,,,,,,,,,,,067d8369-09ae-445e-9c83-9198b8182e20,14,,"[48.7, 10.8]",3754107,0,,,,2.6397343,,Left Foot,,,"[29.2, 21.5]",,Ground Pass,,22.242752,,,Daley Blind,3311.0,,,,,,1,From Kick Off,Luke Shaw,3382.0,Left Back,2,Manchester United,39,['64a779d4-38d2-4134-9008-258cec62e8da'],5,,,,,,,,,,,,,,,,,,Manchester United,39,00:00:05.032,Pass,
,,,,,,,,,,,,,,,1.575849,,,,,,,,,,,,,,d2de5b9b-a5ef-4f96-b41c-b679e757186b,17,,"[39.5, 18.7]",3754107,0,,,,-0.6259991,,Left Foot,,,"[60.8, 3.3]",,Ground Pass,,26.284025,,,Memphis Depay,2988.0,,,,,,1,From Kick Off,Daley Blind,3311.0,Left Center Back,2,Manchester United,39,['7042cd95-a68c-4bdb-b68b-f3cb21cc610c'],9,,,,,,,,,,,,,,,,,,Manchester United,39,00:00:09.800,Pass,
,,,,,,,,,,,,,,,1.306916,,,,,,,,,,,,,,6a6c3f0c-b58d-456f-817b-b64b3a3ac7f8,21,,"[50.4, 8.3]",3754107,0,,,,2.717673,,Right Foot,,,"[30.9, 17.1]",,Ground Pass,,21.39369,,,Daley Blind,3311.0,,,,,,1,From Kick Off,Memphis Depay,2988.0,Left Wing,2,Manchester United,39,['71a26080-1e32-4877-91c9-199c853c1828'],13,,,,,,,,,,,,,,,,,,Manchester United,39,00:00:13.432,Pass,
,,,,,,,,,,,,,,,2.092117,,,,,,,,,,,,,,16461699-a746-452d-8971-8c62f9ac67bd,24,,"[26.2, 19.0]",3754107,0,,,,1.5286667,,Left Foot,,,"[28.0, 61.7]",,Ground Pass,,42.737923,,,Chris Smalling,10958.0,,True,,,,1,From Kick Off,Daley Blind,3311.0,Left Center Back,2,Manchester United,39,['39fdd95e-ab87-489b-a835-0b6b756cd629'],16,,,,,,,,,,,,,,,,,,Manchester United,39,00:00:16.161,Pass,
,,,,,,,,,,,,,,,3.069017,,,,,,,,,,,,,,516f0f5b-dfad-47cf-9943-2abeaa2b40e2,27,,"[40.1, 66.2]",3754107,0,,,,-0.1269728,,Right Foot,,,"[96.5, 59.0]",,High Pass,,56.857716,Incomplete,,Adnan Januzaj,6330.0,,,,,,1,From Kick Off,Chris Smalling,10958.0,Right Center Back,2,Manchester United,39,"['202e6aaa-eefb-452a-8c15-837fb6ec5425', '70813335-3a4d-4476-bec0-e3c5f198848b']",22,,,,,,,,,,,,,,,,,,Manchester United,39,00:00:22.084,Pass,
,,,,,,,,,,,,,,,0.96217,,,,,,,,,,,,,,0e8172a1-1e51-47de-9f14-49b42d78dc92,33,,"[92.1, 73.2]",3754107,0,,,,-2.6563656,,Left Foot,,,"[81.1, 67.4]",,Ground Pass,,12.435433,,,Michael Carrick,4751.0,,,,,,1,From Kick Off,Juan Manuel Mata García,3294.0,Right Wing,2,Manchester United,39,['b611bf70-f9c7-4557-a0ba-ae920c65eadd'],29,,,,,,,,,,,,,,,,,,Manchester United,39,00:00:29.244,Pass,
,,,,,,,,,,,,,,,0.979508,,,,,,,,,,,,,,2d6fc9a3-19a0-45b3-ab48-2e4c60f08387,36,,"[81.1, 67.4]",3754107,0,,,,0.9212469,,Left Foot,,,"[87.1, 75.3]",,Ground Pass,,9.920181,,,Juan Manuel Mata García,3294.0,,,,,,1,From Kick Off,Michael Carrick,4751.0,Right Defensive Midfield,2,Manchester United,39,['2ad0fd68-4928-4eb6-8e20-65b796383c64'],30,,,,,,,,,,,,,,,,,,Manchester United,39,00:00:30.287,Pass,
