ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0ec89e22-ea30-42b2-b4ea-0b61f2ac821b,1,,,3754068,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Aston Villa,59,,0,,,,,,,,,,,,,,,"{'formation': 4411, 'lineup': [{'player': {'id': 12608, 'name': 'Bradley Guzan'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 9642, 'name': 'Alan Hutton'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 21}, {'player': {'id': 42700, 'name': 'Micah Richards'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 20285, 'name': 'Joleon Lescott'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 16}, {'player': {'id': 4347, 'name': 'Jordan Amavi'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 23}, {'player': {'id': 3583, 'name': 'Ashley Westwood'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 5685, 'name': 'Carlos Alberto Sánchez Moreno'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 24}, {'player': {'id': 6800, 'name': 'Carles Gil de Pareja Vicent'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 25}, {'player': {'id': 9638, 'name': 'Jack Grealish'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 40}, {'player': {'id': 11117, 'name': 'Scott Sinclair'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 9}, {'player': {'id': 42699, 'name': 'Gabriel Imuetinyan Agbonlahor'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",Aston Villa,59,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,77cdec01-9871-46ad-b683-5e9a851f51fb,2,,,3754068,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Aston Villa,59,,0,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 5108, 'name': 'Glyn Oliver Myhill'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 3523, 'name': 'Craig Dawson'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 25}, {'player': {'id': 3596, 'name': 'Gareth McAuley'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 23}, {'player': {'id': 11012, 'name': 'Jonathan Grant Evans'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 3541, 'name': 'Chris Brunt'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 11}, {'player': {'id': 3967, 'name': 'Claudio Ariel Yacob'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 4022, 'name': 'Darren Fletcher'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 24}, {'player': {'id': 3490, 'name': 'James Morrison'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 3514, 'name': 'James McClean'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 14}, {'player': {'id': 4630, 'name': 'Saido Berahino'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 18}, {'player': {'id': 4041, 'name': 'José Salomón Rondón Giménez'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 33}]}",West Bromwich Albion,27,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,30dacab6-a169-47e3-ae77-bb46abdb9b31,3,,,3754068,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Aston Villa,59,['d2686ac1-e133-4e6d-a1f9-c542bfe232a8'],0,,,,,,,,,,,,,,,,West Bromwich Albion,27,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,d2686ac1-e133-4e6d-a1f9-c542bfe232a8,4,,,3754068,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Aston Villa,59,['30dacab6-a169-47e3-ae77-bb46abdb9b31'],0,,,,,,,,,,,,,,,,Aston Villa,59,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,d68df79f-8aeb-48a8-a8c4-50b75701bca4,1550,,,3754068,45,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,87,West Bromwich Albion,27,['d86019c7-e538-4521-84b6-f9e85ca8822e'],0,,,,,,,,,,,,,,,,West Bromwich Albion,27,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,d86019c7-e538-4521-84b6-f9e85ca8822e,1551,,,3754068,45,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,87,West Bromwich Albion,27,['d68df79f-8aeb-48a8-a8c4-50b75701bca4'],0,,,,,,,,,,,,,,,,Aston Villa,59,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.652958,,,,,,,,,,,,e6f8cae0-e2c6-4d72-a400-933efd0877f6,5,,"[61.0, 40.1]",3754068,0,,,,,-1.4337301,,Right Foot,,,"[61.4, 37.2]",Ground Pass,,2.9274561,,,James Morrison,3490.0,,,,,Kick Off,1,From Kick Off,José Salomón Rondón Giménez,4041.0,Center Forward,2,West Bromwich Albion,27,['ea26b120-62cf-4ae8-a011-914432863348'],1,,,,,,,,,,,,,,,,West Bromwich Albion,27,00:00:01.799,Pass,
,,,,,,,,,,,,,,,2.3304,,,,,,,,,,,,6500aaba-8c0a-4f96-9d4a-d3c427cd66b0,8,,"[61.4, 37.2]",3754068,0,,,,,-1.8608832,,Right Foot,,,"[55.4, 17.1]",Ground Pass,,20.976416,,,Claudio Ariel Yacob,3967.0,,,,,,1,From Kick Off,James Morrison,3490.0,Left Center Midfield,2,West Bromwich Albion,27,['c11a86a7-946b-4461-b2e5-790e038b6f75'],3,,,,,,,,,,,,,,,,West Bromwich Albion,27,00:00:03.584,Pass,
,,,,,,,,,,,,,,,1.65214,,,,,,,,,,,,ea139756-8089-454e-9aea-8310e3225507,11,,"[52.4, 10.2]",3754068,0,,,,,2.7116625,,Right Foot,,,"[31.9, 19.6]",Ground Pass,,22.552383,,,Jonathan Grant Evans,11012.0,,,,,,1,From Kick Off,Claudio Ariel Yacob,3967.0,Center Defensive Midfield,2,West Bromwich Albion,27,['1edacd36-5da1-44cf-9376-f6fcb2747ec2'],7,,,,,,,,,,,,,,,,West Bromwich Albion,27,00:00:07.182,Pass,
,,,,,,,,,,,,,,,1.680788,,,,,,,,,,,,dc5bf454-d4e3-4b18-9d08-34cbef4d9778,14,,"[31.1, 20.1]",3754068,0,,,,,1.6718211,,Right Foot,,,"[27.4, 56.6]",Low Pass,,36.687054,,,Gareth McAuley,3596.0,,,,,,1,From Kick Off,Jonathan Grant Evans,11012.0,Left Center Back,2,West Bromwich Albion,27,['0fc1f6ef-4a38-4d03-a4b2-64e61d9cc4c5'],12,,,,,,,,,,,,,,,,West Bromwich Albion,27,00:00:12.972,Pass,
