50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,6d451c51-607f-451c-854f-66ed89761702,1,,,,3754339,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Stoke City,30,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3537, 'name': 'Jack Butland'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4724, 'name': 'Glen Johnson'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 8}, {'player': {'id': 3480, 'name': 'Geoff Cameron'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 20}, {'player': {'id': 40121, 'name': 'Philipp Wollscheid'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 26}, {'player': {'id': 3467, 'name': 'Erik Pieters'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 9625, 'name': 'Glenn Whelan'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 3636, 'name': 'Charlie Adam'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 3533, 'name': 'Xherdan Shaqiri'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 22}, {'player': {'id': 4913, 'name': 'Bojan Krkíc Pérez'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 27}, {'player': {'id': 3325, 'name': 'Marko Arnautović'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 3670, 'name': 'Jonathan Walters'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 19}]}",Stoke City,30,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,fa90c85a-8446-42e5-b313-10fae904e019,2,,,,3754339,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Stoke City,30,,0,,,,,,,,,,,,,,,,"{'formation': 4411, 'lineup': [{'player': {'id': 20074, 'name': 'Artur Boruc'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3608, 'name': 'Simon Francis'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 3341, 'name': 'Steve Cook'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 40218, 'name': 'Sylvain Distin'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 25}, {'player': {'id': 3345, 'name': 'Charlie Daniels'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 11}, {'player': {'id': 3344, 'name': 'Andrew Surman'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 3343, 'name': 'Dan Gosling'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 3049, 'name': 'Matt Ritchie'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 30}, {'player': {'id': 3646, 'name': 'Marc Pugh'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 7}, {'player': {'id': 4738, 'name': 'Lee Tomlin'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 24}, {'player': {'id': 3616, 'name': 'Callum Wilson'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 13}]}",AFC Bournemouth,28,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,6b7a8cef-c94f-4cab-8385-4f59fbdc357a,3,,,,3754339,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Stoke City,30,['307711de-e7b3-43a4-acb1-887df769f184'],0,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,307711de-e7b3-43a4-acb1-887df769f184,4,,,,3754339,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Stoke City,30,['6b7a8cef-c94f-4cab-8385-4f59fbdc357a'],0,,,,,,,,,,,,,,,,,Stoke City,30,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,5402bfce-0df6-4aa5-87e5-2847c820beb0,1551,,,,3754339,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,100,Stoke City,30,['6717e69f-73f3-4b09-affa-c99dd44bb9ca'],0,,,,,,,,,,,,,,,,,Stoke City,30,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,6717e69f-73f3-4b09-affa-c99dd44bb9ca,1552,,,,3754339,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,100,Stoke City,30,['5402bfce-0df6-4aa5-87e5-2847c820beb0'],0,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,1.042055,,,,,,,,,,,,1097cdc5-a81c-4086-a156-24335ec559f1,5,,,"[60.0, 40.0]",3754339,0,,,,,-1.735945,,Left Foot,,,,"[59.6, 37.6]",,Ground Pass,,2.433105,,,,Bojan Krkíc Pérez,4913.0,,,,,,Kick Off,1,From Kick Off,Jonathan Walters,3670.0,Center Forward,2,Stoke City,30,['ba3dd50b-5723-4cf7-9fc4-ba275b7bed71'],0,,,,,,,,,,,,,,,,,Stoke City,30,00:00:00.302,Pass,
,,,,,,,,,,,,,,,1.432138,,,,,,,,,,,,46e36218-d845-46da-8835-48ea31a3a96b,8,,,"[59.6, 37.3]",3754339,0,,,,,-2.1201015,,Right Foot,,,,"[46.5, 15.9]",,Ground Pass,,25.091234,,,,Erik Pieters,3467.0,,,,,,,1,From Kick Off,Bojan Krkíc Pérez,4913.0,Center Attacking Midfield,2,Stoke City,30,['8740a1b1-5714-49d4-8b45-e4bf74a4350e'],2,,,,,,,,,,,,,,,,,Stoke City,30,00:00:02.509,Pass,
,,,,,,,,,,,,,,,1.587336,,,,,,,,,,,,a95c1ad9-ff99-486d-9c98-c811323fedb6,11,,,"[48.0, 15.9]",3754339,0,,,,,2.5166295,,Left Foot,,,,"[34.0, 26.0]",,Ground Pass,,17.262966,,,,Philipp Wollscheid,40121.0,,,,,,,1,From Kick Off,Erik Pieters,3467.0,Left Back,2,Stoke City,30,['d1a4a5ac-03bd-42aa-be41-7a5f2b9545e1'],4,,,,,,,,,,,,,,,,,Stoke City,30,00:00:04.810,Pass,
,,,,,,,,,,,,,,,2.932442,,,,,,,,,,,,07141187-3b67-4077-9a16-5d413c378edd,14,,,"[34.4, 26.1]",3754339,0,,,,,1.4536875,,Right Foot,,,,"[38.8, 63.5]",,Ground Pass,,37.657932,,,,Geoff Cameron,3480.0,,,,,,,1,From Kick Off,Philipp Wollscheid,40121.0,Left Center Back,2,Stoke City,30,['fd56055a-3525-4947-bfa4-d142b18c2913'],7,,,,,,,,,,,,,,,,,Stoke City,30,00:00:07.477,Pass,
