50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,e1247c82-78f7-4b6c-8773-9870f40d8f67,1,,,3753980,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Everton,29,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 16309, 'name': 'Joel Robles Blázquez'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4589, 'name': 'Séamus Coleman'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 23}, {'player': {'id': 20046, 'name': 'Phil Jagielka'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 4629, 'name': 'José Ramiro Funes Mori'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 25}, {'player': {'id': 3518, 'name': 'Leighton Baines'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 3607, 'name': 'James McCarthy'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 16}, {'player': {'id': 3476, 'name': 'Muhamed Bešić'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 17}, {'player': {'id': 3953, 'name': 'Aaron Lennon'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 12}, {'player': {'id': 4275, 'name': 'Ross Barkley'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 20}, {'player': {'id': 3683, 'name': 'Tom Cleverley'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 15}, {'player': {'id': 3289, 'name': 'Romelu Lukaku Menama'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Everton,29,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,91b51f4d-10bc-49f2-83ed-bd6c98e873d6,2,,,3753980,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Everton,29,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 4276, 'name': 'David Ospina Ramírez'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 3511, 'name': 'Héctor Bellerín Moruno'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 24}, {'player': {'id': 6746, 'name': 'Gabriel Armando de Abreu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 3394, 'name': 'Laurent Koscielny'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 3498, 'name': 'Ignacio Monreal Eraso'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 3568, 'name': 'Mohamed Naser Elsayed Elneny'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 35}, {'player': {'id': 3437, 'name': 'Francis Joseph Coquelin'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 34}, {'player': {'id': 3385, 'name': 'Alexis Alejandro Sánchez Sánchez'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 17}, {'player': {'id': 3496, 'name': 'Mesut Özil'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 11}, {'player': {'id': 3647, 'name': 'Alex Iwobi'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 45}, {'player': {'id': 3569, 'name': 'Daniel Nii Tackie Mensah Welbeck'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 23}]}",Arsenal,1,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,19c81587-55d9-4f52-bf62-a7f4ab59b75c,3,,,3753980,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Everton,29,['4a2a93d0-4381-4bbf-a94e-d8443eb689f9'],0,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,4a2a93d0-4381-4bbf-a94e-d8443eb689f9,4,,,3753980,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Everton,29,['19c81587-55d9-4f52-bf62-a7f4ab59b75c'],0,,,,,,,,,,,,,,,,,,Everton,29,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,3d05095b-da66-4011-b489-cbbd7f08eafb,1967,,,3753980,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,83,Arsenal,1,['03735932-f0d9-4385-afa1-6cc2bcf1c056'],0,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,03735932-f0d9-4385-afa1-6cc2bcf1c056,1968,,,3753980,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,83,Arsenal,1,['3d05095b-da66-4011-b489-cbbd7f08eafb'],0,,,,,,,,,,,,,,,,,,Everton,29,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.239199,,,,,,,,,,,cfba5319-f8a0-4e9d-810a-6977cf03d053,5,,"[61.0, 40.1]",3753980,0,,,,,1.8766752,,Left Foot,,,,"[60.4, 42.0]",,Ground Pass,,1.9924859,,,,Ross Barkley,4275.0,,,,,,Kick Off,1,From Kick Off,Romelu Lukaku Menama,3289.0,Center Forward,2,Everton,29,['a3ee7630-eee0-4b05-b8a2-8ae4ef90f0a0'],1,,,,,,,,,,,,,,,,,,Everton,29,00:00:01.053,Pass,
,,,,,,,,,,,,,,,,,,1.691414,,,,,,,,,,,56f929d4-e953-4833-8e1b-e13ecbbf3f64,9,,"[66.9, 46.2]",3753980,0,,,,,2.9268486,,Left Foot,,,,"[42.6, 51.5]",,Ground Pass,,24.87127,,,,Phil Jagielka,20046.0,,,,,,,1,From Kick Off,Ross Barkley,4275.0,Center Attacking Midfield,2,Everton,29,"['5c16bb73-2ad3-4c78-8870-8e542919753b', 'a29262a2-481d-45c9-b70e-d14a08f63931']",3,,,,,,,,,,,,,,,,,,Everton,29,00:00:03.505,Pass,True
,,,,,,,,,,,,,,,,,,2.022907,,,,,,,,,,,a177ac8c-7e2b-4ba2-9cc8-2329faeac19b,11,,"[42.6, 51.5]",3753980,0,,,,,1.481962,,Right Foot,,,,"[44.8, 76.2]",,Ground Pass,,24.797783,,,,Séamus Coleman,4589.0,,,,,,,1,From Kick Off,Phil Jagielka,20046.0,Right Center Back,2,Everton,29,['dde8c489-fbd2-4465-a361-9e3933183998'],5,,,,,,,,,,,,,,,,,,Everton,29,00:00:05.196,Pass,
,,,,,,,,,,,,,,,,,,1.890096,,,,,,,,,,,69e37c0b-f0a3-47d6-9a3d-dd9504b11730,13,,"[46.4, 69.6]",3753980,0,,,,,-2.2866864,,Right Foot,,,,"[31.7, 52.7]",,Ground Pass,,22.39866,,,,Phil Jagielka,20046.0,,,,,,,1,From Kick Off,Séamus Coleman,4589.0,Right Back,2,Everton,29,['198d06f1-14f0-48ef-9749-267bdf6ef20e'],7,,,,,,,,,,,,,,,,,,Everton,29,00:00:07.219,Pass,
