ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,"[90.3, 11.5]",,,,,,,,,,,0.86666,,,,,,,,,,,,,6f6901cd-bfa4-4025-ae17-8096e816c07d,992,,"[87.5, 14.5]",3754140,24,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Gareth Barry,3633.0,Center Defensive Midfield,44,Everton,29,"['21dc45e5-f7da-4165-899b-6bde71649630', '5a1f5e58-ab89-4d41-a350-811f464e583d', 'c63e891c-4de6-455e-aa74-7c7f39e42750']",42,,,,,,,,,,,,,,,,,Everton,29,00:24:42.139,Carry,True
,,,,"[76.4, 37.0]",,,,,,,,,,,1.963844,,,,,,,,,,,,,713ea9cf-f87b-4fd2-8c6b-940ed0d1ae34,998,,"[76.0, 31.0]",3754140,24,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Ross Barkley,4275.0,Right Center Midfield,44,Everton,29,"['4e369617-7dc6-4cdf-9d05-e2a2b5731e1e', 'ae35a34c-7ef5-43ed-af28-e7d3c900d4f8']",46,,,,,,,,,,,,,,,,,Everton,29,00:24:46.054,Carry,
,,,,"[86.7, 57.5]",,,,,,,,,,,0.087665,,,,,,,,,,,,,5acc9ff1-3f75-49b3-b996-838320a9c291,1001,,"[86.7, 57.5]",3754140,24,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Aaron Lennon,3953.0,Right Wing,44,Everton,29,"['3e1fb3e7-e467-46fa-bf47-dbf677dcf521', '4b942387-24a4-4263-8d42-29bd8b6b0c30']",48,,,,,,,,,,,,,,,,,Everton,29,00:24:48.989,Carry,
,,,,"[43.0, 60.3]",,,,,,,,,,,1.906903,,,,,,,,,,,,,c42f7485-eb3e-4acf-83e4-a68c734e3f21,1006,,"[49.5, 52.4]",3754140,24,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,John Stones,3244.0,Right Center Back,44,Everton,29,"['5b07c888-39a9-4221-9595-3dc8452066f9', 'e5f75f48-54eb-4642-b5d1-81583465d68a']",52,,,,,,,,,,,,,,,,,Everton,29,00:24:52.396,Carry,
,,,,"[11.6, 39.1]",,,,,,,,,,,1.920638,,,,,,,,,,,,,c6f5b82a-9fd4-4dad-a86a-dd00cd1c493c,1009,,"[9.0, 45.3]",3754140,24,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Tim Howard,13042.0,Goalkeeper,44,Everton,29,"['9620025c-5a2d-4df8-8f1f-49b79e8f421b', 'e80e7717-5814-4f1d-9559-2722c91d7bdb']",56,,,,,,,,,,,,,,,,,Everton,29,00:24:56.838,Carry,
,,,,"[97.1, 57.4]",,,,,,,,,,,4.460704,,,,,,,,,,,,,3afec8f8-3e15-4015-a293-2ddb251b46a6,1018,,"[80.1, 53.0]",3754140,25,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Christian Dannemann Eriksen,3043.0,Right Wing,45,Tottenham Hotspur,38,"['53445a75-3527-4900-bb54-56d3c11e8efb', '82896aa8-7c40-469e-9f6c-b89c305886a9']",4,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:25:04.438,Carry,
,,,,"[105.5, 30.5]",,,,,,,,,,,0.08,,,,,,,,,,,,,91315853-7fec-4d27-a47e-d087d1534d63,1024,,"[105.5, 30.5]",3754140,25,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Tom Carroll,3310.0,Left Defensive Midfield,46,Tottenham Hotspur,38,"['4b5bcaed-bfbc-4b95-a184-1b58cfd92964', '940b17f7-4b55-4496-a59a-a5fe93542097']",38,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:25:38.599,Carry,
,,,,"[91.6, 38.4]",,,,,,,,,,,2.602916,,,,,,,,,,,,,daee22c9-2db3-4509-81b8-d0dc69a6b6dd,1027,,"[95.7, 49.1]",3754140,25,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Bamidele Alli,3094.0,Center Attacking Midfield,46,Tottenham Hotspur,38,"['09025d85-9128-4e0b-bac2-ff2f21f4130a', '36a913a9-3e0a-4a0b-97aa-bf025983e7f6', '63af9ab2-655b-4ec3-b795-1f5a6498c521']",40,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:25:40.262,Carry,True
,,,,"[89.7, 46.5]",,,,,,,,,,,0.985875,,,,,,,,,,,,,daa826ef-3e0d-4410-9a26-84fdb9b1333a,1031,,"[90.5, 55.5]",3754140,25,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Ben Davies,3086.0,Left Back,46,Tottenham Hotspur,38,"['390d4133-c3ee-4b18-9632-b3ac93d532f4', 'e0649846-b95c-40dc-9738-2cb15292298d']",43,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:25:43.796,Carry,
,,,,"[111.7, 3.8]",,,,,,,,,,,2.747056,,,,,,,,,,,,,f169672f-ce3d-4386-b04a-445ddd20c91d,1037,,"[92.0, 10.6]",3754140,25,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Erik Lamela,3585.0,Left Wing,46,Tottenham Hotspur,38,"['5a84606e-b1a1-4bad-930e-97db99725c79', '96286f2b-995f-492f-844d-7a08bec3b6ff', 'fdb076bb-15bf-4309-ae03-3b01625c3257']",49,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:25:49.326,Carry,True
,,,,"[87.1, 22.8]",,,,,,,,,,,2.27178,,,,,,,,,,,,,8e29e093-13cf-4da3-8699-3819e08bc3c8,1044,,"[82.4, 17.5]",3754140,26,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Christian Dannemann Eriksen,3043.0,Right Wing,47,Tottenham Hotspur,38,"['b5f7fa6a-994a-467c-b4e8-03a7d9c87cf8', 'e175ed9d-c2ed-4343-bb7e-91273ffa9140']",1,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:26:01.405,Carry,
,,,,"[89.9, 44.9]",,,,,,,,,,,1.212799,,,,,,,,,,,,,f8d59cf1-fc84-424f-9d28-67826b5c0781,1047,,"[89.9, 44.2]",3754140,26,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Toby Alderweireld,20005.0,Right Center Back,47,Tottenham Hotspur,38,"['cd814b90-59a3-483a-964c-493b53edadd1', 'd34e572f-7b0e-4f36-ab41-c2acb4ef21ae']",4,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:26:04.974,Carry,
,,,,"[96.7, 73.3]",,,,,,,,,,,1.825976,,,,,,,,,,,,,e6b665e0-47db-48c7-a2f4-63e227d91452,1050,,"[92.9, 71.6]",3754140,26,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Kyle Walker,3205.0,Right Back,47,Tottenham Hotspur,38,"['2dd6cb86-3e08-4756-910f-40ad7d7c8fc2', '9625727c-b7e8-4a93-ae63-e6b39971aba5']",8,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:26:08.307,Carry,
,,,,"[87.3, 59.4]",,,,,,,,,,,1.129162,,,,,,,,,,,,,9d0ca2ee-89d8-4eb8-b2c9-700132972d1f,1053,,"[85.8, 60.9]",3754140,26,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Toby Alderweireld,20005.0,Right Center Back,47,Tottenham Hotspur,38,"['46daf496-a998-462a-90e6-975f4ef56189', '5155034d-a105-4340-aa73-9dda77d73c5a']",11,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:26:11.676,Carry,
,,,,"[87.1, 16.0]",,,,,,,,,,,1.66176,,,,,,,,,,,,,fb81fe26-91aa-4fa9-ae62-bae2e1f4fbf8,1058,,"[82.8, 17.9]",3754140,26,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Ben Davies,3086.0,Left Back,47,Tottenham Hotspur,38,"['2a311f21-7e6d-4e5d-8236-4b729ae9bb05', '2fc717cf-dcab-421e-950d-25076d369dce', '7319ded5-3497-49db-95da-3600607f910c']",16,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:26:16.298,Carry,True
,,,,"[113.2, 1.4]",,,,,,,,,,,1.770844,,,,,,,,,,,,,ea128269-e279-40d1-9a88-1adb79472cf6,1063,,"[102.5, 4.2]",3754140,26,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Ben Davies,3086.0,Left Back,47,Tottenham Hotspur,38,"['05268b85-17c4-4dbf-9a54-dd446cab3a7b', '36f9537f-9abc-489b-b875-24e314d7c8ba', '8e5a0fb6-af98-4f05-8b1c-6d45b4d6e0bd']",19,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:26:19.796,Carry,True
,,,,"[11.4, 26.7]",,,,,,,,,,,2.486416,,,,,,,,,,,,,638afbbf-694a-4ee6-b6c2-82fd5aa76bd5,1068,,"[11.0, 32.3]",3754140,26,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Leighton Baines,3518.0,Left Back,48,Everton,29,"['168d33da-df07-417f-88c1-a01d2c20f02c', '82128b42-cc8d-4711-ba1f-8520c206bfae', 'e188d0be-fcd6-491b-9e6f-d25516362e54']",24,,,,,,,,,,,,,,,,,Everton,29,00:26:24.182,Carry,True
,,,,"[23.1, 28.2]",,,,,,,,,,,0.275652,,,,,,,,,,,,,e4a755f5-dae2-4c41-8488-ef12e9fc191a,1072,,"[23.1, 28.8]",3754140,26,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Tom Cleverley,3683.0,Left Center Midfield,48,Everton,29,"['1305f958-3c94-4c10-81af-997ecceca4be', '9dfc56b7-8128-4e44-8e17-16e2655ced81', 'b73eb69a-7582-4e4c-b9fb-5e3508efda46']",27,,,,,,,,,,,,,,,,,Everton,29,00:26:27.356,Carry,True
,,,,"[78.3, 59.8]",,,,,,,,,,,0.923461,,,,,,,,,,,,,3233edf6-9204-4b14-9e26-652d69c78f95,1081,,"[77.9, 60.3]",3754140,27,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Ross Barkley,4275.0,Right Center Midfield,49,Everton,29,"['37991cdb-d73f-40d7-aabf-86083824bd24', '84e4560e-6eb4-4089-a09a-54a7c48b7a3c', 'ddd387d7-7ce0-4f69-9aa2-a15ca6f6373c']",17,,,,,,,,,,,,,,,,,Everton,29,00:27:17.807,Carry,True
,,,,"[40.3, 21.3]",,,,,,,,,,,0.545672,,,,,,,,,,,,,197433b2-ff3d-44a3-a5d2-a4e8ddfc78e9,1085,,"[41.8, 20.3]",3754140,27,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Erik Lamela,3585.0,Left Wing,50,Tottenham Hotspur,38,"['547d01e6-3556-46f9-be89-96caee53aa4e', 'a5f9877a-3611-48dd-a1d1-2eb926c97dd6']",18,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:27:18.730,Carry,
