50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.910684,,,,,,,,,,,,,c6b20297-99e2-4004-8af0-f2270f606a37,14,,"[70.9, 17.2]",3754232,0,,,,True,0.6968728,,,,,"[80.1, 24.9]",Low Pass,,11.997083,,,Incomplete,,Odion Jude Ighalo,5458.0,,,,,,,1,From Goal Kick,Troy Deeney,3454.0,Right Center Forward,3,Watford,23,"['3c677eb3-3d00-4354-98f3-41318786514c', '901cf010-ca9d-4489-9677-d991240cde5f', 'd27eaf08-672a-4b97-9087-d96e741a2efd']",38,,,,,,,,,,,,,,,,,Watford,23,00:00:38.734,Pass,True
,,,,,,,,,,,,,,,,,,0.757678,,,,,,,,,,,,,e7bdc6ef-36d3-442c-92ce-e0806acf150e,19,,"[42.7, 56.0]",3754232,0,,,,,0.9272952,,Right Foot,,,"[43.9, 57.6]",Ground Pass,,2.0,,,,,Morgan Schneiderlin,3600.0,,,,,,,1,Regular Play,Timothy Evans Fosu-Mensah,3465.0,Right Center Back,4,Manchester United,39,['179aeb21-2730-4ad9-9992-fdbcd5179a56'],40,,,,,,,,,,,,,,,,,Manchester United,39,00:00:40.246,Pass,
,,,,,,,,,,,,,,,,,,1.480565,,,,,,,,,,,,,8b17707d-23ce-47da-b56d-95d1d35013c1,23,,"[42.0, 57.6]",3754232,0,,,,,1.7472848,,Right Foot,,,"[39.2, 73.3]",Ground Pass,,15.947727,,,,,Guillermo Varela Olivera,5264.0,,,,,,,1,Regular Play,Morgan Schneiderlin,3600.0,Left Defensive Midfield,4,Manchester United,39,"['2c3de387-18e6-42c9-912d-ad218f75d9be', '555b12f6-f1ae-4e11-a6dd-22950acac26e']",41,,,,,,,,,,,,,,,,,Manchester United,39,00:00:41.112,Pass,True
,,,,,,,,,,,,,,,,,,0.84907,,,,,,,,,,,,,2b331f7d-1bc9-41da-a7a4-c6b766a249f1,27,,"[41.0, 75.2]",3754232,0,,,,,-0.17909478,,Right Foot,,,"[52.6, 73.1]",Ground Pass,,11.788554,,,,,Anthony Martial,20039.0,,,,,,,1,Regular Play,Guillermo Varela Olivera,5264.0,Right Back,4,Manchester United,39,"['88593875-319d-4a7a-a760-6dd7a52fddf8', 'ba844a22-df05-43e9-8d63-31922cb6b751']",42,,,,,,,,,,,,,,,,,Manchester United,39,00:00:42.788,Pass,True
,,,,,,,,,,,,,,,,,,0.972746,,,,,,,,,,,,,e52fc46e-943f-4b4a-8dab-91d16acd93cf,41,,"[77.0, 4.3]",3754232,0,,,,,0.7447701,,Left Foot,,,"[83.4, 10.2]",Ground Pass,,8.7045965,,,,,Troy Deeney,3454.0,,,,,,,1,Regular Play,Etienne Capoue,3721.0,Left Midfield,5,Watford,23,['0af77581-3cac-491e-ba3b-ff5834279c16'],47,,,,,,,,,,,,,,,,,Watford,23,00:00:47.855,Pass,
,,,,,,,,,,,,,,,,,,0.568002,,,,,,,,,,,,,27cd9641-2e1c-4f40-8287-89e28b41a524,45,,"[80.1, 20.9]",3754232,0,,,,,0.6213236,,Right Foot,,,"[88.9, 27.2]",Ground Pass,,10.822661,,,,,Odion Jude Ighalo,5458.0,,,,,,,1,Regular Play,Troy Deeney,3454.0,Right Center Forward,5,Watford,23,['344bbb7b-8444-4761-a533-85bd6b4067e4'],51,,,,,,,,,,,,,,,,,Watford,23,00:00:51.427,Pass,
,,,,,,,,,,,,,,,,,,1.222501,,,,,,,,,,,,,94d7bbb7-7b6a-410b-86cb-56b449283353,49,,"[107.8, 16.8]",3754232,0,,,,,-1.7263912,,Right Foot,,,"[106.2, 6.6]",Ground Pass,,10.324728,,,,,Etienne Capoue,3721.0,,,,,,,1,Regular Play,Odion Jude Ighalo,5458.0,Left Center Forward,5,Watford,23,['5ef8408d-6be9-467b-a94c-22d45d9c548f'],57,,,,,,,,,,,,,,,,,Watford,23,00:00:57.215,Pass,
,,,,,,,,,,,,,,,,,,1.551408,,,,,,,,,,,,,d5283f9f-b1c9-4a0c-b81f-a5462a8c157b,52,,"[104.8, 5.3]",3754232,0,,,,,1.4314002,,Right Foot,True,,"[110.3, 44.5]",High Pass,,39.58396,,,,,Almen Abdi,43081.0,,,,,,,1,Regular Play,Etienne Capoue,3721.0,Left Midfield,5,Watford,23,['a53c2f06-5f66-44fa-8abe-cb4d365a1731'],59,,,,,,,,,,,,,,,,,Watford,23,00:00:59.368,Pass,
,,,,,,,,,,,,,,,,,,0.74688,,,,,,,,,,,,,89feb870-7c9f-42a3-8001-53ae3df4ae76,55,,"[109.5, 41.9]",3754232,1,,,,,-1.9047414,,Other,,,"[107.8, 37.0]",Low Pass,,5.186521,,,,,Troy Deeney,3454.0,,,,,,,1,Regular Play,Almen Abdi,43081.0,Right Midfield,5,Watford,23,['411a2d6d-2234-42fd-89ea-6295aa331a8d'],0,,,,,,,,,,,,,,,,,Watford,23,00:01:00.959,Pass,
,,,,,,,,,,,,,,,,,,0.54453,,,,,,,,,,,,,ed8a30c9-35b4-44be-8bee-8ae368b086f3,64,,"[20.4, 50.1]",3754232,1,,,,,-1.4044642,,Right Foot,,,"[22.7, 36.4]",Ground Pass,,13.891725,,,,,Faustino Marcos Alberto Rojo,3602.0,,,,,,Recovery,1,Regular Play,Ander Herrera Agüera,3606.0,Right Defensive Midfield,5,Watford,23,['d4c79ddc-4607-491e-84b2-f822f9a4a1a5'],4,,,,,,,,,,,,,,,,,Manchester United,39,00:01:04.681,Pass,
