50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.317939,,,,,,,,,,,,85f0767e-742d-4043-8359-8b4806dd91e9,24,,"[97.9, 0.8]",3754293,0,,,,,0.024994794,,Left Foot,,,,"[101.9, 0.9]",Ground Pass,4.00125,,,,,Charlie Adam,3636.0,,,,,,,1,Regular Play,Marko Arnautović,3325.0,Left Wing,3,Stoke City,30,['94ba1c3a-fd0d-43ed-9f3f-ee696f753275'],15,,,,,,,,,,,,,,,,Stoke City,30,00:00:15.855,Pass,
,,,,,,,,,,,,,,,,,1.425906,,,,,,,,,,,,6e266ca7-928c-47be-a680-91f931681d58,27,,"[117.6, 14.1]",3754293,0,,,,,1.9879658,30c34f5f-1fde-4971-877b-00d3cef0690c,Left Foot,True,,,"[105.9, 40.5]",High Pass,28.876461,,,,,Xherdan Shaqiri,3533.0,True,,,,,,1,Regular Play,Charlie Adam,3636.0,Right Center Midfield,3,Stoke City,30,['d1351693-d589-4dbe-85e1-fb672647c9e2'],20,,,,,,,,,,,,,,,,Stoke City,30,00:00:20.084,Pass,
,,,,,,,,,,,,,,,,,4.036174,,,,,,,,,,,,15c54cd1-ec4c-487f-a1aa-4164fda33add,31,,"[7.0, 36.1]",3754293,0,,,,,-0.40355003,,Right Foot,,,,"[70.0, 9.2]",High Pass,68.502625,,,Incomplete,,Diego da Silva Costa,5198.0,,,,,,Goal Kick,1,From Goal Kick,Asmir Begović,3339.0,Goalkeeper,4,Chelsea,33,"['7e461984-cac0-40be-9bbf-a3244a235b65', 'b9e6188a-b697-475f-acb4-9af250bcc15d']",53,,,,,,,,,,,,,,,,Chelsea,33,00:00:53.408,Pass,
,,,,,,,,,,,,,,,,,1.618472,,,,,,,,,,,,b9e6188a-b697-475f-acb4-9af250bcc15d,34,,"[50.1, 70.9]",3754293,0,,,,True,0.72564036,,,,,,"[56.3, 76.4]",High Pass,8.287943,,,,,Xherdan Shaqiri,3533.0,,,,,,Recovery,1,Regular Play,Ryan Shawcross,4035.0,Right Center Back,5,Stoke City,30,"['15c54cd1-ec4c-487f-a1aa-4164fda33add', '1a3e78a2-fb04-4227-9647-e1d2febdb00e', '1d179507-da17-4b3e-841b-678090d843e0']",57,,,,,,,,,,,,,,,,Stoke City,30,00:00:57.444,Pass,True
,,,,,,,,,,,,,,,,,4.114339,,,,,,,,,,,,775e35d8-aec8-4f41-ad09-10d2509c3f3c,37,,"[56.3, 76.4]",3754293,0,,,,,-0.516483,,Left Foot,,,,"[64.4, 71.8]",High Pass,9.315042,,,,,Jonathan Walters,3670.0,,,,,,,1,Regular Play,Xherdan Shaqiri,3533.0,Right Wing,5,Stoke City,30,['04b8842d-686d-4768-b9ec-d84c2b89c654'],59,,,,,,,,,,,,,,,,Stoke City,30,00:00:59.120,Pass,
,,,,,,,,,,,,,,,,,2.171775,,,,,,,,,,,,05a71a93-1dbe-4492-9ba1-b2fa4527ab59,44,,"[50.2, 7.5]",3754293,1,,,,,0.085394934,,Right Foot,,,,"[75.9, 9.7]",High Pass,25.793991,,,Incomplete,,Diego da Silva Costa,5198.0,,,,,,,1,Regular Play,Abdul Rahman Baba,12325.0,Left Back,5,Stoke City,30,"['7e65c18a-1e19-4c2e-826b-a582e1bb8906', '979126ec-c216-456b-88c6-107db5e76523', 'd5e09a2f-b107-40eb-a002-afba5f119ac4']",3,,,,,,,,,,,,,,,,Chelsea,33,00:01:03.866,Pass,True
,,,,,,,,,,,,,,,,,1.78312,,,,,,,,,,,,979126ec-c216-456b-88c6-107db5e76523,46,,"[44.2, 70.4]",3754293,1,,,,,-0.28910276,,Head,,,,"[63.7, 64.6]",Low Pass,20.344286,,,Incomplete,,,,,,,,,Recovery,1,Regular Play,Ryan Shawcross,4035.0,Right Center Back,5,Stoke City,30,"['05a71a93-1dbe-4492-9ba1-b2fa4527ab59', 'b052bc6e-e0ad-46ee-a7e3-1202897d3052']",6,,,,,,,,,,,,,,,,Stoke City,30,00:01:06.038,Pass,
,,,,,,,,,,,,,,,,,1.56569,,,,,,,,,,,,b052bc6e-e0ad-46ee-a7e3-1202897d3052,47,,"[56.4, 15.5]",3754293,1,,,,,-0.3191396,,Head,,,,"[67.9, 11.7]",High Pass,12.111565,,,Incomplete,,Eden Hazard,3621.0,,,,,,Recovery,1,Regular Play,Nemanja Matić,3381.0,Left Center Midfield,5,Stoke City,30,"['35d81c46-923c-4058-8dc2-63ee9015199b', '979126ec-c216-456b-88c6-107db5e76523', 'd6448d55-418d-4273-9262-45a7f1c928b8']",7,,,,,,,,,,,,,,,,Chelsea,33,00:01:07.821,Pass,
,,,,,,,,,,,,,,,,,0.646254,,,,,,,,,,,,35d81c46-923c-4058-8dc2-63ee9015199b,49,,"[52.2, 68.4]",3754293,1,,,,,0.33473682,,Right Foot,,,,"[56.8, 70.0]",Low Pass,4.8703184,,,,,Xherdan Shaqiri,3533.0,,,,,,Recovery,1,Regular Play,Glenn Whelan,9625.0,Left Center Midfield,5,Stoke City,30,"['33886824-5fe4-45ac-8dfb-00806f896a23', 'b052bc6e-e0ad-46ee-a7e3-1202897d3052']",9,,,,,,,,,,,,,,,,Stoke City,30,00:01:09.386,Pass,
,,,,,,,,,,,,,,,,,0.896941,,,,,,,,,,,,5e24f861-a675-4734-92e0-612f8f908a21,53,,"[56.8, 69.5]",3754293,1,,,,,2.8393202,,Right Foot,,,,"[47.5, 72.4]",Low Pass,9.741663,,,,,Glen Johnson,4724.0,,,,,,,1,Regular Play,Xherdan Shaqiri,3533.0,Right Wing,5,Stoke City,30,"['79af7194-ba6e-4b4e-8a33-8f7a96544024', 'e9d31938-190a-45ee-aecb-1cf43ebe05a5']",10,,,,,,,,,,,,,,,,Stoke City,30,00:01:10.117,Pass,True
