bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,576a6cb3-3c0a-4bce-b626-2e75a3d9e9b1,1,,,3754063,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Watford,23,,0,,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 3522, 'name': 'Heurelho da Silva Gomes'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 36983, 'name': 'Juan Carlos Paredes Reasco'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 14}, {'player': {'id': 3263, 'name': 'Craig Cathcart'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 15}, {'player': {'id': 3288, 'name': 'Miguel Ángel Britos Cabrera'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 40118, 'name': 'Ikechi Anya'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 21}, {'player': {'id': 23488, 'name': 'Mario Suárez Mata'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 3626, 'name': 'Ben Watson'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 43081, 'name': 'Almen Abdi'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 22}, {'player': {'id': 6870, 'name': 'José Manuel Jurado Marín'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 7}, {'player': {'id': 3454, 'name': 'Troy Deeney'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 5458, 'name': 'Odion Jude Ighalo'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 24}]}",Watford,23,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,8d928eb1-88ad-4e4f-b5e5-b1920adae37d,2,,,3754063,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Watford,23,,0,,,,,,,,,,,,,,,,,,"{'formation': 352, 'lineup': [{'player': {'id': 18672, 'name': 'Mark Bunn'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 31}, {'player': {'id': 3041, 'name': 'Ciaran Clark'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 20285, 'name': 'Joleon Lescott'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 16}, {'player': {'id': 75899, 'name': 'Kevin Toner'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 46}, {'player': {'id': 9642, 'name': 'Alan Hutton'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 21}, {'player': {'id': 27146, 'name': 'Aly Cissokho'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 43}, {'player': {'id': 9533, 'name': 'Leandro Bacuna'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 3583, 'name': 'Ashley Westwood'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 15}, {'player': {'id': 3436, 'name': 'Idrissa Gana Gueye'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 3450, 'name': 'Jordan Ayew'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 19}, {'player': {'id': 19362, 'name': 'Rudy Gestede'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 39}]}",Aston Villa,59,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,ac7c63f7-ee2b-4e8d-a26c-55dcd2491c2b,3,,,3754063,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Watford,23,['33727153-00ec-4148-9153-d29867e82ab2'],0,,,,,,,,,,,,,,,,,,,Aston Villa,59,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,33727153-00ec-4148-9153-d29867e82ab2,4,,,3754063,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Watford,23,['ac7c63f7-ee2b-4e8d-a26c-55dcd2491c2b'],0,,,,,,,,,,,,,,,,,,,Watford,23,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,4ddb0967-3be7-4118-a851-26d5699beb47,1906,,,3754063,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Kick Off,,,,95,Aston Villa,59,['d48f36e3-6c69-4d4f-aea9-9c7e6cc331a2'],0,,,,,,,,,,,,,,,,,,,Aston Villa,59,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,d48f36e3-6c69-4d4f-aea9-9c7e6cc331a2,1907,,,3754063,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Kick Off,,,,95,Aston Villa,59,['4ddb0967-3be7-4118-a851-26d5699beb47'],0,,,,,,,,,,,,,,,,,,,Watford,23,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.439435,,,,,,,,,,,,,,8dcb9543-a402-4c95-aea6-7bce51686ee5,5,,"[60.0, 40.0]",3754063,0,,,,,1.5137155,,Right Foot,,"[60.2, 43.5]",,Ground Pass,,3.5057096,,,,Troy Deeney,3454.0,,,,,Kick Off,1,From Kick Off,Odion Jude Ighalo,5458.0,Left Center Forward,2,Watford,23,['2754dc71-0b09-47fa-83c1-84aa658ab564'],0,,,,,,,,,,,,,,,,,,,Watford,23,00:00:00.654,Pass,
,,,,,,,,,,,,,,,,1.282551,,,,,,,,,,,,,,4b533980-7939-4c21-b51d-da5f8d984e62,7,,"[58.2, 41.1]",3754063,0,,,,,3.0074818,,Right Foot,,"[45.6, 42.8]",,Ground Pass,,12.714166,,,,Ben Watson,3626.0,,,,,,1,From Kick Off,Troy Deeney,3454.0,Right Center Forward,2,Watford,23,['b5676a25-d061-4f45-ab34-191e6b168758'],1,,,,,,,,,,,,,,,,,,,Watford,23,00:00:01.094,Pass,
,,,,,,,,,,,,,,,,2.185129,,,,,,,,,,,,,,fcb7c54e-6e0d-41ff-ac17-2e59e44980eb,10,,"[45.9, 42.5]",3754063,0,,,,,1.8768666,,Right Foot,,"[38.0, 67.5]",,Ground Pass,,26.218506,,,,Juan Carlos Paredes Reasco,36983.0,,,,,,1,From Kick Off,Ben Watson,3626.0,Left Defensive Midfield,2,Watford,23,['d649976a-e73e-4235-a2ab-9af5ba631fe9'],2,,,,,,,,,,,,,,,,,,,Watford,23,00:00:02.786,Pass,
,,,,,,,,,,,,,,,,2.561541,,,,,,,,,,,,,,35c28c5a-caa9-4db5-898a-1d63761fba36,14,,"[47.0, 72.3]",3754063,0,,,,,-0.74905056,,Right Foot,,"[81.2, 40.5]",,High Pass,,46.699894,,,,Odion Jude Ighalo,5458.0,,,,,,1,From Kick Off,Juan Carlos Paredes Reasco,36983.0,Right Back,2,Watford,23,['f9395a98-cd93-4d7f-bdb4-351171b17923'],6,,,,,,,,,,,,,,,,,,,Watford,23,00:00:06.682,Pass,
