ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,84c2ef69-b142-46a8-bb91-9fef6eb3b222,1,,,,3754270,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Tottenham Hotspur,38,,0,,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3099, 'name': 'Hugo Lloris'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3205, 'name': 'Kyle Walker'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 20005, 'name': 'Toby Alderweireld'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 3077, 'name': 'Jan Vertonghen'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 3086, 'name': 'Ben Davies'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 33}, {'player': {'id': 10956, 'name': 'Eric Dier'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 40127, 'name': 'Ryan Mason'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 3037, 'name': 'Mousa Sidi Yaya Dembélé'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 19}, {'player': {'id': 4831, 'name': 'Nacer Chadli'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 22}, {'player': {'id': 3043, 'name': 'Christian Dannemann Eriksen'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 23}, {'player': {'id': 10955, 'name': 'Harry Kane'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Tottenham Hotspur,38,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,e141fe7d-5a58-4539-8388-ba3a050a1637,2,,,,3754270,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Tottenham Hotspur,38,,0,,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3537, 'name': 'Jack Butland'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4724, 'name': 'Glen Johnson'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 8}, {'player': {'id': 3480, 'name': 'Geoff Cameron'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 20}, {'player': {'id': 6560, 'name': 'Marc Muniesa Martínez'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 3467, 'name': 'Erik Pieters'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 8251, 'name': 'Marco van Ginkel'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 9625, 'name': 'Glenn Whelan'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 3670, 'name': 'Jonathan Walters'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 19}, {'player': {'id': 4891, 'name': 'Ibrahim Afellay'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 14}, {'player': {'id': 3325, 'name': 'Marko Arnautović'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 3603, 'name': 'Mame Biram Diouf'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 18}]}",Stoke City,30,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,aae6eb90-1f3f-4f37-b7ee-1c9da7a44e0d,3,,,,3754270,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Tottenham Hotspur,38,['c24861ad-ca75-4fcd-a58d-b268be43660f'],0,,,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,c24861ad-ca75-4fcd-a58d-b268be43660f,4,,,,3754270,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Tottenham Hotspur,38,['aae6eb90-1f3f-4f37-b7ee-1c9da7a44e0d'],0,,,,,,,,,,,,,,,,,,,Stoke City,30,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,5d47356c-74f2-4464-8a9f-fb2905959006,1834,,,,3754270,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Kick Off,,,,96,Stoke City,30,['bda7931d-78a9-4e79-8628-296edf873ab7'],0,,,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,bda7931d-78a9-4e79-8628-296edf873ab7,1835,,,,3754270,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Kick Off,,,,96,Stoke City,30,['5d47356c-74f2-4464-8a9f-fb2905959006'],0,,,,,,,,,,,,,,,,,,,Stoke City,30,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.151754,,,,,,,,,,,,,,ae50779e-d313-4181-b658-740ed0ae5dc0,5,,,"[60.0, 40.0]",3754270,0,,,,1.080839,,Right Foot,,,"[60.8, 41.5]",,Ground Pass,,1.7,,,Marco van Ginkel,8251.0,,,,,,Kick Off,1,From Kick Off,Ibrahim Afellay,4891.0,Center Attacking Midfield,2,Stoke City,30,['08afe451-3520-4ea7-adb0-26384353118f'],0,,,,,,,,,,,,,,,,,,,Stoke City,30,00:00:00.449,Pass,
,,,,,,,,,,,,,,,,1.407528,,,,,,,,,,,,,,22303271-f472-4955-aff4-e7271b2c7671,8,,,"[60.7, 41.9]",3754270,0,,,,-2.7310352,,Right Foot,,,"[52.2, 38.2]",,Ground Pass,,9.270383,,,Glenn Whelan,9625.0,,,,,,,1,From Kick Off,Marco van Ginkel,8251.0,Right Defensive Midfield,2,Stoke City,30,['2777e713-2464-4e45-916c-f7650487b9d4'],0,,,,,,,,,,,,,,,,,,,Stoke City,30,00:00:00.641,Pass,
,,,,,,,,,,,,,,,,2.855578,,,,,,,,,,,,,,4e521402-2086-4857-937d-01dfeca56e42,11,,,"[52.0, 38.0]",3754270,0,,,,1.0042719,,Right Foot,,,"[72.1, 69.6]",,High Pass,,37.4509,Incomplete,,Mame Biram Diouf,3603.0,,,,,,,1,From Kick Off,Glenn Whelan,9625.0,Left Defensive Midfield,2,Stoke City,30,"['4c157e9b-9989-4b88-982c-7dfe0a97e7f1', '5d50b790-a0be-4a09-a11a-62e9855a7de8']",2,,,,,,,,,,,,,,,,,,,Stoke City,30,00:00:02.089,Pass,
,,,,,,,,,,,,,,,,1.574001,,,,,,,,,,,,,,4c157e9b-9989-4b88-982c-7dfe0a97e7f1,14,,,"[48.0, 10.5]",3754270,0,,,True,0.4362572,,,,,"[62.8, 17.4]",,Low Pass,,16.329422,,,Harry Kane,10955.0,,,,,,Recovery,1,Regular Play,Christian Dannemann Eriksen,3043.0,Left Wing,3,Tottenham Hotspur,38,"['2b2f9003-464e-484a-bd82-6e14eb69cf13', '4e521402-2086-4857-937d-01dfeca56e42', 'c577032e-55c6-4df3-81a4-dc6323fc3538']",4,,,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:00:04.944,Pass,True
