bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,fc4409b2-2103-47b1-a774-2065334537e8,1,,,3754062,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Chelsea,33,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3509, 'name': 'Thibaut Courtois'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 5594, 'name': 'Branislav Ivanović'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 3456, 'name': 'Kurt Happy Zouma'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 20287, 'name': 'John Terry'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 26}, {'player': {'id': 3957, 'name': 'César Azpilicueta Tanco'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 28}, {'player': {'id': 3478, 'name': 'Francesc Fàbregas i Soler'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 5475, 'name': 'John Michael Nchekwube Obinna'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 12}, {'player': {'id': 3472, 'name': 'Willian Borges da Silva'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 22}, {'player': {'id': 40122, 'name': 'Oscar dos Santos Emboaba Júnior'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 8}, {'player': {'id': 3958, 'name': 'Pedro Eliezer Rodríguez Ledesma'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 17}, {'player': {'id': 5198, 'name': 'Diego da Silva Costa'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 19}]}",Chelsea,33,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,406aed20-51a5-4a88-bdfd-43e74784b449,2,,,3754062,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Chelsea,33,,0,,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 5108, 'name': 'Glyn Oliver Myhill'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 3523, 'name': 'Craig Dawson'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 25}, {'player': {'id': 3596, 'name': 'Gareth McAuley'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 23}, {'player': {'id': 20527, 'name': 'Jonas Olsson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 11012, 'name': 'Jonathan Grant Evans'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 6}, {'player': {'id': 3967, 'name': 'Claudio Ariel Yacob'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 3541, 'name': 'Chris Brunt'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 11}, {'player': {'id': 4022, 'name': 'Darren Fletcher'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 24}, {'player': {'id': 3490, 'name': 'James Morrison'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 3514, 'name': 'James McClean'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 14}, {'player': {'id': 4041, 'name': 'José Salomón Rondón Giménez'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 33}]}",West Bromwich Albion,27,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,70d209c3-7de2-41c8-ab36-082c885131da,3,,,3754062,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Chelsea,33,['8d183e79-d333-4834-8bf9-75639758423d'],0,,,,,,,,,,,,,,,,,,West Bromwich Albion,27,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,8d183e79-d333-4834-8bf9-75639758423d,4,,,3754062,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Chelsea,33,['70d209c3-7de2-41c8-ab36-082c885131da'],0,,,,,,,,,,,,,,,,,,Chelsea,33,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,eed0e72a-20ac-4684-833e-141ad193b9af,1737,,,3754062,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,92,Chelsea,33,['41920e3a-c0f6-4fcd-8c96-f2f54622014b'],0,,,,,,,,,,,,,,,,,,West Bromwich Albion,27,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,41920e3a-c0f6-4fcd-8c96-f2f54622014b,1738,,,3754062,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,92,Chelsea,33,['eed0e72a-20ac-4684-833e-141ad193b9af'],0,,,,,,,,,,,,,,,,,,Chelsea,33,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.514604,,,,,,,,,,,,,056e3c7f-cbf0-4fda-9ee1-0a06c5cc0e33,5,,"[60.0, 40.0]",3754062,0,,,,,0.9453113,,Right Foot,,,"[61.3, 41.8]",,Ground Pass,,2.2203603,,,,,Chris Brunt,3541.0,,,,,,Kick Off,1,From Kick Off,James Morrison,3490.0,Left Center Midfield,2,West Bromwich Albion,27,['281da389-6303-4f8d-8937-73a9f006e0ab'],0,,,,,,,,,,,,,,,,,,West Bromwich Albion,27,00:00:00.120,Pass,
,,,,,,,,,,,,,,,,,0.732356,,,,,,,,,,,,,68914a9f-8878-45ce-b261-08eae9a39e51,9,,"[66.2, 38.8]",3754062,0,,,,,0.2573237,,Left Foot,,,"[77.6, 41.8]",,Ground Pass,,11.78813,,,,,Darren Fletcher,4022.0,,,,,,,1,From Kick Off,Chris Brunt,3541.0,Right Midfield,2,West Bromwich Albion,27,['42699b3d-ebef-48b8-a6ac-093e46446218'],4,,,,,,,,,,,,,,,,,,West Bromwich Albion,27,00:00:04.397,Pass,
,,,,,,,,,,,,,,,,,2.541976,,,,,,,,,,,,,f97691b4-b5d4-41e2-9366-2641738e3f8e,12,,"[78.0, 41.8]",3754062,0,,,,,0.32175055,,Right Foot,,,"[105.3, 50.9]",,Ground Pass,,28.776726,,,Incomplete,,José Salomón Rondón Giménez,4041.0,,,,Through Ball,True,,1,From Kick Off,Darren Fletcher,4022.0,Right Center Midfield,2,West Bromwich Albion,27,"['d8525a9a-b29e-4d4e-812e-656c02b170bf', 'f9e5a329-78e7-4e05-8ac4-6ce6192abfc0']",5,,,,,,,,,,,,,,,,,,West Bromwich Albion,27,00:00:05.658,Pass,
,,,,,,,,,,,,,,,,,1.638087,,,,,,,,,,,,,d8525a9a-b29e-4d4e-812e-656c02b170bf,14,,"[14.8, 29.2]",3754062,0,,,,,2.3880308,,Right Foot,,,"[6.7, 36.8]",,Ground Pass,,11.107204,,,,,Thibaut Courtois,3509.0,,,,,,Recovery,1,From Kick Off,César Azpilicueta Tanco,3957.0,Left Back,2,West Bromwich Albion,27,"['26ad9452-af49-4867-8382-fe66aa3ef0fb', 'f97691b4-b5d4-41e2-9366-2641738e3f8e']",8,,,,,,,,,,,,,,,,,,Chelsea,33,00:00:08.200,Pass,
