50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_redirect,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c6f46523-7d7e-4e93-89b3-59e4291530be,1,,,3754231,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Leicester City,22,,0,,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 3815, 'name': 'Kasper Schmeichel'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3270, 'name': 'Danny Simpson'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 17}, {'player': {'id': 3813, 'name': 'Wes Morgan'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 40123, 'name': 'Robert Huth'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 3812, 'name': 'Christian Fuchs'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 28}, {'player': {'id': 3665, 'name': 'Andrew Philip King'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 3662, 'name': 'Danny Drinkwater'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 3814, 'name': 'Riyad Mahrez'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 26}, {'player': {'id': 3307, 'name': 'Marc Albrighton'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 11}, {'player': {'id': 3810, 'name': 'Shinji Okazaki'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 20}, {'player': {'id': 10960, 'name': 'Jamie Vardy'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Leicester City,22,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,b82cc5ed-6584-4399-8224-f5e3db9212b4,2,,,3754231,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Leicester City,22,,0,,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 4053, 'name': 'Ben Foster'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3523, 'name': 'Craig Dawson'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 25}, {'player': {'id': 3596, 'name': 'Gareth McAuley'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 23}, {'player': {'id': 20527, 'name': 'Jonas Olsson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 9628, 'name': 'James Grant Chester'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 4}, {'player': {'id': 2966, 'name': 'Stéphane Sessègnon'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 29}, {'player': {'id': 4022, 'name': 'Darren Fletcher'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 24}, {'player': {'id': 3967, 'name': 'Claudio Ariel Yacob'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 5}, {'player': {'id': 9485, 'name': 'Craig Gardner'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 8}, {'player': {'id': 4041, 'name': 'José Salomón Rondón Giménez'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 33}, {'player': {'id': 4630, 'name': 'Saido Berahino'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 18}]}",West Bromwich Albion,27,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,5a229b0b-df8f-4c56-8515-b266d479bc34,3,,,3754231,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Leicester City,22,['7d61774f-4715-49b4-9cab-857e7bd411a1'],0,,,,,,,,,,,,,,,,,,,Leicester City,22,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,7d61774f-4715-49b4-9cab-857e7bd411a1,4,,,3754231,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Leicester City,22,['5a229b0b-df8f-4c56-8515-b266d479bc34'],0,,,,,,,,,,,,,,,,,,,West Bromwich Albion,27,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c94d31f1-7490-4e21-8e5d-ea107b872f33,1613,,,3754231,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,94,Leicester City,22,['72e6aec2-ef2c-45b5-88db-2833aa5a5a1a'],0,,,,,,,,,,,,,,,,,,,Leicester City,22,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,72e6aec2-ef2c-45b5-88db-2833aa5a5a1a,1614,,,3754231,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,94,Leicester City,22,['c94d31f1-7490-4e21-8e5d-ea107b872f33'],0,,,,,,,,,,,,,,,,,,,West Bromwich Albion,27,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.977938,,,,,,,,,,,,,a8b18ef0-911e-44fb-917d-d3222dc6a8af,5,,"[61.0, 40.1]",3754231,0,,,,,-0.4636476,,Right Foot,,,,"[61.2, 40.0]",,Ground Pass,,0.2236068,,,,Saido Berahino,4630.0,,,,,Kick Off,1,From Kick Off,Darren Fletcher,4022.0,Right Center Midfield,2,West Bromwich Albion,27,['1b85505d-4bf6-47e0-826c-6b66ef2c37d8'],0,,,,,,,,,,,,,,,,,,,West Bromwich Albion,27,00:00:00.991,Pass,
,,,,,,,,,,,,,,,,,,,3.397008,,,,,,,,,,,,,61890db8-9f2e-46e6-a329-e47e00a8e93c,8,,"[65.3, 43.7]",3754231,0,,,,,2.0614948,,Right Foot,,,,"[46.6, 78.7]",,Ground Pass,,39.682365,,,,Stéphane Sessègnon,2966.0,,,,,,1,From Kick Off,Saido Berahino,4630.0,Left Center Forward,2,West Bromwich Albion,27,['30f6f214-11a3-4b9f-89eb-371905237300'],3,,,,,,,,,,,,,,,,,,,West Bromwich Albion,27,00:00:03.084,Pass,
,,,,,,,,,,,,,,,,,,,2.499051,,,,,,,,,,,,,b7abf6d4-53d6-4145-8aaa-78f399e93fd5,12,,"[47.5, 78.5]",3754231,0,,,,,-2.4518611,,Right Foot,,,,"[25.8, 60.6]",,Ground Pass,,28.130054,,,,Gareth McAuley,3596.0,,,,,,1,From Kick Off,Stéphane Sessègnon,2966.0,Right Midfield,2,West Bromwich Albion,27,"['4719ae82-cfa0-4c60-9b17-cfe2fdfd1d65', '74afb1a5-3385-449f-b622-55dda5709657']",7,,,,,,,,,,,,,,,,,,,West Bromwich Albion,27,00:00:07.338,Pass,True
,,,,,,,,,,,,,,,,,,,2.347759,,,,,,,,,,,,,a2627c9a-3b0d-44bb-898d-3f1e1121e9de,15,,"[25.8, 60.6]",3754231,0,,,,,-2.1729198,,Right Foot,,,,"[8.0, 34.7]",,Ground Pass,,31.426899,,,,Ben Foster,4053.0,,,,,,1,From Kick Off,Gareth McAuley,3596.0,Right Center Back,2,West Bromwich Albion,27,['7cd03db9-35cf-4c79-8ccb-dd6a6fc41d70'],9,,,,,,,,,,,,,,,,,,,West Bromwich Albion,27,00:00:09.876,Pass,
