ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.739866,,,,,,,,,,,da54fe44-6158-46d8-960e-29183941c3ae,16,,"[82.4, 56.8]",3754072,0,,,,True,-0.12768,,,,,"[97.2, 54.9]",,High Pass,,14.921461,,,,Fabio Borini,7171.0,,,,,Recovery,1,From Kick Off,DeAndre Yedlin,3658.0,Right Wing Back,2,Sunderland,41,"['0368ba9c-af04-4fa3-ada6-748e130f4524', '9f24e290-d49e-4ac4-87b1-f6f91d923afd', 'fccd7775-4472-426e-8a30-db4edc95fae8']",12,,,,,,,,,,,,,,,,,,Sunderland,41,00:00:12.725,Pass,True
,,,,,,,,,,,,,,,,2.419167,,,,,,,,,,,5a3dba12-e924-4975-90a1-a9b780fd9dcc,18,,"[97.2, 54.9]",3754072,0,,,,True,0.9140217,,,,,"[111.0, 72.8]",,High Pass,,22.601992,,Incomplete,,,,,,,,,1,From Kick Off,Fabio Borini,7171.0,Right Center Midfield,2,Sunderland,41,"['4eb90b0f-d283-423e-98ee-a776c0d4732d', 'c2b40026-148e-41be-825e-316feff41a03']",13,,,,,,,,,,,,,,,,,,Sunderland,41,00:00:13.465,Pass,True
,,,,,,,,,,,,,,,,1.070428,,,,,,,,,,,4eb90b0f-d283-423e-98ee-a776c0d4732d,21,,"[9.1, 7.3]",3754072,0,,,,,-0.13197182,,Left Foot,,,"[20.4, 5.8]",,Ground Pass,,11.399123,,,,José Manuel Jurado Marín,6870.0,,,,,Recovery,1,Regular Play,Nathan Aké,3306.0,Left Back,3,Watford,23,"['5a3dba12-e924-4975-90a1-a9b780fd9dcc', 'a71f212d-2d55-4269-81a3-ffb5e70afde5']",15,,,,,,,,,,,,,,,,,,Watford,23,00:00:15.884,Pass,
,,,,,,,,,,,,,,,,0.249517,,,,,,,,,,,34614b6e-9360-4d35-8962-a18694abcdbd,25,,"[20.4, 3.8]",3754072,0,,,,,0.5880026,,Right Foot,,,"[22.5, 5.2]",,Ground Pass,,2.523886,,Incomplete,,,,,,,,,1,Regular Play,José Manuel Jurado Marín,6870.0,Left Wing,3,Watford,23,"['1a90ebfe-bd9d-4ef9-8510-6baea5267549', '460550ed-ba37-4f06-a4bf-7ce448547dc2']",17,,,,,,,,,,,,,,,,,,Watford,23,00:00:17.086,Pass,True
,,,,,,,,,,,,,,,,1.794488,,,,,,,,,,,00bf358c-7b62-497c-a179-e08783beefdd,27,,"[25.0, 0.1]",3754072,0,,,,,0.34948453,,,,,"[47.5, 8.3]",,High Pass,,23.94765,,Incomplete,,Troy Deeney,3454.0,,,,,Throw-in,1,From Throw In,Nathan Aké,3306.0,Left Back,4,Watford,23,"['046328af-3109-41b5-afce-af8119bbf155', '28d3ad82-efe5-4313-9a24-ccf9bec74f88']",33,,,,,,,,,,,,,,,,,,Watford,23,00:00:33.413,Pass,
,,,,,,,,,,,,,,,,2.009925,,,,,,,,,,,28d3ad82-efe5-4313-9a24-ccf9bec74f88,29,,"[72.6, 71.8]",3754072,0,,,,True,-0.36172923,,,,,"[83.7, 67.6]",,High Pass,,11.868024,,Incomplete,,,,,,,,Recovery,1,From Throw In,Sebastián Coates Nión,6300.0,Right Center Back,4,Watford,23,"['00bf358c-7b62-497c-a179-e08783beefdd', 'c2ecd3bc-5530-44b2-9c3a-841e134e85b3', 'd52f21d8-93a2-4be9-b3be-9ff4112b9868']",35,,,,,,,,,,,,,,,,,,Sunderland,41,00:00:35.207,Pass,True
,,,,,,,,,,,,,,,,0.651294,,,,,,,,,,,d52f21d8-93a2-4be9-b3be-9ff4112b9868,32,,"[36.4, 12.5]",3754072,0,,,,True,-0.66221553,,,,,"[42.3, 7.9]",,Low Pass,,7.48131,,,,José Manuel Jurado Marín,6870.0,,,,,Recovery,1,From Throw In,Etienne Capoue,3721.0,Right Defensive Midfield,4,Watford,23,"['28d3ad82-efe5-4313-9a24-ccf9bec74f88', '466089ad-6816-4fa2-8e67-e5dabf374a63', '57aa83fa-9145-48dd-9cd2-bd3aec89ae2e']",37,,,,,,,,,,,,,,,,,,Watford,23,00:00:37.217,Pass,True
,,,,,,,,,,,,,,,,0.698337,,,,,,,,,,,21d990c7-7dda-48c2-ba9b-08dccfae82e4,35,,"[41.0, 5.4]",3754072,0,,,,,2.9441972,,Right Foot,,,"[34.5, 6.7]",,Ground Pass,,6.6287255,,,,Nathan Aké,3306.0,,,,,,1,From Throw In,José Manuel Jurado Marín,6870.0,Left Wing,4,Watford,23,['d47000f6-b2a1-4b94-85e7-9d076e3ce512'],38,,,,,,,,,,,,,,,,,,Watford,23,00:00:38.754,Pass,
,,,,,,,,,,,,,,,,2.381827,,,,,,,,,,,62d68ec2-601d-49ed-b947-6dcd5a7b9600,38,,"[34.5, 6.0]",3754072,0,,,,,-0.05807416,,Left Foot,,,"[68.9, 4.0]",,High Pass,,34.45809,,,,Odion Jude Ighalo,5458.0,,,,,,1,From Throw In,Nathan Aké,3306.0,Left Back,4,Watford,23,"['2ce2a41b-ac51-4a23-ad48-77d378f86208', '9ad18274-06fd-491b-ab98-c5327f131462']",39,,,,,,,,,,,,,,,,,,Watford,23,00:00:39.453,Pass,True
,,,,,,,,,,,,,,,,1.677941,,,,,,,,,,,4e2cea61-4c8f-4bba-95db-823e1d91ce91,43,,"[54.1, 80.0]",3754072,0,,,,,-0.25255427,,,,,"[85.1, 72.0]",,High Pass,,32.01562,,Incomplete,,Duncan Watmore,22281.0,,,,,Throw-in,1,From Throw In,DeAndre Yedlin,3658.0,Right Wing Back,5,Sunderland,41,"['13eb33c1-7cac-454d-a5c4-c34159f04459', '393928fc-6fb2-4d86-a8bf-90e96ce67b73']",54,,,,,,,,,,,,,,,,,,Sunderland,41,00:00:54.573,Pass,
