bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,6c3c69a9-7d85-419b-a29a-afc44b77a20f,1,,,3754101,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Norwich City,56,,0,,,,,,,,,,,,,,,,"{'formation': 4411, 'lineup': [{'player': {'id': 9014, 'name': 'Declan Rudd'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 21212, 'name': 'Russell Martin'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 5}, {'player': {'id': 9930, 'name': 'Ryan Bennett'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 24}, {'player': {'id': 31296, 'name': 'Sébastien Aymar Bassong Nguena'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 10967, 'name': 'Robert Brady'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 12}, {'player': {'id': 9463, 'name': 'Alexander Banor Tettey'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 27}, {'player': {'id': 9452, 'name': ""Gary O''Neil""}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 28}, {'player': {'id': 3286, 'name': 'Nathan Redmond'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 22}, {'player': {'id': 10966, 'name': 'Wes Hoolahan'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 14}, {'player': {'id': 9578, 'name': 'Jonathan Howson'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 8}, {'player': {'id': 23663, 'name': 'Dieumerci Mbokani Bezua'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Norwich City,56,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,de6b786f-5536-44b6-8b4d-5a348d9f25e4,2,,,3754101,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Norwich City,56,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 20201, 'name': 'Maarten Stekelenburg'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 22}, {'player': {'id': 3590, 'name': 'Rhu-endly Martina'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 15}, {'player': {'id': 3960, 'name': 'José Miguel da Rocha Fonte'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 3669, 'name': 'Virgil van Dijk'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 17}, {'player': {'id': 20045, 'name': 'Ryan Bertrand'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 3098, 'name': 'Victor Wanyama'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 12}, {'player': {'id': 16181, 'name': 'Jordy Clasie'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 3328, 'name': 'James Ward-Prowse'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 16}, {'player': {'id': 3828, 'name': 'Steven Davis'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 8}, {'player': {'id': 3831, 'name': 'Dušan Tadić'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 3842, 'name': 'Shane Long'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]}",Southampton,25,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,1177fa9c-2c16-4280-85a0-cd49f99fc356,3,,,3754101,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Norwich City,56,['bd47c47b-b514-47c4-a9bd-cc1b63290cf2'],0,,,,,,,,,,,,,,,,,Southampton,25,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,bd47c47b-b514-47c4-a9bd-cc1b63290cf2,4,,,3754101,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Norwich City,56,['1177fa9c-2c16-4280-85a0-cd49f99fc356'],0,,,,,,,,,,,,,,,,,Norwich City,56,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,2f36f9fc-9a61-414f-8098-199c5900b55b,1651,,,3754101,45,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,80,Southampton,25,['4d746eba-dc9d-4757-aae8-7c9cd183f840'],0,,,,,,,,,,,,,,,,,Southampton,25,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,4d746eba-dc9d-4757-aae8-7c9cd183f840,1652,,,3754101,45,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,80,Southampton,25,['2f36f9fc-9a61-414f-8098-199c5900b55b'],0,,,,,,,,,,,,,,,,,Norwich City,56,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.21374,,,,,,,,,,,,83299d14-7db0-4cec-b0db-da13c2d7fefa,5,,"[61.0, 40.1]",3754101,0,,,,,2.642246,,Right Foot,,,"[59.9, 40.7]",,Ground Pass,,1.2529964,,Nathan Redmond,3286.0,,,,,Kick Off,1,From Kick Off,Jonathan Howson,9578.0,Center Attacking Midfield,2,Norwich City,56,['a811be2b-6812-4b41-9560-6496d181e60c'],1,,,,,,,,,,,,,,,,,Norwich City,56,00:00:01.471,Pass,
,,,,,,,,,,,,,,,,1.497268,,,,,,,,,,,,15d794ce-0a7b-4342-a247-4fb4fefdbd4c,7,,"[59.7, 41.0]",3754101,0,,,,,3.1121893,,Right Foot,,,"[52.9, 41.2]",,Ground Pass,,6.8029404,,Gary O''Neil,9452.0,,,,,,1,From Kick Off,Nathan Redmond,3286.0,Right Midfield,2,Norwich City,56,['a61aeb70-dc13-4e95-85ee-83df7aa5a6b5'],1,,,,,,,,,,,,,,,,,Norwich City,56,00:00:01.685,Pass,
,,,,,,,,,,,,,,,,1.603882,,,,,,,,,,,,98dad4bf-90ac-4147-a97e-4406834b6cd7,10,,"[52.9, 41.2]",3754101,0,,,,,-2.4526682,,Right Foot,,,"[39.3, 30.0]",,Ground Pass,,17.618172,,Sébastien Aymar Bassong Nguena,31296.0,,,,,,1,From Kick Off,Gary O''Neil,9452.0,Left Defensive Midfield,2,Norwich City,56,['1094f152-da9d-4229-b38d-a65954b94aca'],3,,,,,,,,,,,,,,,,,Norwich City,56,00:00:03.871,Pass,
,,,,,,,,,,,,,,,,1.757706,,,,,,,,,,,,2c41cb93-d45a-4277-a5a6-4f24b28ae0fc,13,,"[39.6, 29.0]",3754101,0,,,,,-0.19634734,,Left Foot,,,"[76.3, 21.7]",,High Pass,,37.41898,,Dieumerci Mbokani Bezua,23663.0,,,,,,1,From Kick Off,Sébastien Aymar Bassong Nguena,31296.0,Left Center Back,2,Norwich City,56,"['8182d0cb-5e4d-48c3-8092-5f30671aec54', '8c47bf6e-1520-4a1e-8375-47b9bff3872a']",5,,,,,,,,,,,,,,,,,Norwich City,56,00:00:05.475,Pass,True
