50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_penalty_saved_to_post,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,456e8009-2a16-4b98-9f98-94fa764d434e,1,,,3754225,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,AFC Bournemouth,28,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 20074, 'name': 'Artur Boruc'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3608, 'name': 'Simon Francis'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 9626, 'name': 'Tommy Elphick'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 3341, 'name': 'Steve Cook'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 3345, 'name': 'Charlie Daniels'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 11}, {'player': {'id': 3344, 'name': 'Andrew Surman'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 3304, 'name': 'Harry Arter'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 3463, 'name': 'Junior Stanislas'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 19}, {'player': {'id': 4416, 'name': 'Max-Alain Gradel'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 10}, {'player': {'id': 3278, 'name': 'Benik Afobe'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 20}, {'player': {'id': 9593, 'name': 'Lewis Grabban'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 28}]}",AFC Bournemouth,28,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,41382174-f536-4093-8b92-ad8cc05dafa4,2,,,3754225,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,AFC Bournemouth,28,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 4053, 'name': 'Ben Foster'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3523, 'name': 'Craig Dawson'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 25}, {'player': {'id': 3596, 'name': 'Gareth McAuley'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 23}, {'player': {'id': 20527, 'name': 'Jonas Olsson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 11012, 'name': 'Jonathan Grant Evans'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 6}, {'player': {'id': 3967, 'name': 'Claudio Ariel Yacob'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 4022, 'name': 'Darren Fletcher'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 24}, {'player': {'id': 22702, 'name': 'Jonathan Leko'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 45}, {'player': {'id': 9485, 'name': 'Craig Gardner'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 8}, {'player': {'id': 3514, 'name': 'James McClean'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 14}, {'player': {'id': 4041, 'name': 'José Salomón Rondón Giménez'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 33}]}",West Bromwich Albion,27,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,b503e934-df71-475a-92da-7356fdac6eaf,3,,,3754225,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,AFC Bournemouth,28,['8a9122ce-5a69-466d-89e2-53490d938c6e'],0,,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,8a9122ce-5a69-466d-89e2-53490d938c6e,4,,,3754225,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,AFC Bournemouth,28,['b503e934-df71-475a-92da-7356fdac6eaf'],0,,,,,,,,,,,,,,,,,,West Bromwich Albion,27,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,1348a1c6-688f-49c1-b8ae-268a1a788083,1731,,,3754225,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,94,AFC Bournemouth,28,['cb372e1e-885b-41cd-a17b-788dea0b151b'],0,,,,,,,,,,,,,,,,,,West Bromwich Albion,27,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,cb372e1e-885b-41cd-a17b-788dea0b151b,1732,,,3754225,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,94,AFC Bournemouth,28,['1348a1c6-688f-49c1-b8ae-268a1a788083'],0,,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.487231,,,,,,,,,,,,,,,,e685943a-9b09-4a31-b776-36ca1f9b31ef,5,,"[60.0, 40.0]",3754225,0,,,,,-1.5707964,,Right Foot,,,,"[60.0, 34.7]",,Ground Pass,,5.3,,,José Salomón Rondón Giménez,4041.0,,,,,Kick Off,1,From Kick Off,Craig Gardner,9485.0,Center Attacking Midfield,2,West Bromwich Albion,27,['78db02d9-3264-490c-a768-9a32cd4f70e5'],0,,,,,,,,,,,,,,,,,,West Bromwich Albion,27,00:00:00.420,Pass,
,,,,,,,,,,,,,,,,,1.898826,,,,,,,,,,,,,,,,2b12e01d-4faf-4142-b092-0d27163cb92f,9,,"[57.3, 36.6]",3754225,0,,,,,2.2993083,,Right Foot,,,,"[36.6, 59.8]",,Ground Pass,,31.092281,,,Gareth McAuley,3596.0,,,,,,1,From Kick Off,José Salomón Rondón Giménez,4041.0,Center Forward,2,West Bromwich Albion,27,"['3e8e2a13-59e8-4005-b659-e6b6d1850d7f', '8d9eea16-8689-4a1e-9046-c4bd84cb4465']",3,,,,,,,,,,,,,,,,,,West Bromwich Albion,27,00:00:03.008,Pass,True
,,,,,,,,,,,,,,,,,3.777958,,,,,,,,,,,,,,,,fbccebdd-4fd6-4e5e-af23-46d299fa993e,12,,"[36.6, 59.8]",3754225,0,,,,,0.2948829,,Right Foot,,,,"[100.8, 79.3]",,High Pass,,67.09612,Out,,Jonathan Leko,22702.0,,,,,,1,From Kick Off,Gareth McAuley,3596.0,Right Center Back,2,West Bromwich Albion,27,['6853ac85-7ecc-4560-b085-ee785837c2b6'],6,,,,,,,,,,,,,,,,,,West Bromwich Albion,27,00:00:06.844,Pass,
,,,,,,,,,,,,,,,,,2.042352,,,,,,,,,,,,,,,,e8cfa31c-a272-450e-8fbd-eda0ea9a04d0,14,,"[22.7, 0.1]",3754225,0,,True,,,2.1572485,,,,,,"[12.8, 15.0]",,Low Pass,,17.889103,,,Steve Cook,3341.0,,,,,Throw-in,1,From Throw In,Charlie Daniels,3345.0,Left Back,3,AFC Bournemouth,28,['0596294e-ef6a-447b-b117-b369d7ec90d7'],16,,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:00:16.416,Pass,
