50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,19617b33-b32a-4f5b-bf05-81df9ea4b3b2,1,,,3754086,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,West Ham United,40,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 3623, 'name': 'Adrián San Miguel del Castillo'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 3349, 'name': 'Michail Antonio'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 30}, {'player': {'id': 4280, 'name': 'Winston Reid'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 3843, 'name': 'Angelo Obinze Ogbonna'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 21}, {'player': {'id': 3062, 'name': 'Aaron Cresswell'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 3684, 'name': 'Cheikhou Kouyaté'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 3874, 'name': 'Mark Noble'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 16}, {'player': {'id': 3595, 'name': 'Manuel Lanzini'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 3962, 'name': 'Diafra Sakho'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 15}, {'player': {'id': 3491, 'name': 'Dimitri Payet'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 27}, {'player': {'id': 4271, 'name': 'Andy Carroll'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",West Ham United,40,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,d0a00620-1898-4330-8e42-e1fb8b5c4246,2,,,3754086,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,West Ham United,40,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 3522, 'name': 'Heurelho da Silva Gomes'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 36983, 'name': 'Juan Carlos Paredes Reasco'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 14}, {'player': {'id': 3309, 'name': 'Sebastian Prödl'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 3263, 'name': 'Craig Cathcart'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 3725, 'name': 'José Holebas'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 25}, {'player': {'id': 5540, 'name': 'Valon Behrami'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 23488, 'name': 'Mario Suárez Mata'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 4828, 'name': 'Adlène Guédioura'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 17}, {'player': {'id': 43081, 'name': 'Almen Abdi'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 22}, {'player': {'id': 6870, 'name': 'José Manuel Jurado Marín'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 7}, {'player': {'id': 3302, 'name': 'Nordin Amrabat'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 11}]}",Watford,23,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,dbbce390-3810-45fd-ae1f-7b6872cafe3e,3,,,3754086,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,West Ham United,40,['3077a07e-2ab5-44a9-b260-10b67c5742aa'],0,,,,,,,,,,,,,,,,,Watford,23,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,3077a07e-2ab5-44a9-b260-10b67c5742aa,4,,,3754086,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,West Ham United,40,['dbbce390-3810-45fd-ae1f-7b6872cafe3e'],0,,,,,,,,,,,,,,,,,West Ham United,40,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,8164e803-d1cf-4240-92c7-1f852b95cc61,1777,,,3754086,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,111,Watford,23,['da9980c0-ea5a-4a3c-b41e-42e1e8cdde31'],0,,,,,,,,,,,,,,,,,West Ham United,40,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,da9980c0-ea5a-4a3c-b41e-42e1e8cdde31,1778,,,3754086,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,111,Watford,23,['8164e803-d1cf-4240-92c7-1f852b95cc61'],0,,,,,,,,,,,,,,,,,Watford,23,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.470178,,,,,,,,,,,,,,e2976f3c-18bb-48a2-acd7-283f69760889,5,,"[60.0, 40.0]",3754086,0,,,,-1.4977558,,Right Foot,,,,"[60.3, 35.9]",,Ground Pass,,4.110961,,,,,Nordin Amrabat,3302.0,,,,,,Kick Off,1,From Kick Off,José Manuel Jurado Marín,6870.0,Right Center Forward,2,Watford,23,['d8eab243-1fa1-4922-ab4a-a27bcc2da9bb'],0,,,,,,,,,,,,,,,,,Watford,23,00:00:00.160,Pass,
,,,,,,,,,,,,,,,,2.147836,,,,,,,,,,,,,,4aa548d8-5606-4923-b975-00218df8af87,8,,"[63.0, 37.3]",3754086,0,,,,2.3713121,,Right Foot,,,,"[39.5, 60.1]",,Ground Pass,,32.742786,,,,,Juan Carlos Paredes Reasco,36983.0,,,,,,,1,From Kick Off,Nordin Amrabat,3302.0,Left Center Forward,2,Watford,23,['62542a72-150d-4047-9a9b-7bda690bdbc9'],2,,,,,,,,,,,,,,,,,Watford,23,00:00:02.296,Pass,
,,,,,,,,,,,,,,,,1.607545,,,,,,,,,,,,,,0c4f75ec-b439-4fc2-a4e5-c63b96577adc,11,,"[39.1, 59.6]",3754086,0,,,,-2.680869,,Right Foot,,,,"[25.4, 52.8]",,Ground Pass,,15.29477,,,,,Sebastian Prödl,3309.0,,,,,,,1,From Kick Off,Juan Carlos Paredes Reasco,36983.0,Right Back,2,Watford,23,['f6dc8830-c392-4dea-8c98-4c6816ac4c41'],5,,,,,,,,,,,,,,,,,Watford,23,00:00:05.112,Pass,
,,,,,,,,,,,,,,,,1.870663,,,,,,,,,,,,,,b9e58448-ec0a-45dd-bfbd-4e8c093fcd40,15,,"[28.0, 54.3]",3754086,0,,,,0.0020040052,,Right Foot,,,,"[77.9, 54.4]",,High Pass,,49.9001,,,,,Adlène Guédioura,4828.0,,,,,,,1,From Kick Off,Sebastian Prödl,3309.0,Right Center Back,2,Watford,23,"['084abe15-157e-4a16-a32f-d0ce00db5b3e', '2455bdc2-f9ec-43de-be9c-61d7e984aded']",7,,,,,,,,,,,,,,,,,Watford,23,00:00:07.522,Pass,True
