ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,2.115289,,,,,,,,,,,,,,,615d6b0f-a3de-4bb3-a71d-4389ee8debae,16,,"[32.5, 16.2]",3754027,0,,,,,0.6585659,,Right Foot,,,,"[49.3, 29.2]",,Ground Pass,,21.24241,Incomplete,,,,,,,,,1,From Kick Off,Yann Gérard M''Vila,4429.0,Left Defensive Midfield,2,Tottenham Hotspur,38,"['7530a1e1-6fad-406b-95bf-ab56bb6c2a0b', '82d9d85d-e941-4fdb-ac3e-b805b201127f']",10,,,,,,,,,,,,,,,,,Sunderland,41,00:00:10.023,Pass,True
,,,,,,,,,,,,,,,,0.818852,,,,,,,,,,,,,,,82d9d85d-e941-4fdb-ac3e-b805b201127f,17,,"[70.8, 50.9]",3754027,0,,,,,1.9184031,,Right Foot,,,,"[68.3, 57.8]",,Ground Pass,,7.3389373,,,Eric Dier,10956.0,,,,,Recovery,1,From Kick Off,Mousa Sidi Yaya Dembélé,3037.0,Left Defensive Midfield,2,Tottenham Hotspur,38,"['615d6b0f-a3de-4bb3-a71d-4389ee8debae', '9cd81fbc-f6be-461e-8775-46a9d8ebfda4']",12,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:00:12.139,Pass,
,,,,,,,,,,,,,,,,4.589683,,,,,,,,,,,,,,,79640b40-f7e5-4c67-9637-5e59dc03d49f,20,,"[68.3, 57.8]",3754027,0,,,,,-2.3679242,,Right Foot,,,,"[33.8, 24.1]",,Ground Pass,,48.228,,,Hugo Lloris,3099.0,,,,,,1,From Kick Off,Eric Dier,10956.0,Right Defensive Midfield,2,Tottenham Hotspur,38,['0dcf69e6-a1b6-4e70-b270-aa5961b16f42'],12,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:00:12.996,Pass,
,,,,,,,,,,,,,,,,3.289111,,,,,,,,,,,,,,,38495f9c-6e48-4329-ba05-00538e88cb0f,23,,"[33.8, 24.1]",3754027,0,,,,,0.63171965,,Left Foot,,,,"[88.6, 64.2]",,High Pass,,67.90471,Incomplete,,,,,True,,,,1,From Kick Off,Hugo Lloris,3099.0,Goalkeeper,2,Tottenham Hotspur,38,['c1d9e8a2-2c9a-47ac-806e-787ae24fcdbb'],21,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:00:21.846,Pass,
,,,,,,,,,,,,,,,,1.246261,,,,,,,,,,,,,,,c1d9e8a2-2c9a-47ac-806e-787ae24fcdbb,24,,"[31.5, 15.9]",3754027,0,,,,,0.38389906,,Left Foot,,,,"[51.8, 24.1]",,High Pass,,21.893606,Incomplete,,Jermain Defoe,3337.0,,,,,Recovery,1,From Kick Off,Patrick van Aanholt,3321.0,Left Back,2,Tottenham Hotspur,38,"['38495f9c-6e48-4329-ba05-00538e88cb0f', '54731e00-159a-4670-8b0b-4f66df7191ef', '5f4be9e9-111b-49a8-869c-02fbe3a7826c']",25,,,,,,,,,,,,,,,,,Sunderland,41,00:00:25.136,Pass,
,,,,,,,,,,,,,,,,1.449354,,,,,,,,,,,,,,,5f4be9e9-111b-49a8-869c-02fbe3a7826c,26,,"[68.3, 56.0]",3754027,0,,,,,0.9440534,,Right Foot,,,,"[74.6, 64.7]",,Low Pass,,10.7415085,Incomplete,,,,,,,,Recovery,1,From Kick Off,Eric Dier,10956.0,Right Defensive Midfield,2,Tottenham Hotspur,38,"['3f6f9fb1-4434-4fc0-9ef1-73585aabbd67', 'c1d9e8a2-2c9a-47ac-806e-787ae24fcdbb']",26,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:00:26.382,Pass,
,,,,,,,,,,,,,,,,2.127872,,,,,,,,,,,,,,,e488e921-5d6a-4d9f-abef-346726859869,32,,"[54.6, 3.8]",3754027,0,,,,,-0.005697944,,Right Foot,,,,"[89.7, 3.6]",,High Pass,,35.10057,,,Danny Graham,4217.0,,,,,Free Kick,1,From Free Kick,Wes Brown,40366.0,Left Center Back,4,Sunderland,41,['5333c737-aaa5-49ad-801e-3df532372298'],49,,,,,,,,,,,,,,,,,Sunderland,41,00:00:49.270,Pass,
,,,,,,,,,,,,,,,,2.149195,,,,,,,,,,,,,,,d6d1f5b3-576f-4926-904e-0e9fccfdd9f2,34,,"[89.9, 4.2]",3754027,0,,,,,0.93934286,,Head,,,,"[99.7, 17.6]",,High Pass,,16.601204,,,Jeremain Lens,16457.0,,,,,,1,From Free Kick,Danny Graham,4217.0,Left Wing,4,Sunderland,41,['2f09b61d-7dc6-4620-a47b-7b1b50027d20'],51,,,,,,,,,,,,,,,,,Sunderland,41,00:00:51.398,Pass,
,,,,,,,,,,,,,,,,1.046564,,,,,,,,,,,,,,,c3d28e2b-bf4e-4b27-89e1-9e18ab1dd0d4,43,,"[107.3, 0.1]",3754027,1,,,,,2.515668,,,,,,"[99.0, 6.1]",,Low Pass,,10.241582,,,Lee Cattermole,10783.0,,,,,Throw-in,1,From Throw In,Patrick van Aanholt,3321.0,Left Back,5,Sunderland,41,['2a86a5c6-ef9b-41a9-aab2-4736b328e872'],10,,,,,,,,,,,,,,,,,Sunderland,41,00:01:10.048,Pass,
,,,,,,,,,,,,,,,,0.829196,,,,,,,,,,,,,,,99acf973-ead1-4de9-97db-37613789174d,45,,"[99.9, 5.4]",3754027,1,,,,,-1.0265158,,Right Foot,,,,"[102.2, 1.6]",,Ground Pass,,4.4418464,Incomplete,,Patrick van Aanholt,3321.0,,,,,,1,From Throw In,Lee Cattermole,10783.0,Right Defensive Midfield,5,Sunderland,41,"['4241d98b-af42-489d-8bd4-1cf3edf11c9a', '9c99425d-ccbf-440d-91f3-46c9f1b5942e']",11,,,,,,,,,,,,,,,,,Sunderland,41,00:01:11.094,Pass,
