50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,b9e8d249-5707-4561-a42d-5b8b88f69a69,1,,,3754021,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,AFC Bournemouth,28,,0,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 20074, 'name': 'Artur Boruc'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6409, 'name': 'Adam Smith'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 15}, {'player': {'id': 3608, 'name': 'Simon Francis'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 3341, 'name': 'Steve Cook'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 3345, 'name': 'Charlie Daniels'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 11}, {'player': {'id': 3344, 'name': 'Andrew Surman'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 3049, 'name': 'Matt Ritchie'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 30}, {'player': {'id': 3343, 'name': 'Dan Gosling'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 3304, 'name': 'Harry Arter'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 3463, 'name': 'Junior Stanislas'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 19}, {'player': {'id': 3278, 'name': 'Benik Afobe'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 20}]}",AFC Bournemouth,28,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,b6f5988d-b010-4cf4-a1c2-64d04dbf62b0,2,,,3754021,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,AFC Bournemouth,28,,0,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3623, 'name': 'Adrián San Miguel del Castillo'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 3316, 'name': 'James Tomkins'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 5}, {'player': {'id': 3482, 'name': 'James Collins'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 19}, {'player': {'id': 3843, 'name': 'Angelo Obinze Ogbonna'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 21}, {'player': {'id': 3062, 'name': 'Aaron Cresswell'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 3874, 'name': 'Mark Noble'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 3897, 'name': 'Pedro Mba Obiang Avomo'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 28559, 'name': 'Enner Remberto Valencia Lastra'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 3491, 'name': 'Dimitri Payet'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 27}, {'player': {'id': 3349, 'name': 'Michail Antonio'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 30}, {'player': {'id': 4271, 'name': 'Andy Carroll'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",West Ham United,40,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,28df1642-ebeb-490e-98e7-489a34b05bf5,3,,,3754021,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,AFC Bournemouth,28,['c53aadca-d305-4d26-a542-4d4dc6421bf7'],0,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,c53aadca-d305-4d26-a542-4d4dc6421bf7,4,,,3754021,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,AFC Bournemouth,28,['28df1642-ebeb-490e-98e7-489a34b05bf5'],0,,,,,,,,,,,,,,,,West Ham United,40,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,f9fa255b-4e86-49cb-a0b9-1da3c62c3fcb,1895,,,3754021,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,98,AFC Bournemouth,28,['091ca2ff-f659-4b2c-b01e-90de9f2f08fd'],0,,,,,,,,,,,,,,,,West Ham United,40,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,091ca2ff-f659-4b2c-b01e-90de9f2f08fd,1896,,,3754021,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,98,AFC Bournemouth,28,['f9fa255b-4e86-49cb-a0b9-1da3c62c3fcb'],0,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.335917,,,,,,,,,,,,dc2a45f6-f03e-45ae-b47e-864eca673d78,5,,"[60.0, 40.0]",3754021,0,,,,,-1.7761917,,Right Foot,,,,"[59.5, 37.6]",,Ground Pass,,2.4515302,,,,Mark Noble,3874.0,,,,,,Kick Off,1,From Kick Off,Enner Remberto Valencia Lastra,28559.0,Right Wing,2,West Ham United,40,['07cf35a3-e92c-4ca8-b6bf-6f120c512648'],4,,,,,,,,,,,,,,,,West Ham United,40,00:00:04.848,Pass,
,,,,,,,,,,,,,,,,,,,1.613607,,,,,,,,,,,,1d8ff153-ca58-4743-a58f-d6910ff30f34,8,,"[55.5, 39.1]",3754021,0,,,,,3.0242102,,Right Foot,,,,"[34.3, 41.6]",,Ground Pass,,21.346897,,,,James Collins,3482.0,,,,,,,1,From Kick Off,Mark Noble,3874.0,Right Defensive Midfield,2,West Ham United,40,['30a037e9-7927-4315-9e55-91d851122871'],5,,,,,,,,,,,,,,,,West Ham United,40,00:00:05.938,Pass,
,,,,,,,,,,,,,,,,,,,3.57828,,,,,,,,,,,,ed37bcb4-579f-4df6-ae56-13f03eea4e70,11,,"[33.6, 42.7]",3754021,0,,,,,-0.30970293,,Right Foot,,,,"[98.6, 21.9]",,High Pass,,68.2469,,Incomplete,,Michail Antonio,3349.0,,,,,,,1,From Kick Off,James Collins,3482.0,Right Center Back,2,West Ham United,40,"['e5c22872-39ea-4a49-8125-948bd2160c2a', 'edc540c3-9e1b-4573-a212-3d5dcf432bdf']",8,,,,,,,,,,,,,,,,West Ham United,40,00:00:08.724,Pass,
,,,,,,,,,,,,,,,,,,,1.324133,,,,,,,,,,,,e5c22872-39ea-4a49-8125-948bd2160c2a,14,,"[21.5, 58.2]",3754021,0,,,,,-2.2442386,,Head,,,,"[14.0, 48.8]",,High Pass,,12.02539,,Incomplete,,Artur Boruc,20074.0,,,,,,Recovery,1,From Kick Off,Simon Francis,3608.0,Right Center Back,2,West Ham United,40,"['51318cd9-baac-4180-9f0d-11035e60324c', 'c3a0693e-353e-4b54-9ac3-56850a0db1ff', 'ed37bcb4-579f-4df6-ae56-13f03eea4e70']",12,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:00:12.303,Pass,
