ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,aa856e0d-9b98-4303-819f-6af28d1296a4,1,,,3754284,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Arsenal,1,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3461, 'name': 'Petr Čech'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 33}, {'player': {'id': 3511, 'name': 'Héctor Bellerín Moruno'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 3475, 'name': 'Per Mertesacker'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 3394, 'name': 'Laurent Koscielny'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 3498, 'name': 'Ignacio Monreal Eraso'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 3568, 'name': 'Mohamed Naser Elsayed Elneny'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 35}, {'player': {'id': 3517, 'name': 'Aaron Ramsey'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 3385, 'name': 'Alexis Alejandro Sánchez Sánchez'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 17}, {'player': {'id': 3496, 'name': 'Mesut Özil'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 3647, 'name': 'Alex Iwobi'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 45}, {'player': {'id': 3604, 'name': 'Olivier Giroud'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 12}]}",Arsenal,1,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,27be3c06-e46d-45bd-9e6b-184032cd1e98,2,,,3754284,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Arsenal,1,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 4053, 'name': 'Ben Foster'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3523, 'name': 'Craig Dawson'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 25}, {'player': {'id': 3596, 'name': 'Gareth McAuley'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 23}, {'player': {'id': 11012, 'name': 'Jonathan Grant Evans'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 9628, 'name': 'James Grant Chester'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 4}, {'player': {'id': 3967, 'name': 'Claudio Ariel Yacob'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 4022, 'name': 'Darren Fletcher'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 24}, {'player': {'id': 7121, 'name': 'Sandro Ranieri Guimarães Cordeiro'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 30}, {'player': {'id': 2966, 'name': 'Stéphane Sessègnon'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 29}, {'player': {'id': 3514, 'name': 'James McClean'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 14}, {'player': {'id': 4630, 'name': 'Saido Berahino'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 18}]}",West Bromwich Albion,27,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,d6cf26fa-4b9c-4a90-be93-add078cbac13,3,,,3754284,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Arsenal,1,['7a8556f3-1987-428a-8dd6-599d633b503e'],0,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,7a8556f3-1987-428a-8dd6-599d633b503e,4,,,3754284,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Arsenal,1,['d6cf26fa-4b9c-4a90-be93-add078cbac13'],0,,,,,,,,,,,,,,,,,,West Bromwich Albion,27,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,4accda4a-02a0-48bd-b9e6-e891670fa265,1845,,,3754284,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,78,Arsenal,1,['713c1e6b-ade5-478f-9452-1f019974f1fe'],0,,,,,,,,,,,,,,,,,,West Bromwich Albion,27,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,713c1e6b-ade5-478f-9452-1f019974f1fe,1846,,,3754284,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,78,Arsenal,1,['4accda4a-02a0-48bd-b9e6-e891670fa265'],0,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.674481,,,,,,,,,,,,090abc6f-60bf-4167-b090-a33efba98bdf,5,,"[60.0, 40.0]",3754284,0,,,,,1.5042281,,Left Foot,,,"[60.1, 41.5]",,Ground Pass,,1.5033296,,,,,Mesut Özil,3496.0,,,,,Kick Off,1,From Kick Off,Olivier Giroud,3604.0,Center Forward,2,Arsenal,1,['b0787934-bafb-4211-b6a9-43e0b099496f'],0,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:00.586,Pass,
,,,,,,,,,,,,,,,,1.148546,,,,,,,,,,,,448f1ab8-a7b3-4d1b-b7cf-94c601a24681,8,,"[58.7, 41.4]",3754284,0,,,,,-2.6011732,,Left Foot,,,"[49.2, 35.7]",,Ground Pass,,11.078809,,,,,Aaron Ramsey,3517.0,,,,,,1,From Kick Off,Mesut Özil,3496.0,Center Attacking Midfield,2,Arsenal,1,['0ca1ab8f-86a1-49ef-96bd-daa2241b45a3'],1,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:01.887,Pass,
,,,,,,,,,,,,,,,,1.099811,,,,,,,,,,,,8dbba862-cc12-436c-9010-615b2687a939,11,,"[49.2, 35.7]",3754284,0,,,,,2.3561945,,Right Foot,,,"[43.4, 41.5]",,Ground Pass,,8.202438,,,,,Mohamed Naser Elsayed Elneny,3568.0,,,,,,1,From Kick Off,Aaron Ramsey,3517.0,Left Defensive Midfield,2,Arsenal,1,['79235355-3500-4ef0-8675-75abc783bca0'],3,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:03.130,Pass,
,,,,,,,,,,,,,,,,2.138636,,,,,,,,,,,,5f18ab12-48a1-4a3c-af84-1572ba29c10a,14,,"[43.6, 45.6]",3754284,0,,,,,1.5605927,,Right Foot,,,"[43.8, 65.2]",,Ground Pass,,19.60102,,,,,Per Mertesacker,3475.0,,,,,,1,From Kick Off,Mohamed Naser Elsayed Elneny,3568.0,Right Defensive Midfield,2,Arsenal,1,['b1ed9253-2498-4129-ae69-1027f30dd07f'],5,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:05.291,Pass,
