50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_follows_dribble,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0bb00351-f06e-4646-b937-88cb6a768e34,1,,,3754007,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Stoke City,30,,0,,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3537, 'name': 'Jack Butland'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4724, 'name': 'Glen Johnson'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 8}, {'player': {'id': 3480, 'name': 'Geoff Cameron'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 20}, {'player': {'id': 6560, 'name': 'Marc Muniesa Martínez'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 3467, 'name': 'Erik Pieters'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 9625, 'name': 'Glenn Whelan'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 8251, 'name': 'Marco van Ginkel'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 3533, 'name': 'Xherdan Shaqiri'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 22}, {'player': {'id': 3636, 'name': 'Charlie Adam'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 16}, {'player': {'id': 4891, 'name': 'Ibrahim Afellay'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 14}, {'player': {'id': 3603, 'name': 'Mame Biram Diouf'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 18}]}",Stoke City,30,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,1efd0013-7d85-4e98-8b4f-378d24769beb,2,,,3754007,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Stoke City,30,,0,,,,,,,,,,,,,,,,,,"{'formation': 451, 'lineup': [{'player': {'id': 5108, 'name': 'Glyn Oliver Myhill'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 3523, 'name': 'Craig Dawson'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 25}, {'player': {'id': 3596, 'name': 'Gareth McAuley'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 23}, {'player': {'id': 20527, 'name': 'Jonas Olsson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 20285, 'name': 'Joleon Lescott'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 6}, {'player': {'id': 3967, 'name': 'Claudio Ariel Yacob'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 9485, 'name': 'Craig Gardner'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 8}, {'player': {'id': 4022, 'name': 'Darren Fletcher'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 24}, {'player': {'id': 3490, 'name': 'James Morrison'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 3514, 'name': 'James McClean'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 14}, {'player': {'id': 4041, 'name': 'José Salomón Rondón Giménez'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 33}]}",West Bromwich Albion,27,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,cd563cc1-03bc-4601-8d8b-134c6751db08,3,,,3754007,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Stoke City,30,['cc9491c7-6f84-4520-875e-be8b7f66a4b9'],0,,,,,,,,,,,,,,,,,,,West Bromwich Albion,27,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,cc9491c7-6f84-4520-875e-be8b7f66a4b9,4,,,3754007,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Stoke City,30,['cd563cc1-03bc-4601-8d8b-134c6751db08'],0,,,,,,,,,,,,,,,,,,,Stoke City,30,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0079f3aa-31d4-438a-957b-e5a002a3c42a,1683,,,3754007,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Kick Off,,,,79,Stoke City,30,['2a73c9c7-366b-4768-941b-c448013349f1'],0,,,,,,,,,,,,,,,,,,,West Bromwich Albion,27,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,2a73c9c7-366b-4768-941b-c448013349f1,1684,,,3754007,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Kick Off,,,,79,Stoke City,30,['0079f3aa-31d4-438a-957b-e5a002a3c42a'],0,,,,,,,,,,,,,,,,,,,Stoke City,30,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.787654,,,,,,,,,,,,,,a00b0cf8-ad22-4d5e-a629-b108016a7218,5,,"[61.0, 40.1]",3754007,0,,,,2.0899425,,Right Foot,,,,"[60.2, 41.5]",,Ground Pass,,1.6124516,,,,,Darren Fletcher,4022.0,,,,,,Kick Off,1,From Kick Off,James Morrison,3490.0,Left Center Midfield,2,West Bromwich Albion,27,['9ec1ef90-8c6b-4d3f-b0dd-a264245d4f41'],0,,,,,,,,,,,,,,,,,,,West Bromwich Albion,27,00:00:00.237,Pass,
,,,,,,,,,,,,,,,,,,0.857524,,,,,,,,,,,,,,bbd84dfb-17f2-40cb-8b41-d54f004b16b0,7,,"[61.2, 41.7]",3754007,0,,,,-3.0776799,,Right Foot,,,,"[48.7, 40.9]",,Ground Pass,,12.525574,,,,,Claudio Ariel Yacob,3967.0,,,,,,,1,From Kick Off,Darren Fletcher,4022.0,Right Center Midfield,2,West Bromwich Albion,27,['cc61bc4a-8240-40f8-b34e-2dcf56cf295e'],1,,,,,,,,,,,,,,,,,,,West Bromwich Albion,27,00:00:01.025,Pass,
,,,,,,,,,,,,,,,,,,1.634761,,,,,,,,,,,,,,f545de31-f709-4a62-abef-d3bc95c9ddea,11,,"[50.7, 39.7]",3754007,0,,,,-0.63745886,,Right Foot,,,,"[77.3, 20.0]",,High Pass,,33.100605,,,,,José Salomón Rondón Giménez,4041.0,,,,,,,1,From Kick Off,Claudio Ariel Yacob,3967.0,Center Defensive Midfield,2,West Bromwich Albion,27,"['00312c30-841e-4243-a03b-baa94b00c4fd', '56248c31-14be-4abd-8afc-578ec3405a67']",2,,,,,,,,,,,,,,,,,,,West Bromwich Albion,27,00:00:02.555,Pass,True
,,,,,,,,,,,,,,,,,,1.179945,,,,,,,,,,,,,,c49a02b0-9234-43ee-8147-8e8fd137425b,17,,"[39.6, 73.4]",3754007,0,,,,-2.2561831,,Right Foot,,,,"[26.6, 57.5]",,Ground Pass,,20.538013,,,,,Geoff Cameron,3480.0,,,,,,,1,Regular Play,Glen Johnson,4724.0,Right Back,3,Stoke City,30,['f42df5fd-af8d-4c3d-bf79-daaf95d8a51a'],6,,,,,,,,,,,,,,,,,,,Stoke City,30,00:00:06.051,Pass,
