ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,6ab420bd-cf8c-498d-879a-533b6238513b,1,,,3754117,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Aston Villa,59,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 12608, 'name': 'Bradley Guzan'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 9642, 'name': 'Alan Hutton'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 21}, {'player': {'id': 24380, 'name': 'Tetchi Jores Charlemagne Ulrich Okore'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 20285, 'name': 'Joleon Lescott'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 16}, {'player': {'id': 9533, 'name': 'Leandro Bacuna'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 7}, {'player': {'id': 5685, 'name': 'Carlos Alberto Sánchez Moreno'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 24}, {'player': {'id': 7153, 'name': 'Jordan Veretout'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 17}, {'player': {'id': 3436, 'name': 'Idrissa Gana Gueye'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 11117, 'name': 'Scott Sinclair'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 9}, {'player': {'id': 3450, 'name': 'Jordan Ayew'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 19}, {'player': {'id': 19362, 'name': 'Rudy Gestede'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 39}]}",Aston Villa,59,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,e034ad1f-1f86-4b69-8cd4-c2064fb5cc00,2,,,3754117,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Aston Villa,59,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3461, 'name': 'Petr Čech'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 33}, {'player': {'id': 3511, 'name': 'Héctor Bellerín Moruno'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 24}, {'player': {'id': 3475, 'name': 'Per Mertesacker'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 3394, 'name': 'Laurent Koscielny'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 3498, 'name': 'Ignacio Monreal Eraso'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 6631, 'name': 'Mathieu Flamini'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 3517, 'name': 'Aaron Ramsey'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 16}, {'player': {'id': 5581, 'name': 'Joel Nathaniel Campbell Samuels'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 28}, {'player': {'id': 3496, 'name': 'Mesut Özil'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 11}, {'player': {'id': 3668, 'name': 'Theo Walcott'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 14}, {'player': {'id': 3604, 'name': 'Olivier Giroud'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 12}]}",Arsenal,1,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,e6b616f8-a311-4708-aca2-be95cc540172,3,,,3754117,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Aston Villa,59,['e757645c-0c42-47c0-9835-dee850c764ef'],0,,,,,,,,,,,,,,,,,Arsenal,1,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,e757645c-0c42-47c0-9835-dee850c764ef,4,,,3754117,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Aston Villa,59,['e6b616f8-a311-4708-aca2-be95cc540172'],0,,,,,,,,,,,,,,,,,Aston Villa,59,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,2c92f3a5-7930-4504-8685-4192c9b0c22a,1616,,,3754117,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,74,Aston Villa,59,['487d8684-640a-4fce-a7da-187c968e722a'],0,,,,,,,,,,,,,,,,,Aston Villa,59,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,487d8684-640a-4fce-a7da-187c968e722a,1617,,,3754117,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,74,Aston Villa,59,['2c92f3a5-7930-4504-8685-4192c9b0c22a'],0,,,,,,,,,,,,,,,,,Arsenal,1,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,1.66734,,,,,,,,,,,,f9e97f5a-13ac-408b-b913-44d00883fc5d,5,,"[61.0, 40.1]",3754117,0,,True,,,-2.858101,,Left Foot,,,"[48.3, 36.4]",,Ground Pass,,13.228001,,,,,Aaron Ramsey,3517.0,,,,,Kick Off,1,From Kick Off,Mesut Özil,3496.0,Center Attacking Midfield,2,Arsenal,1,['3f288778-c85b-4421-bfd3-b703b511bee2'],0,,,,,,,,,,,,,,,,,Arsenal,1,00:00:00.375,Pass,
,,,,,,,,,,,,,,,1.622237,,,,,,,,,,,,da194708-567d-475e-b2cf-24da80a22945,7,,"[49.3, 36.0]",3754117,0,,,,,-1.7794274,,Right Foot,,,"[44.6, 13.8]",,Ground Pass,,22.69207,,,,,Ignacio Monreal Eraso,3498.0,,,,,,1,From Kick Off,Aaron Ramsey,3517.0,Left Center Midfield,2,Arsenal,1,['2743e4f3-93f6-4ed3-9ea4-4724a0db8af5'],2,,,,,,,,,,,,,,,,,Arsenal,1,00:00:02.452,Pass,
,,,,,,,,,,,,,,,1.005389,,,,,,,,,,,,947b6e4f-1454-4b8e-b698-9e3fdc978ed1,10,,"[40.6, 15.2]",3754117,0,,,,,2.4446726,,Left Foot,,,"[27.1, 26.5]",,Ground Pass,,17.605112,,,,,Laurent Koscielny,3394.0,,,,,,1,From Kick Off,Ignacio Monreal Eraso,3498.0,Left Back,2,Arsenal,1,['f0b2c86f-0b07-4935-9986-321011ffe0be'],5,,,,,,,,,,,,,,,,,Arsenal,1,00:00:05.421,Pass,
,,,,,,,,,,,,,,,2.793725,,,,,,,,,,,,6948d9e9-bfce-470d-946f-b7869a2e9aa9,13,,"[35.0, 25.8]",3754117,0,,,,,-0.27433044,,Right Foot,,,"[88.3, 10.8]",,High Pass,,55.37048,,,,,Theo Walcott,3668.0,,,,,,1,From Kick Off,Laurent Koscielny,3394.0,Left Center Back,2,Arsenal,1,['0154f198-3ba0-4a15-b1d2-5a6e06199ac4'],9,,,,,,,,,,,,,,,,,Arsenal,1,00:00:09.614,Pass,
