50_50,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,0.566473,,,,,,,,,,,,,d2c5bcf8-fffd-4563-8f98-a832586c7e5d,15,,"[57.8, 2.9]",3754292,0,,True,,,1.9176313,,Right Foot,,,,"[54.8, 11.2]",,Ground Pass,,8.825531,,,,Rolando Aarons,3391.0,,,,,,1,From Kick Off,Andros Townsend,3297.0,Left Wing,2,Newcastle United,37,['9dc3f33d-8f14-414a-b7b7-f0e89557130b'],6,,,,,,,,,,,,,,,,,Newcastle United,37,00:00:06.625,Pass,
,,,,,,,,,,,,,2.69568,,,,,,,,,,,,,a4d282ee-7aa5-46b3-a992-af768594a381,17,,"[48.0, 10.3]",3754292,0,,,,,1.9453433,,Right Foot,,,,"[42.3, 24.8]",,Ground Pass,,15.580115,,,,Cheik Ismaël Tioté,42900.0,,,,,,1,From Kick Off,Rolando Aarons,3391.0,Left Back,2,Newcastle United,37,['07a3f5f2-ce0b-45cf-92d4-374b62060a61'],8,,,,,,,,,,,,,,,,,Newcastle United,37,00:00:08.726,Pass,
,,,,,,,,,,,,,1.131725,,,,,,,,,,,,,04141828-f617-41b4-9332-4771a0a78e6e,19,,"[39.6, 33.1]",3754292,0,,,,,1.4904013,,Right Foot,,,,"[41.3, 54.2]",,Ground Pass,,21.168373,,,,Jonjo Shelvey,3057.0,,,,,,1,From Kick Off,Cheik Ismaël Tioté,42900.0,Left Defensive Midfield,2,Newcastle United,37,['64ef6ceb-b963-4a36-a5e4-54ace16ffce6'],11,,,,,,,,,,,,,,,,,Newcastle United,37,00:00:11.422,Pass,
,,,,,,,,,,,,,1.157818,,,,,,,,,,,,,bd1e1693-fbe0-42c9-9e20-e3e74af90d60,22,,"[41.1, 47.2]",3754292,0,,,,,-0.3103874,,Right Foot,,,,"[51.7, 43.8]",,Ground Pass,,11.131936,,,,Cheik Ismaël Tioté,42900.0,,,,,,1,From Kick Off,Jonjo Shelvey,3057.0,Right Defensive Midfield,2,Newcastle United,37,['7b61ad13-9dfd-4b8c-b438-9d16bdd97eb4'],15,,,,,,,,,,,,,,,,,Newcastle United,37,00:00:15.579,Pass,
,,,,,,,,,,,,,1.37132,,,,,,,,,,,,,7e4748b2-38b9-439f-817f-d84560d2a474,26,,"[59.5, 56.5]",3754292,0,,,,,-2.0054665,,Left Foot,,,,"[51.7, 39.7]",,Ground Pass,,18.522419,,,,Jonjo Shelvey,3057.0,,,,,,1,From Kick Off,Cheik Ismaël Tioté,42900.0,Left Defensive Midfield,2,Newcastle United,37,['b51db7ae-e159-41c7-b039-f257e0bd1e9b'],20,,,,,,,,,,,,,,,,,Newcastle United,37,00:00:20.112,Pass,
,,,,,,,,,,,,,2.693672,,,,,,,,,,,,,3bac73b5-aa2f-4c7a-a0e3-5bd3b599db32,29,,"[59.8, 44.6]",3754292,0,,,,,0.84987557,,Right Foot,,,,"[89.5, 78.4]",,High Pass,,44.994778,,,,Daryl Janmaat,3650.0,,,,,,1,From Kick Off,Jonjo Shelvey,3057.0,Right Defensive Midfield,2,Newcastle United,37,['27d775f8-af80-48ca-8f79-860dfa2e1b09'],24,,,,,,,,,,,,,,,,,Newcastle United,37,00:00:24.072,Pass,
,,,,,,,,,,,,,1.107065,,,,,,,,,,,,,814e534d-e1e2-48e0-a141-8cf456a034e7,32,,"[86.9, 79.7]",3754292,0,,,,,-2.549406,,Right Foot,,,,"[81.4, 76.0]",,Ground Pass,,6.6287255,,,,Moussa Sissoko,3091.0,,,,,,1,From Kick Off,Daryl Janmaat,3650.0,Right Back,2,Newcastle United,37,['b415d17e-5455-466d-bfbe-9c607de87671'],27,,,,,,,,,,,,,,,,,Newcastle United,37,00:00:27.895,Pass,
,,,,,,,,,,,,,1.19546,,,,,,,,,,,,,6a8b6019-645c-4ab4-bdc1-f9dd7454aa9c,35,,"[82.2, 71.2]",3754292,0,,,,,-2.007872,,Right Foot,,,,"[76.5, 59.0]",,Ground Pass,,13.465883,,,,Cheik Ismaël Tioté,42900.0,,,,,,1,From Kick Off,Moussa Sissoko,3091.0,Right Wing,2,Newcastle United,37,['e4b2cbe8-9d61-4e5a-8b90-bacf98623d50'],29,,,,,,,,,,,,,,,,,Newcastle United,37,00:00:29.985,Pass,
,,,,,,,,,,,,,1.261238,,,,,,,,,,,,,1b58c5e0-85bf-49d1-be09-4b304d8b7a80,38,,"[77.0, 51.5]",3754292,0,,,,,-1.5568438,,Right Foot,,,,"[77.3, 30.0]",,Ground Pass,,21.502092,,,,Jonjo Shelvey,3057.0,,,,,,1,From Kick Off,Cheik Ismaël Tioté,42900.0,Left Defensive Midfield,2,Newcastle United,37,['1b5c119c-547c-4bcf-996b-ab2928389086'],31,,,,,,,,,,,,,,,,,Newcastle United,37,00:00:31.989,Pass,
,,,,,,,,,,,,,2.140465,,,,,,,,,,,,,91e8c331-003b-49a8-9568-2d667f6af1ac,41,,"[80.0, 37.7]",3754292,0,,,,,1.0647213,,Right Foot,,,,"[103.0, 79.2]",,High Pass,,47.44734,,,,Daryl Janmaat,3650.0,,True,,,,1,From Kick Off,Jonjo Shelvey,3057.0,Right Defensive Midfield,2,Newcastle United,37,['5fd642a6-9920-4cee-a5b5-f8c4743d328d'],35,,,,,,,,,,,,,,,,,Newcastle United,37,00:00:35.355,Pass,
