bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,3.946128,,,,,,,,,,,,,1307ce41-6e93-41bc-ae32-06065f0f913e,17,,,"[15.7, 34.9]",3754235,0,,,,,1.2051715,,Keeper Arm,,,"[27.3, 65.2]",Ground Pass,,32.44457,,,Winston Reid,4280.0,,,,,,1,Regular Play,Adrián San Miguel del Castillo,3623.0,Goalkeeper,3,West Ham United,40,['d3a10120-d0bc-422a-bea1-0e05b0d1a835'],15,,,,,,,,,,,,,,,,West Ham United,40,00:00:15.603,Pass,
,,,,,,,,,,,,,,,,0.942442,,,,,,,,,,,,,f5a241c3-cb6d-4a44-9924-40c5cd2ee419,19,,,"[26.8, 69.4]",3754235,0,,,,,-0.07058959,,Right Foot,,,"[36.7, 68.7]",Ground Pass,,9.924717,,,Cheikhou Kouyaté,3684.0,,,,,,1,Regular Play,Winston Reid,4280.0,Right Center Back,3,West Ham United,40,['95f11eb7-f985-47d8-9368-fc2f4d8b195c'],19,,,,,,,,,,,,,,,,West Ham United,40,00:00:19.549,Pass,
,,,,,,,,,,,,,,,,1.329227,,,,,,,,,,,,,001532dc-a94f-40a6-8a21-6572ebd7e519,22,,,"[35.7, 71.4]",3754235,0,,,,,-2.8992596,,Right Foot,,,"[26.8, 69.2]",Ground Pass,,9.167879,,,Winston Reid,4280.0,,,,,,1,Regular Play,Cheikhou Kouyaté,3684.0,Right Center Midfield,3,West Ham United,40,['9d4fb0c7-b7d6-4d96-8264-dbcaca5602ce'],22,,,,,,,,,,,,,,,,West Ham United,40,00:00:22.833,Pass,
,,,,,,,,,,,,,,,,1.823116,,,,,,,,,,,,,3135b39e-c3c2-4aeb-8269-15ee0a26f906,25,,,"[27.4, 66.8]",3754235,0,,,,,-1.6047455,,Right Foot,,,"[26.5, 40.3]",Ground Pass,,26.515278,,,Angelo Obinze Ogbonna,3843.0,,,,,,1,Regular Play,Winston Reid,4280.0,Right Center Back,3,West Ham United,40,['22497830-8a71-4b12-b359-72e2faec2ea0'],25,,,,,,,,,,,,,,,,West Ham United,40,00:00:25.508,Pass,
,,,,,,,,,,,,,,,,2.144308,,,,,,,,,,,,,a653aead-7c5f-4db6-83d0-5a8ff66efb0f,28,,,"[27.6, 39.4]",3754235,0,,,,,-1.090305,,Left Foot,,,"[41.1, 13.5]",Ground Pass,,29.207191,,,Manuel Lanzini,3595.0,,,,,,1,Regular Play,Angelo Obinze Ogbonna,3843.0,Left Center Back,3,West Ham United,40,['cb73aee9-31e3-4d78-99ef-86e8514d5d4a'],28,,,,,,,,,,,,,,,,West Ham United,40,00:00:28.223,Pass,
,,,,,,,,,,,,,,,,1.573739,,,,,,,,,,,,,4dba657c-8b55-4a9a-82b7-d0ea4f03db2e,31,,,"[41.9, 13.7]",3754235,0,,,,,1.5917357,,Right Foot,,,"[41.5, 32.8]",Ground Pass,,19.104189,,,Angelo Obinze Ogbonna,3843.0,,,,,,1,Regular Play,Manuel Lanzini,3595.0,Left Center Midfield,3,West Ham United,40,['f61b8e9b-7ea0-4cc2-988d-9e00f4b71881'],34,,,,,,,,,,,,,,,,West Ham United,40,00:00:34.832,Pass,
,,,,,,,,,,,,,,,,0.919875,,,,,,,,,,,,,454314bb-66fe-43ff-adb0-2ccacd96b67b,34,,,"[43.1, 33.4]",3754235,0,,,,,0.7541583,,Left Foot,,,"[46.4, 36.5]",Ground Pass,,4.527693,,,Cheikhou Kouyaté,3684.0,,,,,,1,Regular Play,Angelo Obinze Ogbonna,3843.0,Left Center Back,3,West Ham United,40,['7933c5fc-64f1-4e78-9598-4aa2e3d40055'],36,,,,,,,,,,,,,,,,West Ham United,40,00:00:36.486,Pass,
,,,,,,,,,,,,,,,,1.617306,,,,,,,,,,,,,b994d5c7-e424-4257-8de7-96f9d0992cf8,37,,,"[50.2, 46.7]",3754235,0,,,,,1.3497831,,Right Foot,,,"[57.3, 78.3]",Ground Pass,,32.387806,,,Carl Jenkinson,21254.0,,,,,,1,Regular Play,Cheikhou Kouyaté,3684.0,Right Center Midfield,3,West Ham United,40,['e4d85227-e69f-4863-a8e1-9fc52cb2c48b'],39,,,,,,,,,,,,,,,,West Ham United,40,00:00:39.428,Pass,
,,,,,,,,,,,,,,,,2.188587,,,,,,,,,,,,,41e11d5a-10ba-41db-a4b9-ec21c45d1ac9,39,,,"[57.0, 77.0]",3754235,0,,,,,-2.2809942,,Right Foot,,,"[43.5, 61.3]",Ground Pass,,20.706038,,,Winston Reid,4280.0,,,,,,1,Regular Play,Carl Jenkinson,21254.0,Right Back,3,West Ham United,40,['44e65b5b-8d82-4f83-a435-046a0a4c8a26'],41,,,,,,,,,,,,,,,,West Ham United,40,00:00:41.045,Pass,
,,,,,,,,,,,,,,,,1.298363,,,,,,,,,,,,,b9db7bbe-f2bd-43cd-a22b-016eea9d77ea,42,,,"[43.5, 61.2]",3754235,0,,,,,-1.9111062,,Right Foot,,,"[34.4, 35.5]",Ground Pass,,27.263529,,,Angelo Obinze Ogbonna,3843.0,,,,,,1,Regular Play,Winston Reid,4280.0,Right Center Back,3,West Ham United,40,['1836ca86-dc54-468a-b013-23ec7f2ffb63'],43,,,,,,,,,,,,,,,,West Ham United,40,00:00:43.279,Pass,
