50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_saved_to_post,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,b81de689-2c1e-4e42-acb1-57dedc63364c,1,,,3754252,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Everton,29,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 16309, 'name': 'Joel Robles Blázquez'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4589, 'name': 'Séamus Coleman'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 23}, {'player': {'id': 20046, 'name': 'Phil Jagielka'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 4629, 'name': 'José Ramiro Funes Mori'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 25}, {'player': {'id': 5836, 'name': 'Bryan Oviedo'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 8}, {'player': {'id': 3607, 'name': 'James McCarthy'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 3633, 'name': 'Gareth Barry'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 3953, 'name': 'Aaron Lennon'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 12}, {'player': {'id': 4275, 'name': 'Ross Barkley'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 20}, {'player': {'id': 3683, 'name': 'Tom Cleverley'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 15}, {'player': {'id': 3289, 'name': 'Romelu Lukaku Menama'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Everton,29,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,659d9330-b290-4b7d-bea2-26fe7915cf4d,2,,,3754252,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Everton,29,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3096, 'name': 'Rob Elliot'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3650, 'name': 'Daryl Janmaat'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 22}, {'player': {'id': 3044, 'name': 'Chancel Mbemba Mangulu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 18}, {'player': {'id': 26207, 'name': 'Fabricio Coloccini'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 2}, {'player': {'id': 3065, 'name': 'Paul Dummett'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 5110, 'name': 'Henri Saivet'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 3057, 'name': 'Jonjo Shelvey'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 12}, {'player': {'id': 3091, 'name': 'Moussa Sissoko'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 3567, 'name': 'Georginio Wijnaldum'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 5}, {'player': {'id': 3297, 'name': 'Andros Townsend'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 25}, {'player': {'id': 3076, 'name': 'Ayoze Pérez Gutiérrez'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 17}]}",Newcastle United,37,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,31309338-cb29-455a-9434-875eb219836b,3,,,3754252,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Everton,29,['b2e55eae-1119-4c80-9564-92c36d95885b'],0,,,,,,,,,,,,,,,,,,Newcastle United,37,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,b2e55eae-1119-4c80-9564-92c36d95885b,4,,,3754252,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Everton,29,['31309338-cb29-455a-9434-875eb219836b'],0,,,,,,,,,,,,,,,,,,Everton,29,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,dafcd9b4-fccb-4bf6-ab1b-81edb1f0449e,1797,,,3754252,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,86,Newcastle United,37,['fc60d0db-874c-4285-970f-884466365562'],0,,,,,,,,,,,,,,,,,,Newcastle United,37,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,fc60d0db-874c-4285-970f-884466365562,1798,,,3754252,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,86,Newcastle United,37,['dafcd9b4-fccb-4bf6-ab1b-81edb1f0449e'],0,,,,,,,,,,,,,,,,,,Everton,29,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.597584,,,,,,,,,,,,,,,,,d6c0c910-ddcc-44ab-91e5-502c11c4825b,5,,"[60.0, 40.0]",3754252,0,,,,,2.0344439,,Left Foot,,"[59.3, 41.4]",,Ground Pass,,1.5652475,,,,Ross Barkley,4275.0,,,,,,Kick Off,1,From Kick Off,Romelu Lukaku Menama,3289.0,Center Forward,2,Everton,29,['bf4113e6-6fc2-484e-a03a-962173e196f9'],0,,,,,,,,,,,,,,,,,,Everton,29,00:00:00.829,Pass,
,,,,,,,,,,,,,,,,,,,2.128739,,,,,,,,,,,,,,,,,403fbb0d-73c0-4ee1-9767-2fa36fbd2b25,8,,"[61.2, 41.9]",3754252,0,,,,,2.0746608,,Right Foot,,"[46.7, 68.2]",,Ground Pass,,30.032316,,,,Séamus Coleman,4589.0,,,,,,,1,From Kick Off,Ross Barkley,4275.0,Center Attacking Midfield,2,Everton,29,['03c95142-c39c-4347-9c01-239b01d9e226'],2,,,,,,,,,,,,,,,,,,Everton,29,00:00:02.690,Pass,
,,,,,,,,,,,,,,,,,,,1.518869,,,,,,,,,,,,,,,,,9692b5b0-1b99-4006-92ae-1b3bb7ac1b68,12,,"[46.9, 66.5]",3754252,0,,,,,-0.5667292,,Left Foot,,"[71.1, 51.1]",,High Pass,,28.68449,,,Incomplete,Romelu Lukaku Menama,3289.0,,,,,,,1,From Kick Off,Séamus Coleman,4589.0,Right Back,2,Everton,29,"['16521e75-77b3-4571-9814-09c30b331093', '69de3759-9fac-4bac-9de0-37805d0156dc', '948db095-7b97-422c-9015-8d0a95acac73']",5,,,,,,,,,,,,,,,,,,Everton,29,00:00:05.938,Pass,True
,,,,,,,,,,,,,,,,,,,1.399586,,,,,,,,,,,,,,,,,16521e75-77b3-4571-9814-09c30b331093,14,,"[49.0, 29.0]",3754252,0,,,,,0.59171546,,Head,,"[67.6, 41.5]",,High Pass,,22.410042,,,Incomplete,,,,,,,,Recovery,1,From Kick Off,Henri Saivet,5110.0,Right Defensive Midfield,2,Everton,29,"['3b4341e5-85ab-40e5-95f3-ae64d4c0b2a2', '9692b5b0-1b99-4006-92ae-1b3bb7ac1b68']",7,,,,,,,,,,,,,,,,,,Newcastle United,37,00:00:07.457,Pass,
,,,,,,,,,,,,,,,,,,,1.713655,,,,,,,,,,,,,,,,,3b4341e5-85ab-40e5-95f3-ae64d4c0b2a2,15,,"[52.5, 38.6]",3754252,0,,,,,-1.6377692,,Head,,"[51.4, 22.2]",,High Pass,,16.43685,,,,Bryan Oviedo,5836.0,,,,,,Recovery,1,From Kick Off,Gareth Barry,3633.0,Left Defensive Midfield,2,Everton,29,"['16521e75-77b3-4571-9814-09c30b331093', 'afa6ae0e-8d03-4a0d-b5c6-6418418c9f7b']",8,,,,,,,,,,,,,,,,,,Everton,29,00:00:08.857,Pass,
,,,,,,,,,,,,,,,,,,,1.750229,,,,,,,,,,,,,,,,,5616da7a-773a-490d-9029-e3fee186a0af,18,,"[48.8, 18.1]",3754252,0,,,,,2.6693492,,Head,,"[34.9, 25.2]",,Low Pass,,15.608331,,,,José Ramiro Funes Mori,4629.0,,,,,,,1,From Kick Off,Bryan Oviedo,5836.0,Left Back,2,Everton,29,['00b5f3c8-4dc2-4a9c-9f5b-dc63077758f3'],10,,,,,,,,,,,,,,,,,,Everton,29,00:00:10.610,Pass,
,,,,,,,,,,,,,,,,,,,1.412286,,,,,,,,,,,,,,,,,92ade2d5-6062-41bd-a33c-5afa0bffc2aa,21,,"[34.9, 25.2]",3754252,0,,,,,-0.9813793,,Right Foot,,"[45.8, 8.9]",,High Pass,,19.608671,,,,Bryan Oviedo,5836.0,,,,,,,1,From Kick Off,José Ramiro Funes Mori,4629.0,Left Center Back,2,Everton,29,['a1aefa77-6db3-4f0e-8f75-78b6561e1e96'],12,,,,,,,,,,,,,,,,,,Everton,29,00:00:12.400,Pass,
,,,,,,,,,,,,,,,,,,,0.726682,,,,,,,,,,,,,,,,,6e7e9f6c-ceab-4bab-ba5e-af749b31f5e0,25,,"[47.1, 7.2]",3754252,0,,,,,1.0370882,,Left Foot,,"[52.3, 16.0]",,Ground Pass,,10.221546,,,,Gareth Barry,3633.0,,,,,,,1,From Kick Off,Bryan Oviedo,5836.0,Left Back,2,Everton,29,"['ca46d44d-61f0-4b22-8236-9317f1a271a1', 'fb228ffa-b6af-4948-be5c-7d124bddee04']",15,,,,,,,,,,,,,,,,,,Everton,29,00:00:15.102,Pass,True
,,,,,,,,,,,,,,,,,,,1.350894,,,,,,,,,,,,,,,,,c59a8bf2-b053-4ae5-ba88-1eda71a4a8bf,29,,"[51.2, 10.4]",3754252,0,,,,,0.513606,,Left Foot,,"[66.8, 19.2]",,Ground Pass,,17.91089,,,Incomplete,,,,,,,,,1,From Kick Off,Gareth Barry,3633.0,Left Defensive Midfield,2,Everton,29,['04dff9f6-8a68-4a62-8707-8d823efdd54e'],18,,,,,,,,,,,,,,,,,,Everton,29,00:00:18.630,Pass,
,,,,,,,,,,,,,,,,,,,0.693308,,,,,,,,,,,,,,,,,3f7f5b74-935f-4ed6-abca-4228f29f2265,33,,"[53.3, 62.2]",3754252,0,,,,,0.9641912,,Right Foot,,"[56.7, 67.1]",,Ground Pass,,5.964059,,,,Jonjo Shelvey,3057.0,,,,,,,1,Regular Play,Henri Saivet,5110.0,Right Defensive Midfield,3,Newcastle United,37,"['47d76c47-57e9-4d24-b77e-8b0feda1d758', 'ae7359e8-be21-4b4b-8039-eb6adc3f987f']",20,,,,,,,,,,,,,,,,,,Newcastle United,37,00:00:20.703,Pass,True
,,,,,,,,,,,,,,,,,,,1.289892,,,,,,,,,,,,,,,,,f1a26cd5-5113-47ff-a0ca-6558ae855327,36,,"[56.7, 67.1]",3754252,0,,,,,-2.8852875,,Right Foot,,"[42.2, 63.3]",,Ground Pass,,14.989663,,,,Chancel Mbemba Mangulu,3044.0,,,,,,,1,Regular Play,Jonjo Shelvey,3057.0,Left Defensive Midfield,3,Newcastle United,37,['01f0166b-47ed-4321-b7a1-37239430ed0e'],21,,,,,,,,,,,,,,,,,,Newcastle United,37,00:00:21.436,Pass,
,,,,,,,,,,,,,,,,,,,1.867976,,,,,,,,,,,,,,,,,40243d32-0a3f-4108-9704-1b10a5adc3c8,39,,"[40.9, 62.2]",3754252,0,,,,,-2.6703117,,Right Foot,,"[14.8, 48.9]",,Ground Pass,,29.293344,,,,Fabricio Coloccini,26207.0,,,,,,,1,Regular Play,Chancel Mbemba Mangulu,3044.0,Right Center Back,3,Newcastle United,37,['ec849b35-aa41-4837-bd8e-80c9d22e452e'],24,,,,,,,,,,,,,,,,,,Newcastle United,37,00:00:24.927,Pass,
,,,,,,,,,,,,,,,,,,,1.750162,,,,,,,,,,,,,,,,,08ccb1a6-5cbb-4040-8d68-8b226d3e60d8,42,,"[14.8, 48.9]",3754252,0,,,,,-2.4217937,,No Touch,,"[7.5, 42.5]",,Ground Pass,,9.708244,,True,,Rob Elliot,3096.0,,,,,,,1,Regular Play,Fabricio Coloccini,26207.0,Left Center Back,3,Newcastle United,37,['0192146f-5d40-4e7b-b368-f3497a83b7cb'],27,,,,,,,,,,,,,,,,,,Newcastle United,37,00:00:27.092,Pass,
,,,,,,,,,,,,,,,,,,,2.897438,,,,,,,,,,,,,,,,,2c6d8276-c704-4211-83c5-59f7299857da,45,,"[7.5, 41.0]",3754252,0,,,,,-0.44545275,,Left Foot,,"[56.3, 17.7]",,High Pass,,54.077076,,,Incomplete,Andros Townsend,3297.0,,,,,,,1,Regular Play,Rob Elliot,3096.0,Goalkeeper,3,Newcastle United,37,"['b5fbc79e-871f-4fdd-b1b7-d136ad7445d4', 'c2afb31e-a28d-4c4d-a3a3-a67de838de06']",31,,,,,,,,,,,,,,,,,,Newcastle United,37,00:00:31.906,Pass,
,,,,,,,,,,,,,,,,,,,1.160244,,,,,,,,,,,,,,,,,c2afb31e-a28d-4c4d-a3a3-a67de838de06,48,,"[63.8, 62.4]",3754252,0,,,,True,0.1116033,,,,"[75.4, 63.7]",,High Pass,,11.672618,,,,Aaron Lennon,3953.0,,,,,,Recovery,1,Regular Play,Séamus Coleman,4589.0,Right Back,4,Everton,29,"['2c6d8276-c704-4211-83c5-59f7299857da', '9997dbf2-fff4-4dcf-bdb2-4799467c70ac', 'd3e5f734-ee0a-4149-9f1f-57986a659e39']",34,,,,,,,,,,,,,,,,,,Everton,29,00:00:34.804,Pass,True
,,,,,,,,,,,,,,,,,,,1.3942,,,,,,,,,,,,,,,,,7f89f076-8b68-4b38-916e-ae64fe177ee3,50,,"[74.9, 63.7]",3754252,0,,,,,-0.3932794,,Head,,"[84.3, 59.8]",,High Pass,,10.176934,,,Incomplete,,,,,,,,,1,Regular Play,Aaron Lennon,3953.0,Right Wing,4,Everton,29,['77a38a5d-acdd-402a-819d-9b382338f18e'],36,,,,,,,,,,,,,,,,,,Everton,29,00:00:36.011,Pass,
,,,,,,,,,,,,,,,,,,,3.879826,,,,,,,,,,,,,,,,,77a38a5d-acdd-402a-819d-9b382338f18e,51,,"[35.8, 20.3]",3754252,0,,,,,-0.21919306,,Left Foot,,"[76.2, 11.3]",,High Pass,,41.39034,,,Incomplete,Ayoze Pérez Gutiérrez,3076.0,,,,,,Recovery,1,Regular Play,Paul Dummett,3065.0,Left Back,4,Everton,29,"['3ff68ef5-929a-4333-bfae-9eefd4ab607d', '7f89f076-8b68-4b38-916e-ae64fe177ee3', 'a5c8ada8-b087-422f-a3be-7f62263e472b']",37,,,,,,,,,,,,,,,,,,Newcastle United,37,00:00:37.405,Pass,
,,,,,,,,,,,,,,,,,,,2.031544,,,,,,,,,,,,,,,,,e405e0a9-2d0e-4d79-89fb-f6be222ae2a9,57,,"[46.9, 70.5]",3754252,0,,,,,-0.91537,,Right Foot,,"[74.5, 34.6]",,High Pass,,45.28322,,,Incomplete,Tom Cleverley,3683.0,,,,,,,1,Regular Play,Phil Jagielka,20046.0,Right Center Back,4,Everton,29,"['24dedca8-f995-4b38-a369-a2bb36d31599', '7e8be6bf-8e51-4fc3-b877-991f2cb94112', '90c6af0f-a675-445d-bedd-3dc64afcf381']",43,,,,,,,,,,,,,,,,,,Everton,29,00:00:43.744,Pass,True
