50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,20424f9e-043b-4c66-b0f1-475be2a2bb22,1,,,,3754273,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Watford,23,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3522, 'name': 'Heurelho da Silva Gomes'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3991, 'name': 'Allan Romeo Nyom'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 3263, 'name': 'Craig Cathcart'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 15}, {'player': {'id': 3288, 'name': 'Miguel Ángel Britos Cabrera'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 3306, 'name': 'Nathan Aké'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 16}, {'player': {'id': 3626, 'name': 'Ben Watson'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 3721, 'name': 'Etienne Capoue'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 29}, {'player': {'id': 40118, 'name': 'Ikechi Anya'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 21}, {'player': {'id': 3454, 'name': 'Troy Deeney'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 9}, {'player': {'id': 43081, 'name': 'Almen Abdi'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 22}, {'player': {'id': 5458, 'name': 'Odion Jude Ighalo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 24}]}",Watford,23,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,1ba3de2d-abe2-4327-946d-75b2fc886ba6,2,,,,3754273,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Watford,23,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3623, 'name': 'Adrián San Miguel del Castillo'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 21254, 'name': 'Carl Jenkinson'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 12}, {'player': {'id': 3316, 'name': 'James Tomkins'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 3482, 'name': 'James Collins'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 19}, {'player': {'id': 3062, 'name': 'Aaron Cresswell'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 3684, 'name': 'Cheikhou Kouyaté'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 3874, 'name': 'Mark Noble'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 16}, {'player': {'id': 3963, 'name': 'Victor Moses'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 20}, {'player': {'id': 3595, 'name': 'Manuel Lanzini'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 28}, {'player': {'id': 3491, 'name': 'Dimitri Payet'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 27}, {'player': {'id': 4271, 'name': 'Andy Carroll'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",West Ham United,40,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,d0af3650-d31e-4c4d-94d1-2c189cb34a1c,3,,,,3754273,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Watford,23,['60dfc9eb-ad09-45f8-9212-c85389f0e96c'],0,,,,,,,,,,,,,,,,,,Watford,23,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,60dfc9eb-ad09-45f8-9212-c85389f0e96c,4,,,,3754273,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Watford,23,['d0af3650-d31e-4c4d-94d1-2c189cb34a1c'],0,,,,,,,,,,,,,,,,,,West Ham United,40,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,d4db3dab-e9d2-4b5c-a28a-a85a22ded305,1602,,,,3754273,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,87,Watford,23,['878a536c-02ce-45d4-b63e-c07ac39eea6f'],0,,,,,,,,,,,,,,,,,,Watford,23,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,878a536c-02ce-45d4-b63e-c07ac39eea6f,1603,,,,3754273,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,87,Watford,23,['d4db3dab-e9d2-4b5c-a28a-a85a22ded305'],0,,,,,,,,,,,,,,,,,,West Ham United,40,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.369647,,,,,,,,,,,,,056581f8-23d1-4859-8fe6-b5aed041a455,5,,,"[61.0, 40.1]",3754273,0,,,,-2.953371,,Left Foot,,,,"[58.9, 39.7]",Ground Pass,,2.1377559,,,,Manuel Lanzini,3595.0,,,,,,Kick Off,1,From Kick Off,Andy Carroll,4271.0,Center Forward,2,West Ham United,40,['5a384b75-1356-40e8-a4b9-ba6248ee5a72'],0,,,,,,,,,,,,,,,,,,West Ham United,40,00:00:00.625,Pass,
,,,,,,,,,,,,,,,,,0.868699,,,,,,,,,,,,,812f9477-3a97-42fe-9807-9e52b0725c6f,8,,,"[58.4, 39.6]",3754273,0,,,,3.050933,,Right Foot,,,,"[45.2, 40.8]",Ground Pass,,13.254434,,,,Cheikhou Kouyaté,3684.0,,,,,,,1,From Kick Off,Manuel Lanzini,3595.0,Center Attacking Midfield,2,West Ham United,40,['c86f616d-a97c-4e54-9cee-c5c5557eac6e'],1,,,,,,,,,,,,,,,,,,West Ham United,40,00:00:01.600,Pass,
,,,,,,,,,,,,,,,,,0.64883,,,,,,,,,,,,,7096c44c-6a1a-47c9-a14a-a6747127f47f,11,,,"[45.9, 43.2]",3754273,0,,,,1.6431336,,Right Foot,,,,"[45.4, 50.1]",Ground Pass,,6.9180923,,,,Mark Noble,3874.0,,,,,,,1,From Kick Off,Cheikhou Kouyaté,3684.0,Right Center Midfield,2,West Ham United,40,['d0652ca4-dd47-4dc5-aa47-7caddde924b3'],3,,,,,,,,,,,,,,,,,,West Ham United,40,00:00:03.999,Pass,
,,,,,,,,,,,,,,,,,2.53023,,,,,,,,,,,,,dfe47b5a-2c1e-4b40-80ea-6ff09ad50ca7,13,,,"[45.4, 50.1]",3754273,0,,,,-2.0609863,,Right Foot,,,,"[33.5, 27.8]",Ground Pass,,25.276472,,,,James Collins,3482.0,,,,,,,1,From Kick Off,Mark Noble,3874.0,Left Center Midfield,2,West Ham United,40,['426082d2-184f-423e-8b78-bf9542a5e941'],4,,,,,,,,,,,,,,,,,,West Ham United,40,00:00:04.648,Pass,
,,,,,,,,,,,,,,,,,1.239743,,,,,,,,,,,,,fc541568-b617-4bd8-916a-354ada5596f0,16,,,"[32.4, 31.2]",3754273,0,,,,1.5422326,,Right Foot,,,,"[32.9, 48.7]",Ground Pass,,17.507141,,,,James Tomkins,3316.0,,,,,,,1,From Kick Off,James Collins,3482.0,Left Center Back,2,West Ham United,40,['e4a249c3-a42f-4695-98dd-12ed19d6409e'],8,,,,,,,,,,,,,,,,,,West Ham United,40,00:00:08.327,Pass,
,,,,,,,,,,,,,,,,,1.019197,,,,,,,,,,,,,f2aabb0c-5d20-49f5-9673-4b8cb1831dac,18,,,"[32.9, 48.7]",3754273,0,,,,-0.6202495,,Right Foot,,,,"[39.9, 43.7]",Ground Pass,,8.602325,,,,Cheikhou Kouyaté,3684.0,,,,,,,1,From Kick Off,James Tomkins,3316.0,Right Center Back,2,West Ham United,40,['b4ccf602-437a-44a2-90d9-21b28c322eaa'],9,,,,,,,,,,,,,,,,,,West Ham United,40,00:00:09.567,Pass,
,,,,,,,,,,,,,,,,,1.823719,,,,,,,,,,,,,411d52f4-1b9a-4623-9c2c-8d000ed83460,21,,,"[37.1, 53.1]",3754273,0,,,,1.2787768,,Right Foot,,,,"[42.0, 69.4]",Ground Pass,,17.020576,,,,Carl Jenkinson,21254.0,,,,,,,1,From Kick Off,Cheikhou Kouyaté,3684.0,Right Center Midfield,2,West Ham United,40,['bf274754-d88d-4fbc-a88b-40628dfe35ab'],11,,,,,,,,,,,,,,,,,,West Ham United,40,00:00:11.731,Pass,
,,,,,,,,,,,,,,,,,1.385762,,,,,,,,,,,,,b7eb45c6-c3f4-4779-8594-241354e17c2c,23,,,"[41.8, 69.5]",3754273,0,,,,-2.5884411,,Right Foot,,,,"[26.9, 60.3]",Ground Pass,,17.511425,,,,James Tomkins,3316.0,,,,,,,1,From Kick Off,Carl Jenkinson,21254.0,Right Back,2,West Ham United,40,['59071dc8-0653-49d5-8ffc-019bf2bc62b1'],13,,,,,,,,,,,,,,,,,,West Ham United,40,00:00:13.555,Pass,
