ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,cdeaef40-7823-447a-9edd-79a254fa7e62,1,,,3754299,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Manchester United,39,,0,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 3333, 'name': 'David de Gea Quintana'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4587, 'name': 'Matteo Darmian'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 36}, {'player': {'id': 10958, 'name': 'Chris Smalling'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 12}, {'player': {'id': 3311, 'name': 'Daley Blind'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 17}, {'player': {'id': 3602, 'name': 'Faustino Marcos Alberto Rojo'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 5}, {'player': {'id': 4751, 'name': 'Michael Carrick'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 3294, 'name': 'Juan Manuel Mata García'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 8}, {'player': {'id': 3293, 'name': 'Jesse Lingard'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 35}, {'player': {'id': 3600, 'name': 'Morgan Schneiderlin'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 28}, {'player': {'id': 20039, 'name': 'Anthony Martial'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 9}, {'player': {'id': 3318, 'name': 'Marcus Rashford'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 39}]}",Manchester United,39,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,3b0529f9-3523-48b4-aff8-58bd22b8e4ab,2,,,3754299,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Manchester United,39,,0,,,,,,,,,,,,,,,"{'formation': 4411, 'lineup': [{'player': {'id': 16309, 'name': 'Joel Robles Blázquez'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4589, 'name': 'Séamus Coleman'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 23}, {'player': {'id': 3244, 'name': 'John Stones'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 20046, 'name': 'Phil Jagielka'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 3518, 'name': 'Leighton Baines'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 3726, 'name': 'Gerard Deulofeu Lázaro'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 19}, {'player': {'id': 3607, 'name': 'James McCarthy'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 16}, {'player': {'id': 4275, 'name': 'Ross Barkley'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 3683, 'name': 'Tom Cleverley'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 15}, {'player': {'id': 3953, 'name': 'Aaron Lennon'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 12}, {'player': {'id': 3289, 'name': 'Romelu Lukaku Menama'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Everton,29,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c58e4e92-a821-4372-b80a-f0cd1893b160,3,,,3754299,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Manchester United,39,['f459d0da-cea6-419b-80e6-4bf7b35a7afc'],0,,,,,,,,,,,,,,,,Manchester United,39,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,f459d0da-cea6-419b-80e6-4bf7b35a7afc,4,,,3754299,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Manchester United,39,['c58e4e92-a821-4372-b80a-f0cd1893b160'],0,,,,,,,,,,,,,,,,Everton,29,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,e273558d-a05f-41ee-93f1-8f590a503056,1920,,,3754299,45,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,81,Everton,29,['c45679f7-39a6-4d7d-b353-1d536f1fa89b'],0,,,,,,,,,,,,,,,,Everton,29,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c45679f7-39a6-4d7d-b353-1d536f1fa89b,1921,,,3754299,45,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,81,Everton,29,['e273558d-a05f-41ee-93f1-8f590a503056'],0,,,,,,,,,,,,,,,,Manchester United,39,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.368528,,,,,,,,,,,,,ffad40e6-0322-4a4c-8920-ca2d82b5e569,5,,"[61.0, 40.1]",3754299,0,,,,1.8766752,,Right Foot,,,"[59.8, 43.9]",,Ground Pass,,3.9849718,,,Jesse Lingard,3293.0,,,,,Kick Off,1,From Kick Off,Marcus Rashford,3318.0,Center Forward,2,Manchester United,39,['be40eeeb-fe72-4a4d-a6d7-b3da41189c5b'],0,,,,,,,,,,,,,,,,Manchester United,39,00:00:00.408,Pass,
,,,,,,,,,,,,,,,,1.249064,,,,,,,,,,,,,90f62320-1cb4-4dcb-9c5a-45a149451fcf,8,,"[59.1, 43.9]",3754299,0,,,,2.730528,,Right Foot,,,"[35.7, 54.1]",,Ground Pass,,25.526457,,,Chris Smalling,10958.0,,,,,,1,From Kick Off,Jesse Lingard,3293.0,Right Center Midfield,2,Manchester United,39,['55d5d49a-665e-4b13-a345-5ae09dadf5d8'],1,,,,,,,,,,,,,,,,Manchester United,39,00:00:01.266,Pass,
,,,,,,,,,,,,,,,,5.900999,,,,,,,,,,,,,1e9a36ed-a710-4171-87b4-5c7baa52c6cf,11,,"[40.0, 52.7]",3754299,0,,,,-0.6015336,,Right Foot,,,"[107.6, 6.3]",,High Pass,,81.992195,Incomplete,,Anthony Martial,20039.0,,True,,,,1,From Kick Off,Chris Smalling,10958.0,Right Center Back,2,Manchester United,39,"['6ec9d38a-44f6-4c15-836c-0b8557eab66f', 'd8a14793-78f1-4b13-bf76-0b84c315c3bf']",3,,,,,,,,,,,,,,,,Manchester United,39,00:00:03.895,Pass,
,,,,,,,,,,,,,,,,1.017147,,,,,,,,,,,,,d5b6d1d7-dae6-4bc8-8e3c-e0e05d0c1705,20,,"[107.6, 0.1]",3754299,0,,,,1.8452449,,,,,"[104.7, 10.4]",,Low Pass,,10.700467,,,Jesse Lingard,3293.0,,,,,Throw-in,1,From Throw In,Faustino Marcos Alberto Rojo,3602.0,Left Back,3,Manchester United,39,['0f276255-e6e7-4a64-9891-e937a3430e1b'],19,,,,,,,,,,,,,,,,Manchester United,39,00:00:19.268,Pass,
