bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,c6bffd3d-009e-4a2e-886d-e7140d30c7fe,1,,,3754147,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Manchester City,36,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3291, 'name': 'Joe Hart'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3052, 'name': 'Pablo Javier Zabaleta Girod'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 5}, {'player': {'id': 3101, 'name': 'Vincent Kompany'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 3090, 'name': 'Nicolás Hernán Otamendi'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 30}, {'player': {'id': 20302, 'name': 'Gaël Clichy'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 22}, {'player': {'id': 16003, 'name': 'Fernando Francisco Reges'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 3054, 'name': 'Fernando Luiz Rosa'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 25}, {'player': {'id': 3064, 'name': 'David Josué Jiménez Silva'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 21}, {'player': {'id': 3087, 'name': 'Gnégnéri Yaya Touré'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 42}, {'player': {'id': 3233, 'name': 'Raheem Sterling'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 3237, 'name': 'Sergio Leonel Agüero del Castillo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Manchester City,36,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,048c1442-2945-4661-a621-b1552903acd5,2,,,3754147,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Manchester City,36,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3099, 'name': 'Hugo Lloris'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3205, 'name': 'Kyle Walker'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 20005, 'name': 'Toby Alderweireld'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 3611, 'name': 'Kevin Wimmer'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 27}, {'player': {'id': 3594, 'name': 'Danny Rose'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 10956, 'name': 'Eric Dier'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 3037, 'name': 'Mousa Sidi Yaya Dembélé'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 19}, {'player': {'id': 3083, 'name': 'Heung-Min Son'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 3043, 'name': 'Christian Dannemann Eriksen'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 23}, {'player': {'id': 3094, 'name': 'Bamidele Alli'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 20}, {'player': {'id': 10955, 'name': 'Harry Kane'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Tottenham Hotspur,38,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,58a57b4d-c6d5-4b3b-a0b6-b537df77facc,3,,,3754147,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Manchester City,36,['5f5e0ec6-a777-4f30-b19b-841042d5c4d1'],0,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,5f5e0ec6-a777-4f30-b19b-841042d5c4d1,4,,,3754147,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Manchester City,36,['58a57b4d-c6d5-4b3b-a0b6-b537df77facc'],0,,,,,,,,,,,,,,,,,Manchester City,36,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,abd7bfc2-4608-44ce-a8f5-015a44ccf15f,1992,,,3754147,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,99,Tottenham Hotspur,38,['9dae8b69-e62a-401f-a29d-636ffd3b688c'],0,,,,,,,,,,,,,,,,,Manchester City,36,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,9dae8b69-e62a-401f-a29d-636ffd3b688c,1993,,,3754147,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,99,Tottenham Hotspur,38,['abd7bfc2-4608-44ce-a8f5-015a44ccf15f'],0,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.37526,,,,,,,,,,,,,,de13d789-7122-4160-8ffa-398715c27d4d,5,,"[61.0, 40.1]",3754147,0,,,,,1.7234457,,Right Foot,,,"[60.4, 44.0]",,Ground Pass,,3.945884,,,,,Harry Kane,10955.0,,,,,Kick Off,1,From Kick Off,Christian Dannemann Eriksen,3043.0,Center Attacking Midfield,2,Tottenham Hotspur,38,['9a95e9bc-8c1c-42cd-8401-dff0e29cd295'],0,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:00:00.136,Pass,
,,,,,,,,,,,,,,,,1.370169,,,,,,,,,,,,,,67a9e35e-b96b-4f5e-ba99-ba5a91dc4488,7,,"[61.4, 45.3]",3754147,0,,,,,3.0705514,,Right Foot,,,"[34.7, 47.2]",,Ground Pass,,26.767517,,,,,Kevin Wimmer,3611.0,,,,,,1,From Kick Off,Harry Kane,10955.0,Center Forward,2,Tottenham Hotspur,38,['d1c53a2f-90f9-43dd-b211-74aa77431231'],0,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:00:00.511,Pass,
,,,,,,,,,,,,,,,,1.332227,,,,,,,,,,,,,,bd8010db-3904-43b4-8271-020ebcbdbd27,10,,"[34.5, 45.3]",3754147,0,,,,,-1.0556184,,Left Foot,,,"[49.9, 18.1]",,Ground Pass,,31.257,,,,,Danny Rose,3594.0,,,,,,1,From Kick Off,Kevin Wimmer,3611.0,Left Center Back,2,Tottenham Hotspur,38,['65dea59f-bd23-4c98-b6ff-10cb88326b49'],3,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:00:03.796,Pass,
,,,,,,,,,,,,,,,,1.141703,,,,,,,,,,,,,,73407fbf-9d71-4248-9a80-57802c624dd9,14,,"[50.3, 18.1]",3754147,0,,,,,2.8549714,,Left Foot,,,"[31.3, 23.7]",,Ground Pass,,19.808079,,,,,Kevin Wimmer,3611.0,,,,,,1,From Kick Off,Danny Rose,3594.0,Left Back,2,Tottenham Hotspur,38,"['7c5bcc54-f48d-4f83-bb85-c73291551ac6', 'c81b3198-8910-449a-b3b8-336e72f3ae42']",6,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:00:06.082,Pass,True
