ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,2a03b4ca-636f-4a5b-ba45-c1d9dedb51db,1,,,3754200,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Manchester United,39,,0,,,,,,,,,,,,,,,,"{'formation': 3412, 'lineup': [{'player': {'id': 3333, 'name': 'David de Gea Quintana'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4587, 'name': 'Matteo Darmian'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 36}, {'player': {'id': 10958, 'name': 'Chris Smalling'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 12}, {'player': {'id': 3311, 'name': 'Daley Blind'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 17}, {'player': {'id': 3293, 'name': 'Jesse Lingard'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 14}, {'player': {'id': 10779, 'name': 'Cameron Borthwick-Jackson'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 43}, {'player': {'id': 3600, 'name': 'Morgan Schneiderlin'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 28}, {'player': {'id': 3296, 'name': 'Marouane Fellaini-Bakkioui'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 27}, {'player': {'id': 3606, 'name': 'Ander Herrera Agüera'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 21}, {'player': {'id': 20039, 'name': 'Anthony Martial'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 11}, {'player': {'id': 3538, 'name': 'Wayne Mark Rooney'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 10}]}",Manchester United,39,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,e4032327-0d9c-4838-81d7-566f5a44bd8f,2,,,3754200,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Manchester United,39,,0,,,,,,,,,,,,,,,,"{'formation': 343, 'lineup': [{'player': {'id': 3970, 'name': 'Fraser Forster'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 44}, {'player': {'id': 3669, 'name': 'Virgil van Dijk'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 17}, {'player': {'id': 3960, 'name': 'José Miguel da Rocha Fonte'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 6}, {'player': {'id': 20045, 'name': 'Ryan Bertrand'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 3329, 'name': 'Cédric Ricardo Alves Soares'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 2}, {'player': {'id': 3651, 'name': 'Matt Targett'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 33}, {'player': {'id': 3098, 'name': 'Victor Wanyama'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 12}, {'player': {'id': 16181, 'name': 'Jordy Clasie'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 3831, 'name': 'Dušan Tadić'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 3629, 'name': 'Sadio Mané'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 3842, 'name': 'Shane Long'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]}",Southampton,25,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,d9237a98-cff1-4433-bd23-d75be9078f07,3,,,3754200,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Manchester United,39,['ac26fdf1-349a-4b6f-a201-15109c7d402a'],0,,,,,,,,,,,,,,,,,Southampton,25,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,ac26fdf1-349a-4b6f-a201-15109c7d402a,4,,,3754200,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Manchester United,39,['d9237a98-cff1-4433-bd23-d75be9078f07'],0,,,,,,,,,,,,,,,,,Manchester United,39,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,00b62224-cf29-4fb7-b5ed-1e76fd57b58c,1812,,,3754200,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,106,Manchester United,39,['8d9ab299-0852-44be-8c82-1dce966c8b7d'],0,,,,,,,,,,,,,,,,,Manchester United,39,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,8d9ab299-0852-44be-8c82-1dce966c8b7d,1813,,,3754200,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,106,Manchester United,39,['00b62224-cf29-4fb7-b5ed-1e76fd57b58c'],0,,,,,,,,,,,,,,,,,Southampton,25,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.336267,,,,,,,,,,,,e0a9be01-2f81-43cb-8340-5e27c257faba,5,,"[61.0, 40.1]",3754200,0,,,,,-1.929567,,Right Foot,,,,"[60.4, 38.5]",,Ground Pass,,1.7088008,,,,,Dušan Tadić,3831.0,,,,,Kick Off,1,From Kick Off,Shane Long,3842.0,Center Forward,2,Southampton,25,['e2638a78-1905-4af3-b18f-8e1ed1370425'],0,,,,,,,,,,,,,,,,,Southampton,25,00:00:00.172,Pass,
,,,,,,,,,,,,,,,0.844514,,,,,,,,,,,,3da7208b-b786-4fdd-a12a-a09a67694570,8,,"[60.0, 38.1]",3754200,0,,,,,-3.1098573,,Left Foot,,,,"[47.4, 37.7]",,Ground Pass,,12.606348,,,,,Jordy Clasie,16181.0,,,,,,1,From Kick Off,Dušan Tadić,3831.0,Right Wing,2,Southampton,25,['bc25b075-2942-4c12-ad9c-9642b3883748'],0,,,,,,,,,,,,,,,,,Southampton,25,00:00:00.978,Pass,
,,,,,,,,,,,,,,,1.353272,,,,,,,,,,,,c046f0e4-93cc-4a56-8e23-7fc36fbe8b62,11,,"[46.6, 33.7]",3754200,0,,,,,-2.263603,,Right Foot,,,,"[33.9, 18.4]",,Ground Pass,,19.884165,,,,,Ryan Bertrand,20045.0,,,,,,1,From Kick Off,Jordy Clasie,16181.0,Left Defensive Midfield,2,Southampton,25,['5edf483f-99f0-4909-a96f-47e4a52a26df'],2,,,,,,,,,,,,,,,,,Southampton,25,00:00:02.817,Pass,
,,,,,,,,,,,,,,,4.114768,,,,,,,,,,,,d899d7b7-621f-425c-b242-421dbf31e881,14,,"[33.9, 17.4]",3754200,0,,,,,-0.12149172,,Left Foot,,,,"[102.7, 9.0]",,High Pass,,69.31089,,,Incomplete,,Shane Long,3842.0,,,,,,1,From Kick Off,Ryan Bertrand,20045.0,Left Center Back,2,Southampton,25,"['1c89efaa-1003-4134-ba38-0e8a6deae566', '560de7d5-ed06-4bfc-bc2d-58ed4552b153']",5,,,,,,,,,,,,,,,,,Southampton,25,00:00:05.095,Pass,
