50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,aa653aa7-b378-4a14-a350-001c683c05a8,1,,,3754039,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Crystal Palace,31,,0,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 3488, 'name': 'Wayne Hennessey'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 3443, 'name': 'Joel Ward'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 3407, 'name': 'Scott Dann'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 3693, 'name': 'Damien Delaney'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 27}, {'player': {'id': 4884, 'name': ""Pape N''Diaye Souaré""}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 23}, {'player': {'id': 5489, 'name': 'Mile Jedinak'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 3507, 'name': 'Wilfried Zaha'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 11}, {'player': {'id': 3277, 'name': 'Yohan Cabaye'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 15892, 'name': 'Jordon Mutch'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 22}, {'player': {'id': 20641, 'name': 'Connor Wickham'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 21}, {'player': {'id': 26699, 'name': 'Emmanuel Adebayor'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 25}]}",Crystal Palace,31,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,e39947df-d4e5-4f92-8cd6-ee12ac24f865,2,,,3754039,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Crystal Palace,31,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 3522, 'name': 'Heurelho da Silva Gomes'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3991, 'name': 'Allan Romeo Nyom'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 3309, 'name': 'Sebastian Prödl'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 3263, 'name': 'Craig Cathcart'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 3306, 'name': 'Nathan Aké'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 16}, {'player': {'id': 3626, 'name': 'Ben Watson'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 3721, 'name': 'Etienne Capoue'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 29}, {'player': {'id': 5540, 'name': 'Valon Behrami'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 3454, 'name': 'Troy Deeney'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 9}, {'player': {'id': 3302, 'name': 'Nordin Amrabat'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 5458, 'name': 'Odion Jude Ighalo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 24}]}",Watford,23,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,4c359dd1-fca8-499b-a76a-b76e092938ad,3,,,3754039,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Crystal Palace,31,['cec6bc08-0214-487f-8562-ba92c7bc801c'],0,,,,,,,,,,,,,,,,,Crystal Palace,31,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,cec6bc08-0214-487f-8562-ba92c7bc801c,4,,,3754039,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Crystal Palace,31,['4c359dd1-fca8-499b-a76a-b76e092938ad'],0,,,,,,,,,,,,,,,,,Watford,23,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,adb45253-a2ab-478c-b585-adf043d0f626,1553,,,3754039,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,100,Crystal Palace,31,['af7b7003-3c5b-4725-81d0-00bc07d5673c'],0,,,,,,,,,,,,,,,,,Crystal Palace,31,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,af7b7003-3c5b-4725-81d0-00bc07d5673c,1554,,,3754039,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,100,Crystal Palace,31,['adb45253-a2ab-478c-b585-adf043d0f626'],0,,,,,,,,,,,,,,,,,Watford,23,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.631389,,,,,,,,,,,,,,,b59af573-ccb4-42fb-a5c4-fbbdeccb210a,5,,"[61.0, 40.1]",3754039,0,,,,-1.4056476,,Right Foot,,,"[61.2, 38.9]",,Ground Pass,,1.2165525,,,,,Nordin Amrabat,3302.0,,,,,,Kick Off,1,From Kick Off,Odion Jude Ighalo,5458.0,Center Forward,2,Watford,23,['708d2533-2414-4dff-8f84-9a1e276a219b'],0,,,,,,,,,,,,,,,,,Watford,23,00:00:00.307,Pass,
,,,,,,,,,,,,,,,,,,1.754082,,,,,,,,,,,,,,,770055be-c393-45df-993e-ca3c87835c00,8,,"[60.8, 38.9]",3754039,0,,,,-2.893972,,Right Foot,,,"[43.0, 34.4]",,Ground Pass,,18.36001,,,,,Ben Watson,3626.0,,,,,,,1,From Kick Off,Nordin Amrabat,3302.0,Left Wing,2,Watford,23,['aaf7c13d-5b24-48e1-b51b-5269faf856bb'],1,,,,,,,,,,,,,,,,,Watford,23,00:00:01.072,Pass,
,,,,,,,,,,,,,,,,,,5.445957,,,,,,,,,,,,,,,a3d24b2a-6dd3-4dbd-a03f-3894c1daa641,11,,"[42.6, 35.9]",3754039,0,,,,0.2879629,,Right Foot,,,"[116.2, 57.7]",,High Pass,,76.760666,,,Incomplete,,Troy Deeney,3454.0,,,,,,,1,From Kick Off,Ben Watson,3626.0,Center Defensive Midfield,2,Watford,23,"['488b3470-c334-4a19-b562-08d1514c72ed', 'e7c40f8b-7bfd-4a46-9885-9461bb5ae5a4']",3,,,,,,,,,,,,,,,,,Watford,23,00:00:03.854,Pass,
,,,,,,,,,,,,,,,,,,2.243769,,,,,,,,,,,,,,,742279b1-b4cd-47f5-b830-d3ef74db3aae,15,,"[12.9, 28.8]",3754039,0,,,,1.1217381,,Keeper Arm,,,"[30.2, 64.7]",,Low Pass,,39.85097,,,,,Joel Ward,3443.0,,,,,,,1,Regular Play,Wayne Hennessey,3488.0,Goalkeeper,3,Crystal Palace,31,['d12417c3-f3e6-487d-9325-3ed7958419b8'],13,,,,,,,,,,,,,,,,,Crystal Palace,31,00:00:13.248,Pass,
,,,,,,,,,,,,,,,,,,1.215215,,,,,,,,,,,,,,,1488ef22-1e63-43d9-b362-e4f493800363,18,,"[35.4, 66.9]",3754039,0,,,,0.116708584,,Right Foot,,,"[49.9, 68.6]",,Ground Pass,,14.599315,,,,,Wilfried Zaha,3507.0,,,,,,,1,Regular Play,Joel Ward,3443.0,Right Back,3,Crystal Palace,31,['735b63bb-3bdb-40c4-8a20-903b84145c5a'],17,,,,,,,,,,,,,,,,,Crystal Palace,31,00:00:17.945,Pass,
,,,,,,,,,,,,,,,,,,1.324835,,,,,,,,,,,,,,,38af0e9f-b2d6-403d-9e73-c08e769d8577,26,,"[57.6, 55.5]",3754039,0,,,,-1.0372852,,Right Foot,,,"[67.7, 38.4]",,Ground Pass,,19.86001,,,,,Jordon Mutch,15892.0,,,,,,,1,Regular Play,Wilfried Zaha,3507.0,Right Midfield,3,Crystal Palace,31,"['2edfaf54-ab23-4c2b-b9dd-2ed989e755b0', '9e610e88-5cb6-44d4-bb83-11020e85faa4']",23,,,,,,,,,,,,,,,,,Crystal Palace,31,00:00:23.491,Pass,True
,,,,,,,,,,,,,,,,,,2.689562,,,,,,,,,,,,,,,10ba34e3-ff26-41b7-ae5c-0d5fcf7a2ae5,30,,"[72.1, 26.7]",3754039,0,,,,-1.0188665,,Right Foot,,,"[84.6, 6.4]",,Ground Pass,,23.839882,,,,,Pape N''Diaye Souaré,4884.0,,,,,,,1,Regular Play,Jordon Mutch,15892.0,Left Center Midfield,3,Crystal Palace,31,"['45c17545-b177-4198-8dd5-f0bdd3d4d7d9', 'a8effde7-83f3-4aea-85a1-81280f8b9ed8']",26,,,,,,,,,,,,,,,,,Crystal Palace,31,00:00:26.219,Pass,True
,,,,,,,,,,,,,,,,,,0.88722,,,,,,,,,,,,,,,a476dabb-a2af-4892-87c7-cc14bd9a8ec4,33,,"[89.5, 5.7]",3754039,0,,,,0.9272952,,Left Foot,,,"[103.6, 24.5]",,Low Pass,,23.5,,,Incomplete,,,,,,,,,,1,Regular Play,Pape N''Diaye Souaré,4884.0,Left Back,3,Crystal Palace,31,['39865a3b-1332-4818-9d00-296aeaa4b78d'],29,,,,,,,,,,,,,,,,,Crystal Palace,31,00:00:29.809,Pass,
,,,,,,,,,,,,True,,,,,,2.226119,,,,,,,,,,,,,,,39865a3b-1332-4818-9d00-296aeaa4b78d,34,,"[16.5, 55.6]",3754039,0,,,,1.1918167,,Right Foot,,,"[21.0, 66.9]",,Low Pass,,12.163059,,,,,Troy Deeney,3454.0,,,,,,Interception,1,Regular Play,Ben Watson,3626.0,Center Defensive Midfield,4,Watford,23,"['a476dabb-a2af-4892-87c7-cc14bd9a8ec4', 'fef6bca0-ecca-43c4-ab66-957f48347849']",30,,,,,,,,,,,,,,,,,Watford,23,00:00:30.697,Pass,
,,,,,,,,,,,,,,,,,,1.129465,,,,,,,,,,,,,,,31dc1fb5-4571-4174-bd84-f484dce69e48,38,,"[19.1, 66.0]",3754039,0,,,,-1.9598936,,Right Foot,,,"[15.0, 56.0]",,Low Pass,,10.807867,,,,,Ben Watson,3626.0,,,,,,,1,Regular Play,Troy Deeney,3454.0,Right Wing,4,Watford,23,['3669bae3-3212-44ea-9c26-74c5e1f137f2'],33,,,,,,,,,,,,,,,,,Watford,23,00:00:33.008,Pass,
