50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_redirect,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,a82738d8-cbdc-4477-a49c-26eda87d8870,1,,,3754304,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Crystal Palace,31,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3488, 'name': 'Wayne Hennessey'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 3443, 'name': 'Joel Ward'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 3407, 'name': 'Scott Dann'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 3693, 'name': 'Damien Delaney'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 27}, {'player': {'id': 4884, 'name': ""Pape N''Diaye Souaré""}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 23}, {'player': {'id': 3277, 'name': 'Yohan Cabaye'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 3464, 'name': 'James McArthur'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 3589, 'name': 'Yannick Bolasie Yala'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 19688, 'name': 'Jason Puncheon'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 42}, {'player': {'id': 3507, 'name': 'Wilfried Zaha'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 20641, 'name': 'Connor Wickham'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 21}]}",Crystal Palace,31,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,4c4c5c6c-d67b-4f6b-ae78-630ba2e183f7,2,,,3754304,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Crystal Palace,31,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3096, 'name': 'Rob Elliot'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 21}, {'player': {'id': 3650, 'name': 'Daryl Janmaat'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 22}, {'player': {'id': 3044, 'name': 'Chancel Mbemba Mangulu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 18}, {'player': {'id': 26207, 'name': 'Fabricio Coloccini'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 2}, {'player': {'id': 3065, 'name': 'Paul Dummett'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 9649, 'name': 'Jack Colback'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 16072, 'name': 'Vurnon Anita'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 3091, 'name': 'Moussa Sissoko'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 3076, 'name': 'Ayoze Pérez Gutiérrez'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 17}, {'player': {'id': 3567, 'name': 'Georginio Wijnaldum'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 5}, {'player': {'id': 30289, 'name': 'Papiss Demba Cissé'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Newcastle United,37,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,22089119-da1e-4aa3-8114-0afdfd0e5677,3,,,3754304,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Crystal Palace,31,['c002e0b6-2027-4770-9d4a-975bf5485183'],0,,,,,,,,,,,,,,,,,,Newcastle United,37,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,c002e0b6-2027-4770-9d4a-975bf5485183,4,,,3754304,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Crystal Palace,31,['22089119-da1e-4aa3-8114-0afdfd0e5677'],0,,,,,,,,,,,,,,,,,,Crystal Palace,31,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0dbae18f-d25a-4988-95e5-fbf6feae01b6,1675,,,3754304,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,104,Crystal Palace,31,['8a16bc26-c831-4ff6-9ce6-a26223813b18'],0,,,,,,,,,,,,,,,,,,Newcastle United,37,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,8a16bc26-c831-4ff6-9ce6-a26223813b18,1676,,,3754304,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,104,Crystal Palace,31,['0dbae18f-d25a-4988-95e5-fbf6feae01b6'],0,,,,,,,,,,,,,,,,,,Crystal Palace,31,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,1.056945,,,,,,,,,,,,,,3f6c5ef4-812d-4d35-b9a3-9fefb33ea434,5,,"[60.0, 40.0]",3754304,0,,,,,-1.801887,,Right Foot,,,,"[59.2, 36.6]",,Ground Pass,,3.4928498,,,,Jason Puncheon,19688.0,,,,,Kick Off,1,From Kick Off,James McArthur,3464.0,Left Defensive Midfield,2,Crystal Palace,31,['05dd4c6c-cb4d-4d5f-8405-d5846574dd4f'],0,,,,,,,,,,,,,,,,,,Crystal Palace,31,00:00:00.275,Pass,
,,,,,,,,,,,,,,,,1.675378,,,,,,,,,,,,,,eb261f96-76e0-40ef-82a7-14889ea01651,8,,"[61.1, 34.2]",3754304,0,,,,,-1.3020933,,Left Foot,,,,"[68.7, 6.6]",,Low Pass,,28.62726,,,,Connor Wickham,20641.0,,,,,,1,From Kick Off,Jason Puncheon,19688.0,Center Attacking Midfield,2,Crystal Palace,31,['010a99cd-b8a2-4cc9-9ce1-3ab695101478'],1,,,,,,,,,,,,,,,,,,Crystal Palace,31,00:00:01.381,Pass,
,,,,,,,,,,,,,,,,1.415113,,,,,,,,,,,,,,971f2763-9fb2-4b52-be19-70fb8edaf576,11,,"[66.4, 12.7]",3754304,0,,,,,-2.539939,,Right Foot,,,,"[59.7, 8.1]",,Ground Pass,,8.127115,,,,Pape N''Diaye Souaré,4884.0,,,,,,1,From Kick Off,Connor Wickham,20641.0,Center Forward,2,Crystal Palace,31,['37607555-b63e-4b90-8f03-92a420e777a9'],5,,,,,,,,,,,,,,,,,,Crystal Palace,31,00:00:05.168,Pass,
,,,,,,,,,,,,,,,,2.575387,,,,,,,,,,,,,,4f5ce0d2-3448-41cd-bc72-56d262294731,14,,"[56.5, 10.3]",3754304,0,,,,,2.5638127,,Left Foot,,,,"[31.5, 26.6]",,Ground Pass,,29.844429,,,,Damien Delaney,3693.0,,,,,,1,From Kick Off,Pape N''Diaye Souaré,4884.0,Left Back,2,Crystal Palace,31,['9c92acc7-c580-4c89-9b8c-d57a03ed2b01'],7,,,,,,,,,,,,,,,,,,Crystal Palace,31,00:00:07.807,Pass,
,,,,,,,,,,,,,,,,1.675817,,,,,,,,,,,,,,adf1c2dc-f241-4b5a-bd68-d8e731fe6491,17,,"[32.6, 26.0]",3754304,0,,,,,1.714535,,Left Foot,,,,"[29.3, 48.8]",,Ground Pass,,23.037579,,,,Scott Dann,3407.0,,,,,,1,From Kick Off,Damien Delaney,3693.0,Left Center Back,2,Crystal Palace,31,['af9d975c-97ac-4a3e-bb72-b6e07ae4e367'],10,,,,,,,,,,,,,,,,,,Crystal Palace,31,00:00:10.411,Pass,
,,,,,,,,,,,,,,,,2.353839,,,,,,,,,,,,,,70055014-8dca-4056-b0d9-53309659ec25,20,,"[31.7, 53.5]",3754304,0,,,,,-0.26468766,,Right Foot,,,,"[80.4, 40.3]",,High Pass,,50.45721,,,,Connor Wickham,20641.0,,,,,,1,From Kick Off,Scott Dann,3407.0,Right Center Back,2,Crystal Palace,31,['5cac1b71-cb5d-485a-90be-1413478b50d1'],14,,,,,,,,,,,,,,,,,,Crystal Palace,31,00:00:14.310,Pass,
,,,,,,,,,,,,,,,,1.990719,,,,,,,,,,,,,,0329e74a-85ca-4f10-a392-b480b6c51a2f,23,,"[80.3, 39.7]",3754304,0,,,,True,0.73336184,,,,,,"[90.4, 48.8]",,High Pass,,13.5948515,,Incomplete,,James McArthur,3464.0,,,,,,1,From Kick Off,Connor Wickham,20641.0,Center Forward,2,Crystal Palace,31,"['635d0937-8894-4041-aa51-568b24ac2925', 'd55d7fda-e8dc-466c-8489-b7e743005936', 'ec9a97f0-60c3-4b5a-a001-5ed5e7ecbd64']",16,,,,,,,,,,,,,,,,,,Crystal Palace,31,00:00:16.664,Pass,True
,,,,,,,,,,,,,,,,1.146562,,,,,,,,,,,,,,635d0937-8894-4041-aa51-568b24ac2925,26,,"[29.7, 31.3]",3754304,0,,,,True,0.77685136,,,,,,"[35.6, 37.1]",,High Pass,,8.273452,,,,Fabricio Coloccini,26207.0,,,,,Recovery,1,Regular Play,Paul Dummett,3065.0,Left Back,3,Newcastle United,37,"['0329e74a-85ca-4f10-a392-b480b6c51a2f', '07673a14-6c83-4132-a5ce-210f14e9df96', 'c121e2bd-7d19-4060-8890-983892f5f9fd']",18,,,,,,,,,,,,,,,,,,Newcastle United,37,00:00:18.654,Pass,True
,,,,,,,,,,,,,,,,1.318118,,,,,,,,,,,,,,3f943ba7-ccef-48e3-92b0-bd596857b44c,29,,"[36.9, 37.1]",3754304,0,,,,,0.016665123,,Right Foot,,,,"[48.9, 37.3]",,Low Pass,,12.001667,,,,Moussa Sissoko,3091.0,,,,,,1,Regular Play,Fabricio Coloccini,26207.0,Left Center Back,3,Newcastle United,37,['e7a09705-f72c-4277-97e9-77262ff9ebe3'],20,,,,,,,,,,,,,,,,,,Newcastle United,37,00:00:20.008,Pass,
