bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,cfad57cc-25fc-41ec-8704-210664eea181,1,,,3754219,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,West Bromwich Albion,27,,0,,,,,,,,,,,,,,,,,"{'formation': 4411, 'lineup': [{'player': {'id': 5108, 'name': 'Glyn Oliver Myhill'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 3523, 'name': 'Craig Dawson'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 25}, {'player': {'id': 3596, 'name': 'Gareth McAuley'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 23}, {'player': {'id': 20527, 'name': 'Jonas Olsson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 3541, 'name': 'Chris Brunt'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 11}, {'player': {'id': 9485, 'name': 'Craig Gardner'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 8}, {'player': {'id': 4022, 'name': 'Darren Fletcher'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 24}, {'player': {'id': 11012, 'name': 'Jonathan Grant Evans'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 3514, 'name': 'James McClean'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 14}, {'player': {'id': 3490, 'name': 'James Morrison'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 7}, {'player': {'id': 4041, 'name': 'José Salomón Rondón Giménez'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 33}]}",West Bromwich Albion,27,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,3572ee60-c286-4369-ba03-23d0e829397d,2,,,3754219,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,West Bromwich Albion,27,,0,,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 20074, 'name': 'Artur Boruc'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6409, 'name': 'Adam Smith'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 15}, {'player': {'id': 3608, 'name': 'Simon Francis'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 3341, 'name': 'Steve Cook'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 3345, 'name': 'Charlie Daniels'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 11}, {'player': {'id': 3344, 'name': 'Andrew Surman'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 3049, 'name': 'Matt Ritchie'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 30}, {'player': {'id': 3343, 'name': 'Dan Gosling'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 3304, 'name': 'Harry Arter'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 3463, 'name': 'Junior Stanislas'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 19}, {'player': {'id': 3085, 'name': 'Glenn Murray'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 27}]}",AFC Bournemouth,28,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,2b3540df-cb14-469c-b23b-18ccfe4d462f,3,,,3754219,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,West Bromwich Albion,27,['61aa9c76-7936-4905-84e0-645df4d571f5'],0,,,,,,,,,,,,,,,,,,West Bromwich Albion,27,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,61aa9c76-7936-4905-84e0-645df4d571f5,4,,,3754219,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,West Bromwich Albion,27,['2b3540df-cb14-469c-b23b-18ccfe4d462f'],0,,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,d82fd5cb-91d8-425d-97f3-68339147513d,1732,,,3754219,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,93,West Bromwich Albion,27,['a8d3547b-9e75-42a8-829f-22ca4516b6f3'],0,,,,,,,,,,,,,,,,,,West Bromwich Albion,27,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,a8d3547b-9e75-42a8-829f-22ca4516b6f3,1733,,,3754219,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,93,West Bromwich Albion,27,['d82fd5cb-91d8-425d-97f3-68339147513d'],0,,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,1.056221,,,,,,,,,,,,,,,3e4d307f-d677-4e1a-b6a5-c7b21e256315,5,,"[61.0, 40.1]",3754219,0,,,,1.8399638,,Right Foot,,,"[60.2, 43.0]",,Ground Pass,,3.0083218,,,,Glenn Murray,3085.0,,,,,Kick Off,1,From Kick Off,Dan Gosling,3343.0,Right Center Midfield,2,AFC Bournemouth,28,['5b17a848-061a-4b42-88b2-2f088c686a67'],0,,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:00:00.066,Pass,
,,,,,,,,,,,,,,,,1.771611,,,,,,,,,,,,,,,fdbc380b-18f6-4f7d-a642-64a5bb7e2bfb,7,,"[60.6, 43.6]",3754219,0,,,,-3.1128237,,Right Foot,,,"[46.7, 43.2]",,Ground Pass,,13.905754,,,,Andrew Surman,3344.0,,,,,,1,From Kick Off,Glenn Murray,3085.0,Center Forward,2,AFC Bournemouth,28,['aa6141bd-1369-4916-a2dc-e269115979bd'],1,,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:00:01.122,Pass,
,,,,,,,,,,,,,,,,1.63359,,,,,,,,,,,,,,,98ba26a9-26c6-4862-8195-e5332531ffed,9,,"[45.2, 42.8]",3754219,0,,,,-1.8205323,,Left Foot,,,"[38.9, 18.1]",,Ground Pass,,25.490782,,,,Charlie Daniels,3345.0,,,,,,1,From Kick Off,Andrew Surman,3344.0,Center Defensive Midfield,2,AFC Bournemouth,28,['65a6601f-1e93-4811-a720-2f01bc540ac2'],2,,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:00:02.894,Pass,
,,,,,,,,,,,,,,,,2.350444,,,,,,,,,,,,,,,415916ce-7429-4b88-9802-745ce777f020,12,,"[39.3, 17.8]",3754219,0,,,,1.9734015,,Left Foot,,,"[25.8, 49.5]",,Ground Pass,,34.4549,,,,Simon Francis,3608.0,,,,,,1,From Kick Off,Charlie Daniels,3345.0,Left Back,2,AFC Bournemouth,28,['032c36aa-ab1c-4508-b2a9-e5443a64376d'],6,,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:00:06.358,Pass,
,,,,,,,,,,,,,,,,1.280242,,,,,,,,,,,,,,,fe149361-ff97-4d76-bad9-b29c9a9f7de5,15,,"[26.8, 56.7]",3754219,0,,,,0.99970305,,Right Foot,,,"[40.1, 77.4]",,Ground Pass,,24.604471,,,,Adam Smith,6409.0,,,,,,1,From Kick Off,Simon Francis,3608.0,Right Center Back,2,AFC Bournemouth,28,['7dc64837-7384-4c12-99f3-5a3c5336c3a6'],10,,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:00:10.298,Pass,
,,,,,,,,,,,,,,,,1.252991,,,,,,,,,,,,,,,ef8eb458-33d3-41ff-bc29-a8328e20d2f7,18,,"[40.3, 75.2]",3754219,0,,,,-2.752805,,Right Foot,,,"[32.0, 71.8]",,Ground Pass,,8.969393,,,,Simon Francis,3608.0,,,,,,1,From Kick Off,Adam Smith,6409.0,Right Back,2,AFC Bournemouth,28,['a9b130c2-8ca4-484d-bffe-0114b5b20000'],12,,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:00:12.777,Pass,
,,,,,,,,,,,,,,,,1.909617,,,,,,,,,,,,,,,4eafe2f7-f5d8-4f8f-803a-a3e741d9f608,22,,"[33.4, 74.2]",3754219,0,,,,-0.13851742,,Right Foot,,,"[70.7, 69.0]",,High Pass,,37.66072,,,,Glenn Murray,3085.0,,,,,,1,From Kick Off,Simon Francis,3608.0,Right Center Back,2,AFC Bournemouth,28,['9a92f17d-4aee-42a6-9806-e7781077eb46'],15,,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:00:15.800,Pass,
,,,,,,,,,,,,,,,,1.158008,,,,,,,,,,,,,,,07ef8983-d59a-49b9-b2c1-4cfcd371442f,24,,"[70.3, 69.1]",3754219,0,,,,-1.7853892,,Right Foot,,,"[68.6, 61.3]",,Ground Pass,,7.983107,,Incomplete,,Matt Ritchie,3049.0,,,,,,1,From Kick Off,Glenn Murray,3085.0,Center Forward,2,AFC Bournemouth,28,"['afb3391e-27de-4bbf-a081-e468eba39606', 'e4ae12b5-e69a-479e-9c36-b11b7aeab888']",17,,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:00:17.710,Pass,
,,,,,,,,,,,,,,,,1.614543,,,,,,,,,,,,,,,0ea07c8f-6577-4fd1-a6d5-6d14bcebc2b2,28,,"[46.0, 15.3]",3754219,0,,,,2.565416,,Right Foot,,,"[28.3, 26.8]",,Ground Pass,,21.107819,,,,Gareth McAuley,3596.0,,,,,,1,Regular Play,Darren Fletcher,4022.0,Right Center Midfield,3,West Bromwich Albion,27,['e2115a64-14d5-4123-ad47-977434a1ffa3'],20,,,,,,,,,,,,,,,,,,West Bromwich Albion,27,00:00:20.190,Pass,
,,,,,,,,,,,,,,,,2.347335,,,,,,,,,,,,,,,634de4fa-381d-401e-bff5-0d52f6b64498,31,,"[27.2, 32.3]",3754219,0,,,,-0.31989756,,Right Foot,,,"[75.8, 16.2]",,High Pass,,51.197365,,,,José Salomón Rondón Giménez,4041.0,,,,,,1,Regular Play,Gareth McAuley,3596.0,Right Center Back,3,West Bromwich Albion,27,['40c59ab5-76c9-477a-aac5-dca23e0b5f35'],23,,,,,,,,,,,,,,,,,,West Bromwich Albion,27,00:00:23.934,Pass,
,,,,,,,,,,,,,,,,1.20391,,,,,,,,,,,,,,,541794cd-64bc-4e3e-8ed8-892778dbac77,34,,"[76.2, 16.4]",3754219,0,,,,-2.1168528,,Other,,,"[68.3, 3.4]",,Low Pass,,15.212166,,,,James McClean,3514.0,,,,,,1,Regular Play,José Salomón Rondón Giménez,4041.0,Center Forward,3,West Bromwich Albion,27,['78263d74-4768-48f7-94db-35f3c390c2d4'],26,,,,,,,,,,,,,,,,,,West Bromwich Albion,27,00:00:26.321,Pass,
,,,,,,,,,,,,,,,,1.179106,,,,,,,,,,,,,,,2b45ad14-b33d-46c7-9fb2-e2ee13312444,37,,"[68.6, 2.7]",3754219,0,,,,2.404433,,Left Foot,,,"[61.0, 9.6]",,Ground Pass,,10.264989,,,,Darren Fletcher,4022.0,,,,,,1,Regular Play,James McClean,3514.0,Left Midfield,3,West Bromwich Albion,27,['4179f700-457c-4a3f-8c5b-f0cb59231d12'],29,,,,,,,,,,,,,,,,,,West Bromwich Albion,27,00:00:29.310,Pass,
,,,,,,,,,,,,,,,,1.323528,,,,,,,,,,,,,,,cb9372bc-ec4a-48a8-ac8a-3b06be3027f1,40,,"[62.1, 11.4]",3754219,0,,,,0.851093,,Right Foot,,,"[76.3, 27.6]",,High Pass,,21.542517,,,,James Morrison,3490.0,,,,,,1,Regular Play,Darren Fletcher,4022.0,Right Center Midfield,3,West Bromwich Albion,27,['11d5e5d1-20f8-4b15-abf1-d9773d02d615'],31,,,,,,,,,,,,,,,,,,West Bromwich Albion,27,00:00:31.663,Pass,
,,,,,,,,,,,,,,,,1.569511,,,,,,,,,,,,,,,8101da92-b513-4853-bf0f-4374f4a8ce88,47,,"[59.1, 28.5]",3754219,0,,,,-2.060328,,Right Foot,,,"[52.6, 16.3]",,Ground Pass,,13.82353,,,,Charlie Daniels,3345.0,,,,,,1,Regular Play,Dan Gosling,3343.0,Right Center Midfield,4,AFC Bournemouth,28,['d8018acc-ba88-4aa9-b193-07fb2ff47731'],39,,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:00:39.415,Pass,
