50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,06b40495-bc73-4e13-ab58-6654c8b151e8,1,,,3754138,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Norwich City,56,,0,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 23635, 'name': 'John Ruddy'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 0}, {'player': {'id': 11124, 'name': 'Steven Whittaker'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 0}, {'player': {'id': 21212, 'name': 'Russell Martin'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 0}, {'player': {'id': 31296, 'name': 'Sébastien Aymar Bassong Nguena'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 0}, {'player': {'id': 10967, 'name': 'Robert Brady'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 0}, {'player': {'id': 9463, 'name': 'Alexander Banor Tettey'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 0}, {'player': {'id': 9578, 'name': 'Jonathan Howson'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 0}, {'player': {'id': 16334, 'name': 'Graham Dorrans'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 0}, {'player': {'id': 10966, 'name': 'Wes Hoolahan'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 0}, {'player': {'id': 4804, 'name': 'Bradley Johnson'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 0}, {'player': {'id': 9593, 'name': 'Lewis Grabban'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 0}]}",Norwich City,56,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,02385509-3234-40c6-ad60-964d63a2f522,2,,,3754138,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Norwich City,56,,0,,,,,,,,,,,,,,,,"{'formation': 4411, 'lineup': [{'player': {'id': 3619, 'name': 'Alex McCarthy'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 0}, {'player': {'id': 3443, 'name': 'Joel Ward'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 0}, {'player': {'id': 3407, 'name': 'Scott Dann'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 0}, {'player': {'id': 3693, 'name': 'Damien Delaney'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 0}, {'player': {'id': 4884, 'name': ""Pape N''Diaye Souaré""}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 0}, {'player': {'id': 3507, 'name': 'Wilfried Zaha'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 0}, {'player': {'id': 3277, 'name': 'Yohan Cabaye'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 0}, {'player': {'id': 3464, 'name': 'James McArthur'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 0}, {'player': {'id': 19688, 'name': 'Jason Puncheon'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 0}, {'player': {'id': 15892, 'name': 'Jordon Mutch'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 0}, {'player': {'id': 3085, 'name': 'Glenn Murray'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 0}]}",Crystal Palace,31,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,dcc94be2-4bac-4378-91ab-b742208dc71d,3,,,3754138,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Norwich City,56,['867fc6af-8292-4b31-9bf4-49ae8a3e954c'],0,,,,,,,,,,,,,,,,,Norwich City,56,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,867fc6af-8292-4b31-9bf4-49ae8a3e954c,4,,,3754138,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Norwich City,56,['dcc94be2-4bac-4378-91ab-b742208dc71d'],0,,,,,,,,,,,,,,,,,Crystal Palace,31,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,16b2758c-683e-4862-8185-1eade1c4b8c9,1694,,,3754138,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,83,Crystal Palace,31,['4f4af432-0f45-4534-aee6-db60e4ef5257'],0,,,,,,,,,,,,,,,,,Norwich City,56,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,4f4af432-0f45-4534-aee6-db60e4ef5257,1695,,,3754138,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,83,Crystal Palace,31,['16b2758c-683e-4862-8185-1eade1c4b8c9'],0,,,,,,,,,,,,,,,,,Crystal Palace,31,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.176867,,,,,,,,,,,,,1bf09d72-5794-4cc4-9940-09977dad88d2,5,,"[61.0, 40.1]",3754138,0,,,,,-1.8692952,,Left Foot,,"[60.2, 37.5]",,Ground Pass,2.720294,,,,,Jonathan Howson,9578.0,,,,,Kick Off,1,From Kick Off,Wes Hoolahan,10966.0,Left Center Midfield,2,Norwich City,56,['3141c65d-259f-427e-a3b2-4242903a9720'],0,,,,,,,,,,,,,,,,,Norwich City,56,00:00:00.159,Pass,
,,,,,,,,,,,,,,,1.041526,,,,,,,,,,,,,1f7bf4f3-d9c0-49dc-8127-caede7723349,8,,"[60.2, 39.4]",3754138,0,,,,,2.8706458,,Right Foot,,"[51.2, 41.9]",,Ground Pass,9.340771,,,,,Graham Dorrans,16334.0,,,,,,1,From Kick Off,Jonathan Howson,9578.0,Right Midfield,2,Norwich City,56,['d52d7cd8-8fc1-430d-b847-78650fb59e87'],0,,,,,,,,,,,,,,,,,Norwich City,56,00:00:00.594,Pass,
,,,,,,,,,,,,,,,3.321673,,,,,,,,,,,,,f055bc3c-a71d-4193-84e7-3f1bf74e7e5a,12,,"[52.5, 41.4]",3754138,0,,,,,-0.8939868,,Right Foot,,"[85.6, 0.2]",,High Pass,52.849316,,,Out,,Bradley Johnson,4804.0,,True,,,,1,From Kick Off,Graham Dorrans,16334.0,Right Center Midfield,2,Norwich City,56,"['9dad940f-2271-42c3-b468-81f2a23f7d81', 'aec102ff-830a-4fed-a0ef-017cf889d076']",1,,,,,,,,,,,,,,,,,Norwich City,56,00:00:01.716,Pass,True
,,,,,,,,,,,,,,,1.009693,,,,,,,,,,,,,c1e85172-aa2b-47c4-a034-59eb877477ed,14,,"[39.0, 80.0]",3754138,0,,,,,-0.4279485,,,,"[50.4, 74.8]",,Low Pass,12.529964,,,Incomplete,,,,,,,,Throw-in,1,From Throw In,Joel Ward,3443.0,Right Back,3,Crystal Palace,31,['0f0c2aad-1a1a-4d44-8db2-bed3f5b2f5c1'],15,,,,,,,,,,,,,,,,,Crystal Palace,31,00:00:15.047,Pass,
