ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,5690304a-f6c9-4a22-934a-a5fdaa656860,1,,,3754234,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,AFC Bournemouth,28,,0,,,,,,,,,,,,,,,,"{'formation': 4411, 'lineup': [{'player': {'id': 20074, 'name': 'Artur Boruc'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3608, 'name': 'Simon Francis'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 3341, 'name': 'Steve Cook'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 40218, 'name': 'Sylvain Distin'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 25}, {'player': {'id': 3345, 'name': 'Charlie Daniels'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 11}, {'player': {'id': 3344, 'name': 'Andrew Surman'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 3343, 'name': 'Dan Gosling'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 3049, 'name': 'Matt Ritchie'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 30}, {'player': {'id': 3646, 'name': 'Marc Pugh'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 7}, {'player': {'id': 3346, 'name': 'Joshua King'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 17}, {'player': {'id': 3085, 'name': 'Glenn Murray'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 27}]}",AFC Bournemouth,28,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,6711f93f-20c1-46ea-bf1b-d590c4adcb96,2,,,3754234,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,AFC Bournemouth,28,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3099, 'name': 'Hugo Lloris'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3205, 'name': 'Kyle Walker'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 20005, 'name': 'Toby Alderweireld'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 3077, 'name': 'Jan Vertonghen'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 3594, 'name': 'Danny Rose'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 10956, 'name': 'Eric Dier'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 3094, 'name': 'Bamidele Alli'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 3585, 'name': 'Erik Lamela'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 3037, 'name': 'Mousa Sidi Yaya Dembélé'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 19}, {'player': {'id': 3043, 'name': 'Christian Dannemann Eriksen'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 23}, {'player': {'id': 10955, 'name': 'Harry Kane'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Tottenham Hotspur,38,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,d74eb282-e3aa-44b4-9219-c500397cce39,3,,,3754234,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,AFC Bournemouth,28,['2efa18e8-af92-4cef-8134-03882ca5092b'],0,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,2efa18e8-af92-4cef-8134-03882ca5092b,4,,,3754234,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,AFC Bournemouth,28,['d74eb282-e3aa-44b4-9219-c500397cce39'],0,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,35f723fe-f999-462a-bc08-dfce0e41aa12,1656,,,3754234,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,96,AFC Bournemouth,28,['36673721-228a-4b4f-aa1d-d944877680e2'],0,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,36673721-228a-4b4f-aa1d-d944877680e2,1657,,,3754234,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,96,AFC Bournemouth,28,['35f723fe-f999-462a-bc08-dfce0e41aa12'],0,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.60693,,,,,,,,,,,,,,,4a32b9a4-60f2-44b8-be31-c854c808709f,5,,"[61.0, 40.1]",3754234,0,,,,,-2.4087775,,Right Foot,,,,"[60.0, 39.2]",,Ground Pass,,1.3453624,,,,Andrew Surman,3344.0,,,,,,Kick Off,1,From Kick Off,Joshua King,3346.0,Center Attacking Midfield,2,AFC Bournemouth,28,['0a515198-2b4a-44af-81b3-3443890e6f8f'],0,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:00:00.571,Pass,
,,,,,,,,,,,,,,,,,,1.426113,,,,,,,,,,,,,,,47b2f19b-fff0-4616-9ff6-f614b8fb45fa,8,,"[60.0, 38.4]",3754234,0,,,,,2.6834774,,Left Foot,,,,"[31.0, 52.7]",,Ground Pass,,32.334038,,,,Steve Cook,3341.0,,,,,,,1,From Kick Off,Andrew Surman,3344.0,Right Defensive Midfield,2,AFC Bournemouth,28,['46cd0068-bd99-4e79-9639-5adff70e98fb'],1,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:00:01.258,Pass,
,,,,,,,,,,,,,,,,,,2.224645,,,,,,,,,,,,,,,3d6cd42d-f6b2-4e1b-92f6-454d702794c2,12,,"[32.8, 52.9]",3754234,0,,,,,-0.7140907,,Right Foot,,,,"[73.3, 17.8]",,High Pass,,53.59347,,,,Glenn Murray,3085.0,,,,,,,1,From Kick Off,Steve Cook,3341.0,Right Center Back,2,AFC Bournemouth,28,"['46b2fed7-984d-4168-84a6-8f305fd8aa2b', '890a07dd-5df2-47e9-8608-55a34cb15896']",4,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:00:04.206,Pass,True
,,,,,,,,,,,,,,,,,,1.203077,,,,,,,,,,,,,,,7afe127d-0e86-4d35-a637-dfe183ff5538,20,,"[41.5, 64.1]",3754234,0,,,,,2.855209,,Left Foot,,,,"[25.2, 68.9]",,Ground Pass,,16.992058,,,,Kyle Walker,3205.0,,,,,,,1,Regular Play,Erik Lamela,3585.0,Right Wing,3,Tottenham Hotspur,38,['c76e8d20-ac5c-408e-98ab-23261a05db46'],10,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:00:10.046,Pass,
