50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_redirect,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,fad23463-c39c-42d8-9f64-fb1e8751a606,1,,,3754022,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Crystal Palace,31,,0,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 3488, 'name': 'Wayne Hennessey'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 3443, 'name': 'Joel Ward'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 3407, 'name': 'Scott Dann'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 3693, 'name': 'Damien Delaney'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 27}, {'player': {'id': 4884, 'name': ""Pape N''Diaye Souaré""}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 23}, {'player': {'id': 5489, 'name': 'Mile Jedinak'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 3589, 'name': 'Yannick Bolasie Yala'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 10}, {'player': {'id': 19688, 'name': 'Jason Puncheon'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 42}, {'player': {'id': 3277, 'name': 'Yohan Cabaye'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 3469, 'name': 'Bakary Sako'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 26}, {'player': {'id': 3092, 'name': 'Dwight Gayle'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 16}]}",Crystal Palace,31,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,e517008e-8383-4663-9912-03396378325a,2,,,3754022,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Crystal Palace,31,,0,,,,,,,,,,,,,,,,"{'formation': 4411, 'lineup': [{'player': {'id': 23635, 'name': 'John Ruddy'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4808, 'name': 'Andre Wisdom'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 3}, {'player': {'id': 9930, 'name': 'Ryan Bennett'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 24}, {'player': {'id': 9461, 'name': 'Timm Klose'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 17}, {'player': {'id': 3576, 'name': 'Martin Olsson'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 23}, {'player': {'id': 9452, 'name': ""Gary O''Neil""}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 28}, {'player': {'id': 9578, 'name': 'Jonathan Howson'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 22594, 'name': 'Matt Jarvis'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 16}, {'player': {'id': 10967, 'name': 'Robert Brady'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 12}, {'player': {'id': 9528, 'name': 'Steven Naismith'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 7}, {'player': {'id': 23663, 'name': 'Dieumerci Mbokani Bezua'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Norwich City,56,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,af9f2b33-01ed-40b7-850d-2603664b64e7,3,,,3754022,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Crystal Palace,31,['deb07304-9737-474a-8768-3b3aab066993'],0,,,,,,,,,,,,,,,,,Norwich City,56,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,deb07304-9737-474a-8768-3b3aab066993,4,,,3754022,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Crystal Palace,31,['af9f2b33-01ed-40b7-850d-2603664b64e7'],0,,,,,,,,,,,,,,,,,Crystal Palace,31,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,281a6bcc-f432-4aad-89cb-b7e099223058,1293,,,3754022,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,95,Crystal Palace,31,['c8309b62-7bd5-4717-8ad8-ba5ed2fd9f35'],0,,,,,,,,,,,,,,,,,Crystal Palace,31,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,c8309b62-7bd5-4717-8ad8-ba5ed2fd9f35,1294,,,3754022,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,95,Crystal Palace,31,['281a6bcc-f432-4aad-89cb-b7e099223058'],0,,,,,,,,,,,,,,,,,Norwich City,56,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.742159,,,,,,,,,,,,fc9a74a8-1e14-41eb-872f-635d5d32c472,5,,"[60.0, 40.0]",3754022,0,,,,,-1.5385494,,Left Foot,,,,"[60.1, 36.9]",,Ground Pass,,3.1016126,,,Yannick Bolasie Yala,3589.0,,,,,Kick Off,1,From Kick Off,Jason Puncheon,19688.0,Right Center Midfield,2,Crystal Palace,31,['e16c0faa-864f-4f48-97a6-b459970f55e4'],0,,,,,,,,,,,,,,,,,Crystal Palace,31,00:00:00.775,Pass,
,,,,,,,,,,,,,,,,0.733427,,,,,,,,,,,,59eca308-8f28-4e7f-9530-499b0a6b27f3,9,,"[67.2, 34.8]",3754022,0,,,,,0.45830005,,Right Foot,,,,"[74.7, 38.5]",,Ground Pass,,8.363014,,,Jason Puncheon,19688.0,,,,,,1,From Kick Off,Yannick Bolasie Yala,3589.0,Right Midfield,2,Crystal Palace,31,['5374c23c-73b2-4fc3-988f-19f7ae4791fa'],2,,,,,,,,,,,,,,,,,Crystal Palace,31,00:00:02.909,Pass,
,,,,,,,,,,,,,,,,1.648017,,,,,,,,,,,,126c660d-9792-4cdb-9f3d-b07e7c10ff82,14,,"[92.4, 12.0]",3754022,0,,,,,-0.6398823,,Left Foot,,,,"[105.7, 2.1]",,Ground Pass,,16.580109,,,Bakary Sako,3469.0,,,,,,1,From Kick Off,Jason Puncheon,19688.0,Right Center Midfield,2,Crystal Palace,31,['251e6e1d-dc3e-4fcf-a908-b661a59780b0'],9,,,,,,,,,,,,,,,,,Crystal Palace,31,00:00:09.036,Pass,
,,,,,,,,,,,,,,,,0.154422,,,,,,,,,,,,8a6b2cce-9317-4b4c-9195-d8551e2c259a,17,,"[117.3, 5.2]",3754022,0,,,,,1.5707964,,Left Foot,,,,"[117.3, 8.8]",,Low Pass,,3.6,Incomplete,,,,,,,,,1,From Kick Off,Bakary Sako,3469.0,Left Midfield,2,Crystal Palace,31,['d5df9db5-41ff-4f5a-a2af-7c928fe90a6f'],12,,,,,,,,,,,,,,,,,Crystal Palace,31,00:00:12.173,Pass,
