50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,6df77078-bc98-421e-8af8-26c4f486c082,1,,,3754233,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Everton,29,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 13042, 'name': 'Tim Howard'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 24}, {'player': {'id': 4589, 'name': 'Séamus Coleman'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 23}, {'player': {'id': 3244, 'name': 'John Stones'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 20046, 'name': 'Phil Jagielka'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 30702, 'name': 'Brendan Joel Zibusiso Galloway'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 32}, {'player': {'id': 3607, 'name': 'James McCarthy'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 3633, 'name': 'Gareth Barry'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 3683, 'name': 'Tom Cleverley'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 15}, {'player': {'id': 4275, 'name': 'Ross Barkley'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 20}, {'player': {'id': 26696, 'name': 'Arouna Koné'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 9}, {'player': {'id': 3289, 'name': 'Romelu Lukaku Menama'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Everton,29,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,8b916091-3a3a-4d66-bf43-0244a3fe0ac2,2,,,3754233,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Everton,29,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3291, 'name': 'Joe Hart'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 7110, 'name': 'Bacary Sagna'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 3}, {'player': {'id': 3101, 'name': 'Vincent Kompany'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 3389, 'name': 'Eliaquim Mangala'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 20}, {'player': {'id': 5596, 'name': 'Aleksandar Kolarov'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 11}, {'player': {'id': 3054, 'name': 'Fernando Luiz Rosa'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 25}, {'player': {'id': 3087, 'name': 'Gnégnéri Yaya Touré'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 42}, {'player': {'id': 6821, 'name': 'Jesús Navas González'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 15}, {'player': {'id': 3064, 'name': 'David Josué Jiménez Silva'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 21}, {'player': {'id': 3233, 'name': 'Raheem Sterling'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 3237, 'name': 'Sergio Leonel Agüero del Castillo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Manchester City,36,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,f307b0f6-32e1-4971-a8d4-19d8d3bc91ac,3,,,3754233,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Everton,29,['5c6e3cea-5787-43cd-a074-2464826c794c'],0,,,,,,,,,,,,,,,,,Manchester City,36,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,5c6e3cea-5787-43cd-a074-2464826c794c,4,,,3754233,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Everton,29,['f307b0f6-32e1-4971-a8d4-19d8d3bc91ac'],0,,,,,,,,,,,,,,,,,Everton,29,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,4750b6c5-ffdb-4229-8ace-bf3cd6289299,1654,,,3754233,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,102,Manchester City,36,['d330a137-1433-4b77-83ba-23db35e92111'],0,,,,,,,,,,,,,,,,,Manchester City,36,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,d330a137-1433-4b77-83ba-23db35e92111,1655,,,3754233,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,102,Manchester City,36,['4750b6c5-ffdb-4229-8ace-bf3cd6289299'],0,,,,,,,,,,,,,,,,,Everton,29,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.6662,,,,,,,,,,,949757ed-636d-4439-997b-6c2a2603615c,5,,"[61.0, 40.1]",3754233,0,,,,,1.0390723,,Right Foot,,,"[62.0, 41.8]",,Ground Pass,,1.9723083,,,,Ross Barkley,4275.0,,,,,,Kick Off,1,From Kick Off,Romelu Lukaku Menama,3289.0,Center Forward,2,Everton,29,['833ec000-5a72-4683-9a27-e3194f074ad3'],2,,,,,,,,,,,,,,,,,Everton,29,00:00:02.219,Pass,
,,,,,,,,,,,,,,,,,2.180726,,,,,,,,,,,c3b2d762-09f9-43c7-9b93-02c6421c19bc,8,,"[63.0, 45.2]",3754233,0,,,,,3.0800762,,Right Foot,,,"[35.4, 46.9]",,Low Pass,,27.652306,,,,John Stones,3244.0,,,,,,,1,From Kick Off,Ross Barkley,4275.0,Center Attacking Midfield,2,Everton,29,['51b21672-6c75-44b7-b5dd-8de595c62e03'],5,,,,,,,,,,,,,,,,,Everton,29,00:00:05.594,Pass,
,,,,,,,,,,,,,,,,,1.532851,,,,,,,,,,,57e4a003-65a7-4704-85d0-bc8972a4b5ae,11,,"[31.9, 41.0]",3754233,0,,,,,-1.5842484,,Right Foot,,,"[31.6, 18.7]",,Ground Pass,,22.302017,,,,Phil Jagielka,20046.0,,,,,,,1,From Kick Off,John Stones,3244.0,Right Center Back,2,Everton,29,['46dfdee0-efd9-4b7c-800f-535b63814566'],8,,,,,,,,,,,,,,,,,Everton,29,00:00:08.824,Pass,
,,,,,,,,,,,,,,,,,0.893543,,,,,,,,,,,1ceeea58-dd27-4df9-8ac1-7ce1eda85603,14,,"[30.3, 19.1]",3754233,0,,,,,0.8905984,,Right Foot,,,"[44.7, 36.9]",,Ground Pass,,22.895414,,,,James McCarthy,3607.0,,,,,,,1,From Kick Off,Phil Jagielka,20046.0,Left Center Back,2,Everton,29,['544e3548-d49b-4ae8-b075-f6508559aa96'],13,,,,,,,,,,,,,,,,,Everton,29,00:00:13.644,Pass,
