50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,e027c3a9-5d09-4e08-bd9f-cd9bbafd1498,1,,,3753998,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,West Ham United,40,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 3623, 'name': 'Adrián San Miguel del Castillo'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 3316, 'name': 'James Tomkins'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 5}, {'player': {'id': 3482, 'name': 'James Collins'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 19}, {'player': {'id': 3843, 'name': 'Angelo Obinze Ogbonna'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 21}, {'player': {'id': 21254, 'name': 'Carl Jenkinson'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 12}, {'player': {'id': 3684, 'name': 'Cheikhou Kouyaté'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 3874, 'name': 'Mark Noble'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 16}, {'player': {'id': 27053, 'name': 'Alexandre Dimitri Song-Billong'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 3349, 'name': 'Michail Antonio'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 30}, {'player': {'id': 27853, 'name': 'Mauro Matías Zárate'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 28559, 'name': 'Enner Remberto Valencia Lastra'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",West Ham United,40,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,9b04a922-634e-4249-a06f-d0fb35e979d2,2,,,3753998,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,West Ham United,40,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 20201, 'name': 'Maarten Stekelenburg'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 22}, {'player': {'id': 3590, 'name': 'Rhu-endly Martina'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 15}, {'player': {'id': 3960, 'name': 'José Miguel da Rocha Fonte'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 3669, 'name': 'Virgil van Dijk'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 17}, {'player': {'id': 20045, 'name': 'Ryan Bertrand'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 21}, {'player': {'id': 3098, 'name': 'Victor Wanyama'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 12}, {'player': {'id': 3272, 'name': 'Oriol Romeu Vidal'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 3831, 'name': 'Dušan Tadić'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 3828, 'name': 'Steven Davis'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 8}, {'player': {'id': 3629, 'name': 'Sadio Mané'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 3842, 'name': 'Shane Long'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]}",Southampton,25,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,f975bd7d-374f-41e9-b0b3-8bf06662b8e6,3,,,3753998,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,West Ham United,40,['df044534-fe71-46de-8294-685ad366345e'],0,,,,,,,,,,,,,,,,,West Ham United,40,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,df044534-fe71-46de-8294-685ad366345e,4,,,3753998,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,West Ham United,40,['f975bd7d-374f-41e9-b0b3-8bf06662b8e6'],0,,,,,,,,,,,,,,,,,Southampton,25,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,48804907-dcd8-460c-bb30-53d30ba9f89d,1789,,,3753998,45,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,101,West Ham United,40,['bb0df960-8d95-46f5-ae86-864adc564488'],0,,,,,,,,,,,,,,,,,Southampton,25,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,bb0df960-8d95-46f5-ae86-864adc564488,1790,,,3753998,45,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,101,West Ham United,40,['48804907-dcd8-460c-bb30-53d30ba9f89d'],0,,,,,,,,,,,,,,,,,West Ham United,40,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.704667,,,,,,,,,,,,5699fd7c-b332-4d18-bf85-7164d5330f32,5,,"[60.0, 40.0]",3753998,0,,,,,1.4994888,,Right Foot,,,,"[60.1, 41.4]",Ground Pass,,1.4035668,,,Steven Davis,3828.0,,,,Kick Off,1,From Kick Off,Shane Long,3842.0,Center Forward,2,Southampton,25,['c387791f-b9eb-4993-a33a-834de73a4a19'],0,,,,,,,,,,,,,,,,,Southampton,25,00:00:00.789,Pass,
,,,,,,,,,,,,,,,1.299739,,,,,,,,,,,,b70800d1-ed23-4825-97f9-a82f6378dac9,7,,"[60.6, 40.6]",3753998,0,,,,,-2.5302677,,Right Foot,,,,"[38.2, 24.9]",Ground Pass,,27.354158,,,Virgil van Dijk,3669.0,,,,,1,From Kick Off,Steven Davis,3828.0,Center Attacking Midfield,2,Southampton,25,['89f31908-4d3c-4ed0-8597-d7d0d095bc23'],1,,,,,,,,,,,,,,,,,Southampton,25,00:00:01.493,Pass,
,,,,,,,,,,,,,,,1.706676,,,,,,,,,,,,fbd8d102-9190-4edf-9e23-f8606617c5d3,10,,"[40.1, 27.2]",3753998,0,,,,,1.8339374,,Left Foot,,,,"[33.5, 51.7]",Ground Pass,,25.373411,,,José Miguel da Rocha Fonte,3960.0,,,,,1,From Kick Off,Virgil van Dijk,3669.0,Left Center Back,2,Southampton,25,['7bc12968-8e55-4f5c-8abe-191c20590c54'],4,,,,,,,,,,,,,,,,,Southampton,25,00:00:04.908,Pass,
,,,,,,,,,,,,,,,1.105049,,,,,,,,,,,,a19b8a22-526c-4791-a4f2-ec6c0c8a7e37,13,,"[35.6, 51.7]",3753998,0,,,,,-1.5056711,,Right Foot,,,,"[37.7, 19.5]",Ground Pass,,32.268406,,,Virgil van Dijk,3669.0,,,,,1,From Kick Off,José Miguel da Rocha Fonte,3960.0,Right Center Back,2,Southampton,25,['ad2cfdad-4edb-4219-8e30-909c6fd56d9b'],7,,,,,,,,,,,,,,,,,Southampton,25,00:00:07.727,Pass,
