50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_follows_dribble,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_redirect,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,2c8f3b1f-f11f-4b97-9203-e92ca1c2070c,1,,,3754163,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Everton,29,,0,,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 13042, 'name': 'Tim Howard'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 24}, {'player': {'id': 5836, 'name': 'Bryan Oviedo'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 8}, {'player': {'id': 3244, 'name': 'John Stones'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 4629, 'name': 'José Ramiro Funes Mori'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 25}, {'player': {'id': 3518, 'name': 'Leighton Baines'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 3633, 'name': 'Gareth Barry'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 4275, 'name': 'Ross Barkley'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 3476, 'name': 'Muhamed Bešić'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 17}, {'player': {'id': 3726, 'name': 'Gerard Deulofeu Lázaro'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 19}, {'player': {'id': 4317, 'name': 'Kevin Mirallas'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 3289, 'name': 'Romelu Lukaku Menama'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Everton,29,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,952b2dec-92c3-40b5-91fb-636eab9ea771,2,,,3754163,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Everton,29,,0,,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 3262, 'name': 'Łukasz Fabiański'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3973, 'name': 'Àngel Rangel Zaragoza'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 22}, {'player': {'id': 3290, 'name': 'Federico Fernández'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 33}, {'player': {'id': 3644, 'name': 'Ashley Williams'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 9627, 'name': 'Neil Taylor'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 4631, 'name': 'Leon Britton'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 3462, 'name': 'Jack Frank Porteous Cork'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 24}, {'player': {'id': 3605, 'name': 'Sung-Yeung Ki'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 3449, 'name': 'Wayne Routledge'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 15}, {'player': {'id': 3347, 'name': 'André Ayew Pelé'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 3944, 'name': 'Gylfi Þór Sigurðsson'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 23}]}",Swansea City,26,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,a685372e-1ef2-4e60-88e3-2e09b6674742,3,,,3754163,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Everton,29,['2d737e5f-368c-430c-817a-855215f8426d'],0,,,,,,,,,,,,,,,,,,,Swansea City,26,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,2d737e5f-368c-430c-817a-855215f8426d,4,,,3754163,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Everton,29,['a685372e-1ef2-4e60-88e3-2e09b6674742'],0,,,,,,,,,,,,,,,,,,,Everton,29,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,f1831f1b-4bb2-49d4-9030-95da227fdac3,1956,,,3754163,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,82,Everton,29,['27e6c107-9c40-4fa5-827a-a38a15eb574d'],0,,,,,,,,,,,,,,,,,,,Swansea City,26,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,27e6c107-9c40-4fa5-827a-a38a15eb574d,1957,,,3754163,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,82,Everton,29,['f1831f1b-4bb2-49d4-9030-95da227fdac3'],0,,,,,,,,,,,,,,,,,,,Everton,29,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,1.152844,,,,,,,,,,,,,,f2fefa43-7efe-4fc2-be72-5c55fcdfea41,5,,"[60.0, 40.0]",3754163,0,,,,,-2.8083484,,Right Foot,,,"[47.0, 35.5]",,Ground Pass,,13.756817,,,Leon Britton,4631.0,,,,,Kick Off,1,From Kick Off,Gylfi Þór Sigurðsson,3944.0,Center Forward,2,Swansea City,26,['b62043d6-9f03-4769-85ec-0241bfdc1d92'],0,,,,,,,,,,,,,,,,,,,Swansea City,26,00:00:00.945,Pass,
,,,,,,,,,,,,,,,,,2.162901,,,,,,,,,,,,,,39a08fb8-4b84-497a-9f1a-a91b81509007,8,,"[47.0, 37.6]",3754163,0,,,,,1.5707964,,Right Foot,,,"[47.0, 72.0]",,Ground Pass,,34.4,,,Àngel Rangel Zaragoza,3973.0,,,,,,1,From Kick Off,Leon Britton,4631.0,Center Defensive Midfield,2,Swansea City,26,['13544975-ab8f-4a89-9b3c-171f0354f29f'],2,,,,,,,,,,,,,,,,,,,Swansea City,26,00:00:02.962,Pass,
,,,,,,,,,,,,,,,,,1.874721,,,,,,,,,,,,,,357ddcac-1f47-4184-b151-cd78e5f1930e,11,,"[40.6, 67.6]",3754163,0,,,,,-1.9476634,,Right Foot,,,"[23.7, 24.9]",,Ground Pass,,45.92276,,,Ashley Williams,3644.0,,True,,,,1,From Kick Off,Àngel Rangel Zaragoza,3973.0,Right Back,2,Swansea City,26,['7dce0076-e76c-43a5-bb39-27b4d8140092'],6,,,,,,,,,,,,,,,,,,,Swansea City,26,00:00:06.978,Pass,
,,,,,,,,,,,,,,,,,0.798553,,,,,,,,,,,,,,689a6664-c509-4579-b0fc-b0b9528fb175,14,,"[31.8, 24.9]",3754163,0,,,,,-0.56852454,,Right Foot,,,"[46.2, 15.7]",,Ground Pass,,17.088007,,,Sung-Yeung Ki,3605.0,,,,,,1,From Kick Off,Ashley Williams,3644.0,Left Center Back,2,Swansea City,26,['1f99789a-f097-4122-8647-70b2e15de940'],11,,,,,,,,,,,,,,,,,,,Swansea City,26,00:00:11.822,Pass,
