bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_redirect,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,"[99.7, 73.8]",,,,,,,,,,,,1.594935,,,,,,,,,,,,,,,05f35b31-b104-4582-91a9-ec98d1ee1b92,2081,,"[100.3, 73.8]",3754175,60,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,DeAndre Yedlin,3658.0,Right Back,116,Sunderland,41,"['9474939a-bc0d-4313-8d55-af7b8e41a14b', 'ab259ed5-33b8-4aa2-a69a-e34d170fec6a']",20,,,,,,,,,,,,,,,,,,,Sunderland,41,00:15:20.183,Carry,
,,,,,"[53.9, 60.6]",,,,,,,,,,,,0.057086002,,,,,,,,,,,,,,,eb548659-a149-47fb-ba83-e19b6e638d00,2098,,"[53.9, 60.6]",3754175,61,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Sandro Ranieri Guimarães Cordeiro,7121.0,Right Defensive Midfield,117,West Bromwich Albion,27,"['7607f587-fc50-4a61-b60a-46e8f78ffa5f', '77cf4961-ddde-456a-aaad-7a9519f6c60e']",46,,,,,,,,,,,,,,,,,,,West Bromwich Albion,27,00:16:46.337,Carry,
,,,,,"[66.5, 32.7]",,,,,,,,,,,,2.839998,,,,,,,,,,,,,,,d53134bd-dd11-436f-8950-e1bff0dcab9b,2105,,"[55.4, 21.5]",3754175,61,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Jan Kirchhoff,13846.0,Center Defensive Midfield,118,Sunderland,41,"['488d859a-e599-452c-aa3f-83cde1fbb405', '5517861d-398f-48d8-9b46-297ab15bd3ac']",48,,,,,,,,,,,,,,,,,,,Sunderland,41,00:16:48.933,Carry,
,,,,,"[93.6, 53.1]",,,,,,,,,,,,5.567092,,,,,,,,,,,,,,,54f0f361-5557-41e9-9737-8f16c4c9f859,2108,,"[82.9, 72.9]",3754175,61,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,DeAndre Yedlin,3658.0,Right Back,118,Sunderland,41,"['1ab2cc70-f72d-4ed5-aba1-6b27752c2d8f', 'c4f8f1a8-0771-435f-852f-1de3664a0a49']",53,,,,,,,,,,,,,,,,,,,Sunderland,41,00:16:53.605,Carry,
,,,,,"[94.9, 26.6]",,,,,,,,,,,,1.063122,,,,,,,,,,,,,,,d8ca90a5-33ef-4701-ac3c-8a59f23d0166,2113,,"[89.8, 26.8]",3754175,62,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Patrick van Aanholt,3321.0,Left Back,118,Sunderland,41,"['0f91560a-0695-49f2-920e-b7f230b57dc0', 'c954dcb3-865c-4638-809d-a040bd5109a2']",1,,,,,,,,,,,,,,,,,,,Sunderland,41,00:17:01.486,Carry,
,,,,,"[69.2, 19.6]",,,,,,,,,,,,0.809246,,,,,,,,,,,,,,,7bf90fa8-7edd-45ee-8b2f-6a37c8a3ab88,2124,,"[69.2, 19.5]",3754175,62,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Jermain Defoe,3337.0,Center Forward,120,Sunderland,41,"['2a3d4b27-ed77-41ca-a05a-5e8b2e895c8d', '6d73eb09-6233-45b0-8097-f8119f0b5330', '80f86f93-110b-4d16-bb5b-99e0fda93796']",38,,,,,,,,,,,,,,,,,,,Sunderland,41,00:17:38.896,Carry,True
,,,,,"[47.6, 71.6]",,,,,,,,,,,,1.473267,,,,,,,,,,,,,,,5d347d0c-e9e9-4034-bfcf-10ec81914b2f,2133,,"[47.6, 71.6]",3754175,62,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Gareth McAuley,3596.0,Right Center Back,121,West Bromwich Albion,27,"['6911b1f3-a16a-4b71-8e62-8e5ce7742016', '77515a32-defe-4af7-bb78-15979a7a5097']",42,,,,,,,,,,,,,,,,,,,West Bromwich Albion,27,00:17:42.304,Carry,
,,,,,"[93.1, 63.9]",,,,,,,,,,,,0.133257,,,,,,,,,,,,,,,9f3731e2-b391-4abb-b66b-38a0ea27a5fb,2141,,"[93.1, 63.9]",3754175,63,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Saido Berahino,4630.0,Left Center Forward,122,West Bromwich Albion,27,"['abbab302-d37a-4acb-880d-3f9d74a5726a', 'ace45317-7c37-42e4-adab-b58630d1f8fe']",5,,,,,,,,,,,,,,,,,,,West Bromwich Albion,27,00:18:05.750,Carry,
,,,,,"[45.6, 34.6]",,,,,,,,,,,,2.359101,,,,,,,,,,,,,,,038a2a24-f6ed-4ead-a12e-f5de8fad35dd,2146,,"[35.6, 26.6]",3754175,63,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Lee Cattermole,10783.0,Right Center Midfield,123,Sunderland,41,"['93ebb6ee-0039-4394-a1ea-424d311ef06e', 'e58f35dc-4720-4548-91f0-9d0cfd4b925d']",7,,,,,,,,,,,,,,,,,,,Sunderland,41,00:18:07.687,Carry,
,,,,,"[84.5, 71.3]",,,,,,,,,,,,3.599999,,,,,,,,,,,,,,,6e79041f-73eb-4ac7-9bb5-a3f1e8e0c642,2149,,"[45.0, 62.9]",3754175,63,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,DeAndre Yedlin,3658.0,Right Back,123,Sunderland,41,"['84679283-082f-49b5-8e2c-d3ee163772e9', 'c4c7ba89-ee17-4d74-8e10-ebd51a21719d']",11,,,,,,,,,,,,,,,,,,,Sunderland,41,00:18:11.761,Carry,
