50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,52b30f1a-5972-40be-9c1f-7e86eb7a9c99,1,,,3754256,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Everton,29,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 13042, 'name': 'Tim Howard'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 24}, {'player': {'id': 4589, 'name': 'Séamus Coleman'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 23}, {'player': {'id': 3244, 'name': 'John Stones'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 20046, 'name': 'Phil Jagielka'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 30702, 'name': 'Brendan Joel Zibusiso Galloway'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 32}, {'player': {'id': 3607, 'name': 'James McCarthy'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 16}, {'player': {'id': 3633, 'name': 'Gareth Barry'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 18}, {'player': {'id': 3953, 'name': 'Aaron Lennon'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 12}, {'player': {'id': 4275, 'name': 'Ross Barkley'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 20}, {'player': {'id': 9528, 'name': 'Steven Naismith'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 14}, {'player': {'id': 3289, 'name': 'Romelu Lukaku Menama'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Everton,29,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,59058ab7-7103-4d39-94ab-79900d39c6b8,2,,,3754256,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Everton,29,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3333, 'name': 'David de Gea Quintana'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4587, 'name': 'Matteo Darmian'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 36}, {'player': {'id': 3314, 'name': 'Phil Jones'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 10958, 'name': 'Chris Smalling'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 12}, {'player': {'id': 3602, 'name': 'Faustino Marcos Alberto Rojo'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 5}, {'player': {'id': 3600, 'name': 'Morgan Schneiderlin'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 28}, {'player': {'id': 18414, 'name': 'Bastian Schweinsteiger'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 31}, {'player': {'id': 3294, 'name': 'Juan Manuel Mata García'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 8}, {'player': {'id': 3606, 'name': 'Ander Herrera Agüera'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 21}, {'player': {'id': 20039, 'name': 'Anthony Martial'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 9}, {'player': {'id': 3538, 'name': 'Wayne Mark Rooney'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Manchester United,39,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,c27bf719-614d-4311-96d2-2e8f73a8da12,3,,,3754256,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Everton,29,['c2e3c9a9-cc30-4021-ac84-8bbc153bab1e'],0,,,,,,,,,,,,,,,,,Everton,29,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,c2e3c9a9-cc30-4021-ac84-8bbc153bab1e,4,,,3754256,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Everton,29,['c27bf719-614d-4311-96d2-2e8f73a8da12'],0,,,,,,,,,,,,,,,,,Manchester United,39,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,fd09c193-0f10-4d37-9318-8c91bb0dff2e,1992,,,3754256,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,81,Everton,29,['f3e3d636-51ab-4e7c-94c7-8dbd7c634907'],0,,,,,,,,,,,,,,,,,Everton,29,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,f3e3d636-51ab-4e7c-94c7-8dbd7c634907,1993,,,3754256,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,81,Everton,29,['fd09c193-0f10-4d37-9318-8c91bb0dff2e'],0,,,,,,,,,,,,,,,,,Manchester United,39,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.575348,,,,,,,,,,,0c492998-6673-4415-af88-0d1bc649179e,5,,"[60.0, 40.0]",3754256,0,,,,0.8329813,,Left Foot,,,"[61.0, 41.1]",,Ground Pass,,1.4866068,,,Ander Herrera Agüera,3606.0,,,,,,Kick Off,1,From Kick Off,Wayne Mark Rooney,3538.0,Center Forward,2,Manchester United,39,['71c613c2-80c8-42b1-bcc0-5a8e4d94f7f9'],0,,,,,,,,,,,,,,,,,Manchester United,39,00:00:00.127,Pass,
,,,,,,,,,,,,,,,,,1.354095,,,,,,,,,,,8ad278a0-13b5-4e9f-ad43-1bfccfea52ac,7,,"[61.0, 40.5]",3754256,0,,,,-3.0074341,,Right Foot,,,"[44.7, 38.3]",,Ground Pass,,16.447796,,,Bastian Schweinsteiger,18414.0,,,,,,,1,From Kick Off,Ander Herrera Agüera,3606.0,Center Attacking Midfield,2,Manchester United,39,['c81f2de6-fb18-4fe4-8cd2-ce3f6594dcf3'],0,,,,,,,,,,,,,,,,,Manchester United,39,00:00:00.702,Pass,
,,,,,,,,,,,,,,,,,1.925436,,,,,,,,,,,5f980dbc-1022-4c4e-b606-7c755ef7c452,11,,"[46.8, 31.7]",3754256,0,,,,-2.634494,,Left Foot,,,"[32.4, 23.7]",,Ground Pass,,16.47301,,,Chris Smalling,10958.0,,,,,,,1,From Kick Off,Bastian Schweinsteiger,18414.0,Left Center Midfield,2,Manchester United,39,"['20e3d9a3-bc54-4f73-b701-ef7b6aada364', 'd5d8fcd3-08af-4dfd-8a17-87b8751f15d3']",4,,,,,,,,,,,,,,,,,Manchester United,39,00:00:04.971,Pass,True
,,,,,,,,,,,,,,,,,2.193172,,,,,,,,,,,038fef20-81bb-4f4e-9264-c170e8464648,15,,"[29.3, 25.0]",3754256,0,,,,2.5704474,,Right Foot,,,"[3.0, 41.9]",,Ground Pass,,31.261797,,,David de Gea Quintana,3333.0,,,,,,,1,From Kick Off,Chris Smalling,10958.0,Left Center Back,2,Manchester United,39,"['06ea5592-d9e5-46bc-a8d1-5f6fbdc7e3aa', '8ce89646-8cd6-4df6-8939-ab1ef5ff7ceb']",7,,,,,,,,,,,,,,,,,Manchester United,39,00:00:07.708,Pass,True
