50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,03946902-608e-411c-9871-3b32b1dc7cfe,1,,,3754320,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Southampton,25,,0,,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3970, 'name': 'Fraser Forster'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 44}, {'player': {'id': 3590, 'name': 'Rhu-endly Martina'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 15}, {'player': {'id': 3960, 'name': 'José Miguel da Rocha Fonte'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 3669, 'name': 'Virgil van Dijk'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 17}, {'player': {'id': 20045, 'name': 'Ryan Bertrand'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 3098, 'name': 'Victor Wanyama'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 12}, {'player': {'id': 16181, 'name': 'Jordy Clasie'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 3629, 'name': 'Sadio Mané'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 3828, 'name': 'Steven Davis'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 8}, {'player': {'id': 3831, 'name': 'Dušan Tadić'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 3842, 'name': 'Shane Long'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]}",Southampton,25,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,7b8ecca9-8c74-4235-8cee-f37b6dc36e38,2,,,3754320,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Southampton,25,,0,,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 3291, 'name': 'Joe Hart'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3052, 'name': 'Pablo Javier Zabaleta Girod'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 5}, {'player': {'id': 3090, 'name': 'Nicolás Hernán Otamendi'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 30}, {'player': {'id': 3389, 'name': 'Eliaquim Mangala'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 20}, {'player': {'id': 5596, 'name': 'Aleksandar Kolarov'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 11}, {'player': {'id': 20253, 'name': 'Samir Nasri'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 8}, {'player': {'id': 3054, 'name': 'Fernando Luiz Rosa'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 25}, {'player': {'id': 4597, 'name': 'Fabian Delph'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 18}, {'player': {'id': 3233, 'name': 'Raheem Sterling'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 7}, {'player': {'id': 3708, 'name': 'Kelechi Promise Iheanacho'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 72}, {'player': {'id': 3598, 'name': 'Wilfried Guemiand Bony'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 14}]}",Manchester City,36,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,49377dd1-5801-4b26-b882-63820d437f87,3,,,3754320,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Southampton,25,['840b06fd-b229-4023-834d-1c44067162f7'],0,,,,,,,,,,,,,,,,,,,Southampton,25,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,840b06fd-b229-4023-834d-1c44067162f7,4,,,3754320,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Southampton,25,['49377dd1-5801-4b26-b882-63820d437f87'],0,,,,,,,,,,,,,,,,,,,Manchester City,36,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,9db95e42-d046-47ab-a8d5-9c5d3be4aae1,1861,,,3754320,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,86,Southampton,25,['5f0394fa-8e26-483a-acf4-a598a6e334b7'],0,,,,,,,,,,,,,,,,,,,Southampton,25,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,5f0394fa-8e26-483a-acf4-a598a6e334b7,1862,,,3754320,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,86,Southampton,25,['9db95e42-d046-47ab-a8d5-9c5d3be4aae1'],0,,,,,,,,,,,,,,,,,,,Manchester City,36,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.163409,,,,,,,,,,,,,,ac6d357b-3dda-4c0d-92df-6166444227f9,5,,"[61.0, 40.1]",3754320,0,,,,,1.8817946,,Right Foot,,,"[60.1, 42.9]",,Ground Pass,,2.9410882,,,Steven Davis,3828.0,,,,,,Kick Off,1,From Kick Off,Shane Long,3842.0,Center Forward,2,Southampton,25,['b0b99dab-9c17-45f5-b298-879b894cb092'],0,,,,,,,,,,,,,,,,,,,Southampton,25,00:00:00.419,Pass,
,,,,,,,,,,,,,,,1.616931,,,,,,,,,,,,,,de3b1a1e-0f12-4d11-b382-2b3fe7517071,8,,"[59.1, 44.0]",3754320,0,,,,,3.1415927,,Right Foot,,,"[47.3, 44.0]",,Ground Pass,,11.8,,,Jordy Clasie,16181.0,,,,,,,1,From Kick Off,Steven Davis,3828.0,Center Attacking Midfield,2,Southampton,25,['57d4cda6-d14f-4b80-b131-6158959066e6'],0,,,,,,,,,,,,,,,,,,,Southampton,25,00:00:00.630,Pass,
,,,,,,,,,,,,,,,1.596403,,,,,,,,,,,,,,4944229b-f4dd-4192-9cd2-d1a8defe5124,11,,"[46.9, 44.4]",3754320,0,,,,,-2.1904924,,Right Foot,,,"[34.7, 27.3]",,Ground Pass,,21.00595,,,Virgil van Dijk,3669.0,,,,,,,1,From Kick Off,Jordy Clasie,16181.0,Left Center Midfield,2,Southampton,25,['47cb63bc-9b76-40fc-9243-587fa1cbc044'],2,,,,,,,,,,,,,,,,,,,Southampton,25,00:00:02.401,Pass,
,,,,,,,,,,,,,,,1.715041,,,,,,,,,,,,,,e3b05607-c415-42db-8362-14798bce6dc4,15,,"[71.5, 30.3]",3754320,0,,,,,-0.9174379,,Right Foot,,,"[82.6, 15.8]",,Ground Pass,,18.260887,,,Ryan Bertrand,20045.0,,,,,,,1,From Kick Off,Virgil van Dijk,3669.0,Left Center Back,2,Southampton,25,['8e21eed9-d4ae-4f18-8c62-9136168dfffe'],9,,,,,,,,,,,,,,,,,,,Southampton,25,00:00:09.722,Pass,
,,,,,,,,,,,,,,,1.7731,,,,,,,,,,,,,,adcd72af-7219-4512-b07a-7ba65f447e84,19,,"[82.0, 13.2]",3754320,0,,,,,-0.40047875,,Left Foot,,,"[95.7, 7.4]",,Ground Pass,,14.877164,,,Dušan Tadić,3831.0,,,,,,,1,From Kick Off,Ryan Bertrand,20045.0,Left Back,2,Southampton,25,"['7fda4c0c-d0e3-4a92-b8e8-91b91d294da1', '9dc4b6f0-e6bc-4f13-8636-69e77d8911be']",12,,,,,,,,,,,,,,,,,,,Southampton,25,00:00:12.117,Pass,True
,,,,,,,,,,,,,,,1.032403,,,,,,,,,,,,,,c1e4e181-8097-4bb9-84e8-fe34a862d212,23,,"[101.6, 11.9]",3754320,0,,,,,-0.32414863,,Right Foot,,,"[114.1, 7.7]",,Ground Pass,,13.186736,,,Ryan Bertrand,20045.0,,,,,,,1,From Kick Off,Dušan Tadić,3831.0,Left Wing,2,Southampton,25,['45d96760-304a-4082-a5b6-622bdc9d39f9'],18,,,,,,,,,,,,,,,,,,,Southampton,25,00:00:18.858,Pass,
