ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,1.759489,,,,,,,,,,,,2fa04057-3881-434d-88ee-5308e22dfef0,15,,"[24.1, 28.3]",3754262,0,,,,,1.5247762,,Right Foot,,,"[25.5, 58.7]",,Ground Pass,,30.43222,,,,Tommy Elphick,9626.0,,,,,,1,From Kick Off,Steve Cook,3341.0,Left Center Back,2,AFC Bournemouth,28,['7232960a-6b09-4c44-8011-f07dc29d09e5'],7,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:00:07.996,Pass,
,,,,,,,,,,,,,,,,1.313749,,,,,,,,,,,,d5c3c7db-f16b-47c1-9cf2-b066e414944e,18,,"[26.6, 59.2]",3754262,0,,,,,0.9879683,,Right Foot,,,"[38.4, 77.1]",,Ground Pass,,21.43945,,,,Simon Francis,3608.0,,,,,,1,From Kick Off,Tommy Elphick,9626.0,Right Center Back,2,AFC Bournemouth,28,['8a87d456-e17e-47f8-9689-fc6e89d05465'],10,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:00:10.747,Pass,
,,,,,,,,,,,,,,,,1.421918,,,,,,,,,,,,6dd8d33e-5d20-4e0b-837b-ee23f5e8fbe0,21,,"[56.0, 77.9]",3754262,0,,,,,-0.009803607,,Right Foot,,,"[86.6, 77.6]",,High Pass,,30.60147,,,,Joshua King,3346.0,,,,,,1,From Kick Off,Simon Francis,3608.0,Right Back,2,AFC Bournemouth,28,['25d19328-1841-453d-96a5-ef1ef81f2a96'],15,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:00:15.621,Pass,
,,,,,,,,,,,,,,,,1.625893,,,,,,,,,,,,0fa310ab-6631-4050-a6b4-cc4827d8e9ae,26,,"[32.4, 0.1]",3754262,0,,,,,0.35378006,,,,,"[50.0, 6.6]",,High Pass,,18.76193,,Incomplete,,Jordan Ayew,3450.0,,,,,Throw-in,1,From Throw In,Aly Cissokho,27146.0,Left Back,3,Aston Villa,59,"['48e42823-5625-480b-a2e7-a98412f184b3', '6aa11ee5-0717-409e-bffb-e558fd031b35']",30,,,,,,,,,,,,,,,,,Aston Villa,59,00:00:30.881,Pass,
,,,,,,,,,,,,,,,,0.364639,,,,,,,,,,,,48e42823-5625-480b-a2e7-a98412f184b3,28,,"[70.1, 73.5]",3754262,0,,,,,-0.57296616,,Head,,,"[76.3, 69.5]",,Low Pass,,7.378347,,Incomplete,,Lewis Grabban,9593.0,,,,,Interception,1,From Throw In,Simon Francis,3608.0,Right Back,3,Aston Villa,59,"['0fa310ab-6631-4050-a6b4-cc4827d8e9ae', 'abf55acb-a160-4dc7-a4cd-a1ce77db7a88', 'd8262f12-27e2-4064-b4e4-666522584fe0']",32,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:00:32.507,Pass,
,,,,,,,,,,,,,,,,0.916231,,,,,,,,,,,,0fe9fc28-83c3-4d42-ab6a-9988dc4f96fb,36,,"[74.2, 49.3]",3754262,0,,,,,-2.604006,,Right Foot,,,"[69.0, 46.2]",,Ground Pass,,6.0539246,,,,Andrew Surman,3344.0,,,,,,1,Regular Play,Lewis Grabban,9593.0,Center Attacking Midfield,4,AFC Bournemouth,28,"['6ddbf627-0ebb-46ae-ba73-255cc6532e69', 'b2ce3ecd-045a-4474-b6e1-9f946b7126d6']",37,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:00:37.826,Pass,True
,,,,,,,,,,,,,,,,0.631619,,,,,,,,,,,,5c56eeeb-0e66-44cf-ab98-6bdedbb51754,39,,"[68.4, 45.7]",3754262,0,,,,,-1.9337221,,Left Foot,,,"[65.4, 37.8]",,Ground Pass,,8.450444,,,,Dan Gosling,3343.0,,,,,,1,Regular Play,Andrew Surman,3344.0,Right Defensive Midfield,4,AFC Bournemouth,28,"['22d5ac78-a159-4650-8354-acadc768d150', '9684f510-7fab-4ec6-b009-8c3252e7f516']",38,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:00:38.743,Pass,True
,,,,,,,,,,,,,,,,1.153398,,,,,,,,,,,,010d5404-8720-4cf4-9ce2-5867666906f0,42,,"[64.0, 35.5]",3754262,0,,,,,-2.2919555,,Right Foot,,,"[56.0, 26.4]",,Ground Pass,,12.116518,,,,Charlie Daniels,3345.0,,,,,,1,Regular Play,Dan Gosling,3343.0,Left Defensive Midfield,4,AFC Bournemouth,28,['ed88d76c-03b8-4fbe-a56f-4385ebaac376'],40,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:00:40.550,Pass,
,,,,,,,,,,,,,,,,2.717167,,,,,,,,,,,,b917fd42-75c5-4b25-80b9-2161682ba90b,45,,"[55.5, 23.3]",3754262,0,,,,,2.0359871,,Left Foot,,,"[42.5, 49.2]",,Ground Pass,,28.979475,,,,Tommy Elphick,9626.0,,,,,,1,Regular Play,Charlie Daniels,3345.0,Left Back,4,AFC Bournemouth,28,['e7495c56-09ad-4c7e-a241-cddf121f0bba'],42,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:00:42.712,Pass,
,,,,,,,,,,,,,,,,1.288418,,,,,,,,,,,,42bd6776-e465-4727-98f2-148df0016b0b,48,,"[54.7, 58.7]",3754262,0,,,,,0.94378257,,Right Foot,,,"[66.8, 75.4]",,Ground Pass,,20.622803,,,,Simon Francis,3608.0,,,,,,1,Regular Play,Tommy Elphick,9626.0,Right Center Back,4,AFC Bournemouth,28,['b5e86814-e04d-4efa-962e-315bc4310236'],47,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:00:47.070,Pass,
