50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,3.944443,,,,,,,,,,,,,ded3b94b-dde7-45be-941e-af5fabf72259,2169,,"[6.0, 44.0]",3754188,58,,,,,-0.25769433,,Right Foot,,,,"[72.4, 26.5]",,High Pass,,68.66739,,Graziano Pellè,11062.0,,,,,,Goal Kick,2,From Goal Kick,Paulo Dino Gazzaniga,5109.0,Goalkeeper,138,Southampton,25,['1a0fefd0-7ee1-4255-8e11-54f3d32d07fe'],50,,,,,,,,,,,,,,,,Southampton,25,00:13:50.102,Pass,
,,,,,,,,,,,,,,,,4.077105,,,,,,,,,,,,,dd5c7712-d64b-4f9a-b41d-03d28914e790,2173,,"[71.7, 25.4]",3754188,58,,,,,1.1183007,,Right Foot,,,,"[98.0, 79.5]",,High Pass,,60.15397,Out,Steven Davis,3828.0,,,True,,,,2,From Goal Kick,Graziano Pellè,11062.0,Center Forward,138,Southampton,25,['ea21713a-356e-416e-abcc-463c04f1599f'],55,,,,,,,,,,,,,,,,Southampton,25,00:13:55.635,Pass,
,,,,,,,,,,,,,,,,1.585524,,,,,,,,,,,,,b981f5b5-e335-476f-8a3c-d750f03f622c,2175,,"[22.9, 0.1]",3754188,59,,,,,0.25817588,,,,,,"[46.0, 6.2]",,High Pass,,23.89184,Incomplete,Harry Kane,10955.0,,,,,,Throw-in,2,From Throw In,Ben Davies,3086.0,Left Back,139,Tottenham Hotspur,38,"['393c2312-b4d9-4065-a473-800e7339cb04', 'ff3e48ee-c5b4-4c09-805b-3343bd7ffa82']",16,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:14:16.768,Pass,
,,,,,,,,,,,,,,,,0.149748,,,,,,,,,,,,,393c2312-b4d9-4065-a473-800e7339cb04,2178,,"[74.1, 73.9]",3754188,59,,,,True,-0.08673834,,,,,,"[76.4, 73.7]",,Low Pass,,2.3086793,Incomplete,,,,,,,,Recovery,2,From Throw In,José Miguel da Rocha Fonte,3960.0,Right Center Back,139,Tottenham Hotspur,38,"['0cfc9a35-a26b-452e-bdc0-80d62ff958f8', '785e7f9e-d7ff-4a08-b301-f3aff7cda830', 'b981f5b5-e335-476f-8a3c-d750f03f622c']",18,,,,,,,,,,,,,,,,Southampton,25,00:14:18.354,Pass,True
,,,,,,,,,,,,,,,,0.232901,,,,,,,,,,,,,a821cadd-cdaa-4c03-ade9-e172d0c3d79f,2180,,"[76.2, 73.5]",3754188,59,,,,,-1.0349851,,Right Foot,,,,"[78.1, 70.3]",,Low Pass,,3.7215588,Incomplete,,,,,,,,Recovery,2,From Throw In,José Miguel da Rocha Fonte,3960.0,Right Center Back,139,Tottenham Hotspur,38,['0624b607-ba0c-46e3-b256-e484b822cac9'],19,,,,,,,,,,,,,,,,Southampton,25,00:14:19.173,Pass,
,,,,,,,,,,,,,,,,2.282196,,,,,,,,,,,,,aaee245f-9be5-4a9b-bb87-f954285ddbc3,2189,,"[45.6, 23.1]",3754188,59,,,,,1.5176252,,Right Foot,,,,"[47.5, 58.8]",,High Pass,,35.750523,,Kyle Walker,3205.0,,,,,,,2,From Throw In,Harry Kane,10955.0,Center Forward,139,Tottenham Hotspur,38,"['614ef4cb-24a8-4645-bccd-f1b0d1017d45', 'db6ac947-8843-4b42-bc8f-af865729258e']",22,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:14:22.681,Pass,True
,,,,,,,,,,,,,,,,0.992097,,,,,,,,,,,,,bea322cb-8185-4ae1-8b59-6c5a01db6303,2192,,"[81.8, 62.0]",3754188,59,,,,,-0.6952179,,Right Foot,,,,"[102.3, 44.9]",,Ground Pass,,26.695692,,Bamidele Alli,3094.0,,,,,,,2,From Throw In,Kyle Walker,3205.0,Right Back,139,Tottenham Hotspur,38,['f8786c44-b8e3-4067-aa71-53bb1ff95550'],29,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:14:29.588,Pass,
,,,,,,,,,,,,,,,,0.735272,,,,,,,,,,,,,2e48d230-e5e3-4dbd-bc05-6d52ed1cecfb,2196,,"[105.1, 50.0]",3754188,59,,,,,-1.1071488,,Right Foot,,,,"[106.4, 47.4]",,Ground Pass,,2.9068885,Incomplete,Erik Lamela,3585.0,,,,,,,2,From Throw In,Bamidele Alli,3094.0,Center Attacking Midfield,139,Tottenham Hotspur,38,"['1cecb5ac-8099-4ff3-a176-64782c67fe20', 'fb297045-da9c-4955-ae1e-4241693b167f']",31,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:14:31.887,Pass,
,,,,,,,,,,,,,,,,3.249777,,,,,,,,,,,,,374ec0aa-22f4-4465-a077-3257c5f19a82,2202,,"[16.3, 27.3]",3754188,59,,,,,-0.03465765,,Right Foot,,,,"[71.1, 25.4]",,High Pass,,54.832928,,Graziano Pellè,11062.0,,,,,,Free Kick,2,From Free Kick,Paulo Dino Gazzaniga,5109.0,Goalkeeper,140,Southampton,25,['338b03f8-5a39-4d99-a1ab-ade38db60f44'],55,,,,,,,,,,,,,,,,Southampton,25,00:14:55.058,Pass,
,,,,,,,,,,,,,,,,1.349397,,,,,,,,,,,,,955619f0-679e-4bb4-bb16-ac424b048f34,2204,,"[71.1, 25.4]",3754188,59,,,,True,2.0344439,,,,,,"[69.4, 28.8]",,Low Pass,,3.8013155,Incomplete,,,,,,,,,2,From Free Kick,Graziano Pellè,11062.0,Center Forward,140,Southampton,25,"['57488a6f-d92e-41b6-ad10-9b81823afa07', 'c36b9d05-5845-4f20-b0bd-13328e20674d']",58,,,,,,,,,,,,,,,,Southampton,25,00:14:58.388,Pass,True
,,,,,,,,,,,,,,,,0.770543,,,,,,,,,,,,,8ec59f9e-9480-4a8c-8e0e-c13129f89889,2209,,"[50.3, 48.5]",3754188,60,,,,,1.9672376,,Left Foot,,,,"[46.7, 57.1]",,Ground Pass,,9.32309,,Eric Dier,10956.0,,,,,,,2,From Free Kick,Mousa Sidi Yaya Dembélé,3037.0,Left Defensive Midfield,140,Southampton,25,"['92f9250a-75b9-45e1-b8d1-d3cbf66af592', 'a1ab9036-0117-42e8-9183-318fd5e044cd']",0,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:15:00.144,Pass,True
,,,,,,,,,,,,,,,,0.928749,,,,,,,,,,,,,657b74d4-76d2-4651-9689-179b2746a17e,2217,,"[56.5, 9.1]",3754188,60,,,,,0.9510785,,Left Foot,,,,"[69.2, 26.9]",,Ground Pass,,21.866184,,Graziano Pellè,11062.0,,,,,,,2,From Free Kick,Ryan Bertrand,20045.0,Left Back,140,Southampton,25,['251e6f27-b02c-4338-bd37-145bb040fe4e'],7,,,,,,,,,,,,,,,,Southampton,25,00:15:07.115,Pass,
,,,,,,,,,,,,,,,,1.951544,,,,,,,,,,,,,e9b5e5a7-8dda-4c83-803f-e67cd71c8936,2220,,"[69.2, 26.9]",3754188,60,,,,,1.8367044,,Right Foot,,,,"[62.5, 51.5]",,High Pass,,25.496078,,Steven Davis,3828.0,,,,,,,2,From Free Kick,Graziano Pellè,11062.0,Center Forward,140,Southampton,25,['d73ed1a5-583e-4316-9442-a0c152c2cf21'],9,,,,,,,,,,,,,,,,Southampton,25,00:15:09.323,Pass,
,,,,,,,,,,,,,,,,1.320797,,,,,,,,,,,,,5b966d9b-fd3c-4205-a910-b922995410ea,2223,,"[69.8, 51.1]",3754188,60,,,,,1.1533791,,Left Foot,,,,"[74.9, 62.6]",,Ground Pass,,12.580143,,Cédric Ricardo Alves Soares,3329.0,,,,,,,2,From Free Kick,Steven Davis,3828.0,Right Wing,140,Southampton,25,['e20975bc-e6cd-4ca8-b400-5c1d250cfdab'],13,,,,,,,,,,,,,,,,Southampton,25,00:15:13.907,Pass,
