50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,e97d1484-4eb2-48e1-a3ab-b593f774da6d,1,,,3754274,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,AFC Bournemouth,28,,0,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 20074, 'name': 'Artur Boruc'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6409, 'name': 'Adam Smith'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 15}, {'player': {'id': 3608, 'name': 'Simon Francis'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 3341, 'name': 'Steve Cook'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 3345, 'name': 'Charlie Daniels'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 11}, {'player': {'id': 3344, 'name': 'Andrew Surman'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 3463, 'name': 'Junior Stanislas'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 19}, {'player': {'id': 3343, 'name': 'Dan Gosling'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 3304, 'name': 'Harry Arter'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 3646, 'name': 'Marc Pugh'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 7}, {'player': {'id': 3278, 'name': 'Benik Afobe'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 20}]}",AFC Bournemouth,28,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,01a385ca-d6d0-46d2-a6e6-8b617cd4ae42,2,,,3754274,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,AFC Bournemouth,28,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3537, 'name': 'Jack Butland'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4724, 'name': 'Glen Johnson'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 8}, {'player': {'id': 40121, 'name': 'Philipp Wollscheid'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 26}, {'player': {'id': 6560, 'name': 'Marc Muniesa Martínez'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 3467, 'name': 'Erik Pieters'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 9625, 'name': 'Glenn Whelan'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 4346, 'name': 'Gilbert Gianelli Imbula Wanga'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 3533, 'name': 'Xherdan Shaqiri'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 22}, {'player': {'id': 4891, 'name': 'Ibrahim Afellay'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 14}, {'player': {'id': 3603, 'name': 'Mame Biram Diouf'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 18}, {'player': {'id': 3670, 'name': 'Jonathan Walters'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 19}]}",Stoke City,30,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,85c9152e-e286-4678-a5e1-b75c0814877d,3,,,3754274,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,AFC Bournemouth,28,['1827321a-c4d0-49e9-b69e-9d6ae864714d'],0,,,,,,,,,,,,,,,,,Stoke City,30,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,1827321a-c4d0-49e9-b69e-9d6ae864714d,4,,,3754274,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,AFC Bournemouth,28,['85c9152e-e286-4678-a5e1-b75c0814877d'],0,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,a56bfb6e-958a-4eb6-abbe-b59e3c6f582e,1711,,,3754274,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,106,AFC Bournemouth,28,['2bff5c63-14fc-47dc-addc-25e4d4da1d04'],0,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2bff5c63-14fc-47dc-addc-25e4d4da1d04,1712,,,3754274,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,106,AFC Bournemouth,28,['a56bfb6e-958a-4eb6-abbe-b59e3c6f582e'],0,,,,,,,,,,,,,,,,,Stoke City,30,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,1.029346,,,,,,,,,,,,,da1fcbe4-e53d-4c30-a9c8-711327f724b0,5,,"[60.0, 40.0]",3754274,0,,,,-2.938811,,Left Foot,,,"[49.3, 37.8]",,Ground Pass,,10.923827,,,,,Glenn Whelan,9625.0,,,,,,Kick Off,1,From Kick Off,Xherdan Shaqiri,3533.0,Right Wing,2,Stoke City,30,['c1284534-c992-49e8-b4ca-ce5e0ba9f3d3'],1,,,,,,,,,,,,,,,,,Stoke City,30,00:00:01.217,Pass,
,,,,,,,,,,,,,,,,,2.542594,,,,,,,,,,,,,8777445a-b53e-488a-b866-a0f102aea781,8,,"[52.3, 36.4]",3754274,0,,,,-0.5321119,,Right Foot,,,"[86.1, 16.5]",,High Pass,,39.22308,,,Incomplete,,Mame Biram Diouf,3603.0,,,,,,,1,From Kick Off,Glenn Whelan,9625.0,Right Defensive Midfield,2,Stoke City,30,"['43eb29c0-55a8-4852-b98e-eabd6fbeb8cf', '8d03ca8d-b957-4201-a6df-941b854b76bc']",3,,,,,,,,,,,,,,,,,Stoke City,30,00:00:03.069,Pass,
,,,,,,,,,,,,,,,,,1.65441,,,,,,,,,,,,,43eb29c0-55a8-4852-b98e-eabd6fbeb8cf,11,,"[34.0, 63.6]",3754274,0,,,True,1.0740726,,,,,"[39.8, 74.3]",,High Pass,,12.170867,,,,,Junior Stanislas,3463.0,,,,,,Recovery,1,Regular Play,Andrew Surman,3344.0,Center Defensive Midfield,3,AFC Bournemouth,28,"['6cc43fa8-2d4b-4ec9-935d-c06b9789e295', '8777445a-b53e-488a-b866-a0f102aea781', 'f85c245d-0217-458e-a403-693d5f270221']",5,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:00:05.611,Pass,True
,,,,,,,,,,,,,,,,,1.14772,,,,,,,,,,,,,b775e35e-aa98-4d1b-994f-985a21b6b3ad,17,,"[41.4, 78.5]",3754274,0,True,,,-2.2302818,,Right Foot,,,"[34.5, 69.6]",,Ground Pass,,11.261438,,,,,Simon Francis,3608.0,,,,,,Free Kick,1,From Free Kick,Adam Smith,6409.0,Right Back,4,AFC Bournemouth,28,['4b815bf3-f2a7-4357-b06b-09ea2fb96ed8'],16,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:00:16.799,Pass,
