50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_redirect,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,24a61b88-004f-4e6f-ab9a-cd27d8ee678b,1,,,,3754083,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Chelsea,33,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3509, 'name': 'Thibaut Courtois'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 5594, 'name': 'Branislav Ivanović'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 3456, 'name': 'Kurt Happy Zouma'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 3645, 'name': 'Gary Cahill'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 24}, {'player': {'id': 3957, 'name': 'César Azpilicueta Tanco'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 28}, {'player': {'id': 3478, 'name': 'Francesc Fàbregas i Soler'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 3381, 'name': 'Nemanja Matić'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 3958, 'name': 'Pedro Eliezer Rodríguez Ledesma'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 17}, {'player': {'id': 3472, 'name': 'Willian Borges da Silva'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 22}, {'player': {'id': 3621, 'name': 'Eden Hazard'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 5198, 'name': 'Diego da Silva Costa'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 19}]}",Chelsea,33,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,e4695922-520d-433b-920c-95e11899fe5f,2,,,,3754083,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Chelsea,33,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3619, 'name': 'Alex McCarthy'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 12}, {'player': {'id': 3443, 'name': 'Joel Ward'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 3407, 'name': 'Scott Dann'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 3693, 'name': 'Damien Delaney'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 27}, {'player': {'id': 4884, 'name': ""Pape N''Diaye Souaré""}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 23}, {'player': {'id': 3464, 'name': 'James McArthur'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 3277, 'name': 'Yohan Cabaye'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 19688, 'name': 'Jason Puncheon'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 42}, {'player': {'id': 3469, 'name': 'Bakary Sako'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 26}, {'player': {'id': 3507, 'name': 'Wilfried Zaha'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 20641, 'name': 'Connor Wickham'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 21}]}",Crystal Palace,31,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2971d707-b8b2-4ef3-9bd6-4c48c8bc780c,3,,,,3754083,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Chelsea,33,['b5932ae1-ff44-4f51-af46-a267cf9d4b38'],0,,,,,,,,,,,,,,,,,,Crystal Palace,31,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,b5932ae1-ff44-4f51-af46-a267cf9d4b38,4,,,,3754083,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Chelsea,33,['2971d707-b8b2-4ef3-9bd6-4c48c8bc780c'],0,,,,,,,,,,,,,,,,,,Chelsea,33,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,80317e28-a886-46fd-9851-caeeb1365cf2,1869,,,,3754083,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,80,Chelsea,33,['1bb678b3-e50e-445a-b86c-9cbd916d33fd'],0,,,,,,,,,,,,,,,,,,Crystal Palace,31,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,1bb678b3-e50e-445a-b86c-9cbd916d33fd,1870,,,,3754083,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,80,Chelsea,33,['80317e28-a886-46fd-9851-caeeb1365cf2'],0,,,,,,,,,,,,,,,,,,Chelsea,33,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.764561,,,,,,,,,,,,,70074593-5ce7-4231-8dbc-96eb6318caad,5,,,"[60.0, 40.0]",3754083,0,,,,,-2.4980915,,Right Foot,,,,"[58.8, 39.1]",,Ground Pass,,1.5,,,,,Jason Puncheon,19688.0,,,,,Kick Off,1,From Kick Off,Wilfried Zaha,3507.0,Left Wing,2,Crystal Palace,31,['64cd85b8-7da9-41d4-84cb-586d13b1785d'],0,,,,,,,,,,,,,,,,,,Crystal Palace,31,00:00:00.763,Pass,
,,,,,,,,,,,,,,,,,,,1.988196,,,,,,,,,,,,,322caa93-d2b0-4d62-9f56-16c2910a5266,8,,,"[56.6, 34.1]",3754083,0,,,,,-1.9571335,,Left Foot,,,,"[47.0, 10.5]",,Ground Pass,,25.477833,,,,,Pape N''Diaye Souaré,4884.0,,,,,,1,From Kick Off,Jason Puncheon,19688.0,Right Wing,2,Crystal Palace,31,['a0ea4655-330a-4387-9dae-381f18143b3f'],2,,,,,,,,,,,,,,,,,,Crystal Palace,31,00:00:02.223,Pass,
,,,,,,,,,,,,,,,,,,,2.71584,,,,,,,,,,,,,99199021-654f-4611-95f9-79a43bb76b0f,11,,,"[47.0, 10.5]",3754083,0,,,,,2.5213432,,Left Foot,,,,"[7.8, 38.5]",,Low Pass,,48.173023,,,,,Alex McCarthy,3619.0,,,,,,1,From Kick Off,Pape N''Diaye Souaré,4884.0,Left Back,2,Crystal Palace,31,['a8e5d236-00c0-45ae-9479-068d4b625183'],4,,,,,,,,,,,,,,,,,,Crystal Palace,31,00:00:04.264,Pass,
,,,,,,,,,,,,,,,,,,,1.524302,,,,,,,,,,,,,1e2d0052-90ac-41b0-9e71-c29cc125cc77,14,,,"[11.5, 38.2]",3754083,0,,,,,-1.2216136,,Right Foot,,,,"[18.6, 18.7]",,Ground Pass,,20.75235,,,,,Damien Delaney,3693.0,,,,,,1,From Kick Off,Alex McCarthy,3619.0,Goalkeeper,2,Crystal Palace,31,['133f52cc-1c24-45dd-b4cf-54a029d40bf3'],8,,,,,,,,,,,,,,,,,,Crystal Palace,31,00:00:08.807,Pass,
