bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,68987e5e-bfa7-4b33-a764-ae9b48d9789d,1,,,3754006,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,West Bromwich Albion,27,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 5108, 'name': 'Glyn Oliver Myhill'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 3523, 'name': 'Craig Dawson'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 25}, {'player': {'id': 3596, 'name': 'Gareth McAuley'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 23}, {'player': {'id': 11012, 'name': 'Jonathan Grant Evans'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 3541, 'name': 'Chris Brunt'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 11}, {'player': {'id': 2966, 'name': 'Stéphane Sessègnon'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 29}, {'player': {'id': 3967, 'name': 'Claudio Ariel Yacob'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 5}, {'player': {'id': 4022, 'name': 'Darren Fletcher'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 24}, {'player': {'id': 3514, 'name': 'James McClean'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 14}, {'player': {'id': 4630, 'name': 'Saido Berahino'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 18}, {'player': {'id': 4041, 'name': 'José Salomón Rondón Giménez'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 33}]}",West Bromwich Albion,27,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,14320654-9f9d-4afa-9e9f-7c80e6baf4d1,2,,,3754006,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,West Bromwich Albion,27,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 3815, 'name': 'Kasper Schmeichel'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3270, 'name': 'Danny Simpson'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 17}, {'player': {'id': 3813, 'name': 'Wes Morgan'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 40123, 'name': 'Robert Huth'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 3520, 'name': 'Jeffrey Schlupp'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 3814, 'name': 'Riyad Mahrez'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 26}, {'player': {'id': 3662, 'name': 'Danny Drinkwater'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 3961, 'name': ""N''Golo Kanté""}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 3307, 'name': 'Marc Albrighton'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 11}, {'player': {'id': 3671, 'name': 'José Leonardo Ulloa'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 23}, {'player': {'id': 10960, 'name': 'Jamie Vardy'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Leicester City,22,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,58f7b2c3-5bfe-43f4-9a63-3fa3aa108ab2,3,,,3754006,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,West Bromwich Albion,27,['88543f77-e6d8-46d4-9d8e-def870b83944'],0,,,,,,,,,,,,,,,,,,Leicester City,22,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,88543f77-e6d8-46d4-9d8e-def870b83944,4,,,3754006,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,West Bromwich Albion,27,['58f7b2c3-5bfe-43f4-9a63-3fa3aa108ab2'],0,,,,,,,,,,,,,,,,,,West Bromwich Albion,27,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,17a70c28-df79-4a65-9115-e6be6da73ea6,1347,,,3754006,45,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,90,Leicester City,22,['432985fb-dd0a-4e7a-a7ef-f69a3674cbb7'],0,,,,,,,,,,,,,,,,,,West Bromwich Albion,27,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,432985fb-dd0a-4e7a-a7ef-f69a3674cbb7,1348,,,3754006,45,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,90,Leicester City,22,['17a70c28-df79-4a65-9115-e6be6da73ea6'],0,,,,,,,,,,,,,,,,,,Leicester City,22,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.958905,,,,,,,,,,,,,8d0fa188-6245-46c4-9ef6-b608f60c2726,5,,"[60.0, 40.0]",3754006,0,,,,,1.677532,,Right Foot,,"[59.7, 42.8]",,Ground Pass,,2.8160255,,N''Golo Kanté,3961.0,,,,,Kick Off,1,From Kick Off,Jamie Vardy,10960.0,Left Center Forward,2,Leicester City,22,['579d1870-9c36-4996-9319-798b0fb72407'],0,,,,,,,,,,,,,,,,,,Leicester City,22,00:00:00.190,Pass,
,,,,,,,,,,,,,,,,,1.143843,,,,,,,,,,,,,d58e15f6-941f-406e-8144-5390cb0edab4,8,,"[60.7, 43.4]",3754006,0,,,,,-2.4074316,,Right Foot,,"[56.6, 39.7]",,Ground Pass,,5.5226803,,Danny Drinkwater,3662.0,,,,,,1,From Kick Off,N''Golo Kanté,3961.0,Left Center Midfield,2,Leicester City,22,['4a07df43-c5ea-400d-b836-68b70f441470'],1,,,,,,,,,,,,,,,,,,Leicester City,22,00:00:01.500,Pass,
,,,,,,,,,,,,,,,,,4.166468,,,,,,,,,,,,,e89c54a6-b16f-4304-9112-34e38fdbe286,11,,"[57.0, 39.5]",3754006,0,,,,,0.6316322,,Right Foot,,"[111.4, 79.3]",,High Pass,,67.40475,Out,José Leonardo Ulloa,3671.0,,,,,,1,From Kick Off,Danny Drinkwater,3662.0,Right Center Midfield,2,Leicester City,22,['5c06006e-d09f-4a89-a566-238f7122891d'],2,,,,,,,,,,,,,,,,,,Leicester City,22,00:00:02.724,Pass,
,,,,,,,,,,,,,,,,,2.115178,,,,,,,,,,,,,736b1eee-d47d-4983-ae06-eff844d93389,13,,"[7.7, 0.1]",3754006,0,,,,,0.242023,,,,"[31.6, 6.0]",,High Pass,,24.617474,Incomplete,José Salomón Rondón Giménez,4041.0,,,,,Throw-in,1,From Throw In,Chris Brunt,3541.0,Left Back,3,West Bromwich Albion,27,"['566d4c8b-f3ea-46f8-aed6-6abef5966287', 'dbbd05e5-ad25-42fc-b7f6-3ecd8550e0cb']",24,,,,,,,,,,,,,,,,,,West Bromwich Albion,27,00:00:24.904,Pass,
