50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,f987bb4a-a567-4877-adbe-78d7a5f21754,1,,,3754176,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,West Ham United,40,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 3623, 'name': 'Adrián San Miguel del Castillo'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 3349, 'name': 'Michail Antonio'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 30}, {'player': {'id': 4280, 'name': 'Winston Reid'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 3843, 'name': 'Angelo Obinze Ogbonna'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 21}, {'player': {'id': 3062, 'name': 'Aaron Cresswell'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 3684, 'name': 'Cheikhou Kouyaté'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 3874, 'name': 'Mark Noble'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 16}, {'player': {'id': 3595, 'name': 'Manuel Lanzini'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 128704, 'name': 'Emmanuel Emenike'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 29}, {'player': {'id': 3491, 'name': 'Dimitri Payet'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 27}, {'player': {'id': 3962, 'name': 'Diafra Sakho'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 15}]}",West Ham United,40,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,547c189d-bb5f-43ad-9f3c-1c6986ddce27,2,,,3754176,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,West Ham United,40,,0,,,,,,,,,,,,,,,,"{'formation': 451, 'lineup': [{'player': {'id': 3488, 'name': 'Wayne Hennessey'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 3443, 'name': 'Joel Ward'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 3407, 'name': 'Scott Dann'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 3693, 'name': 'Damien Delaney'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 27}, {'player': {'id': 4884, 'name': ""Pape N''Diaye Souaré""}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 23}, {'player': {'id': 5489, 'name': 'Mile Jedinak'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 3507, 'name': 'Wilfried Zaha'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 11}, {'player': {'id': 19688, 'name': 'Jason Puncheon'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 42}, {'player': {'id': 4817, 'name': 'Joe Ledley'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 28}, {'player': {'id': 3469, 'name': 'Bakary Sako'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 26}, {'player': {'id': 3589, 'name': 'Yannick Bolasie Yala'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Crystal Palace,31,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,75b37641-5e13-49af-8792-3db14afd26f4,3,,,3754176,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,West Ham United,40,['4508f63b-7fb7-482a-b247-a20b24d4f980'],0,,,,,,,,,,,,,,,,,Crystal Palace,31,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,4508f63b-7fb7-482a-b247-a20b24d4f980,4,,,3754176,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,West Ham United,40,['75b37641-5e13-49af-8792-3db14afd26f4'],0,,,,,,,,,,,,,,,,,West Ham United,40,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,27a804b8-63d1-41b5-90f6-341427839fe7,1512,,,3754176,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,79,West Ham United,40,['c11126dc-6858-49dc-a168-34431bb298ac'],0,,,,,,,,,,,,,,,,,Crystal Palace,31,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c11126dc-6858-49dc-a168-34431bb298ac,1513,,,3754176,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,79,West Ham United,40,['27a804b8-63d1-41b5-90f6-341427839fe7'],0,,,,,,,,,,,,,,,,,West Ham United,40,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.26,,,,,,,,,,,,,6d40b28d-0380-4fa2-aeef-d82ee5e40a9a,5,,"[61.0, 40.1]",3754176,0,,,,,-1.7894653,,Right Foot,,,,"[60.4, 37.4]",Ground Pass,,2.7658634,,,Diafra Sakho,3962.0,,,,,,Kick Off,1,From Kick Off,Manuel Lanzini,3595.0,Left Center Midfield,2,West Ham United,40,['1ec09e6f-bf86-43fa-aeff-621437dc75b4'],1,,,,,,,,,,,,,,,,,West Ham United,40,00:00:01.781,Pass,
,,,,,,,,,,,,,,,,0.5213,,,,,,,,,,,,,518948f4-71ef-436b-8ee1-23f6391d0c5c,7,,"[60.4, 37.4]",3754176,0,,,,,2.2194388,,Right Foot,,,,"[55.7, 43.6]",Ground Pass,,7.7801027,,,Mark Noble,3874.0,,,,,,,1,From Kick Off,Diafra Sakho,3962.0,Center Forward,2,West Ham United,40,['5962a537-074a-4cae-bbf9-fdffbb1356bf'],2,,,,,,,,,,,,,,,,,West Ham United,40,00:00:02.041,Pass,
,,,,,,,,,,,,,,,,1.6835,,,,,,,,,,,,,31999b8e-a437-4e16-96d5-be98670f7f8d,10,,"[55.7, 43.6]",3754176,0,,,,,-2.0775719,,Right Foot,,,,"[41.1, 17.3]",Ground Pass,,30.080725,,,Aaron Cresswell,3062.0,,,,,,,1,From Kick Off,Mark Noble,3874.0,Right Center Midfield,2,West Ham United,40,['2ca67993-91c3-43af-b9ca-a3868a11f507'],4,,,,,,,,,,,,,,,,,West Ham United,40,00:00:04.143,Pass,
,,,,,,,,,,,,,,,,0.7683,,,,,,,,,,,,,abf2b743-3cde-4075-808c-a7395864ef19,13,,"[41.1, 17.3]",3754176,0,,,,,1.8678606,,Left Foot,,,,"[36.6, 32.0]",Ground Pass,,15.373354,,,Cheikhou Kouyaté,3684.0,,,,,,,1,From Kick Off,Aaron Cresswell,3062.0,Left Back,2,West Ham United,40,['ea4129a9-63ff-473c-8e5f-1146701049a3'],7,,,,,,,,,,,,,,,,,West Ham United,40,00:00:07.388,Pass,
