ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,9f804b05-b497-4280-abc3-d7087e5be907,1,,,,3754102,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Newcastle United,37,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 3096, 'name': 'Rob Elliot'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 21}, {'player': {'id': 3650, 'name': 'Daryl Janmaat'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 22}, {'player': {'id': 3044, 'name': 'Chancel Mbemba Mangulu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 18}, {'player': {'id': 26207, 'name': 'Fabricio Coloccini'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 2}, {'player': {'id': 3065, 'name': 'Paul Dummett'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 3091, 'name': 'Moussa Sissoko'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 7}, {'player': {'id': 42900, 'name': 'Cheik Ismaël Tioté'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 24}, {'player': {'id': 9649, 'name': 'Jack Colback'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 3567, 'name': 'Georginio Wijnaldum'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 5}, {'player': {'id': 3076, 'name': 'Ayoze Pérez Gutiérrez'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 17}, {'player': {'id': 4269, 'name': 'Aleksandar Mitrović'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 45}]}",Newcastle United,37,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,7db0fa72-2d41-4cbc-b5fd-730741184104,2,,,,3754102,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Newcastle United,37,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 23635, 'name': 'John Ruddy'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 11124, 'name': 'Steven Whittaker'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 21212, 'name': 'Russell Martin'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 31296, 'name': 'Sébastien Aymar Bassong Nguena'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 3576, 'name': 'Martin Olsson'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 23}, {'player': {'id': 16334, 'name': 'Graham Dorrans'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 18}, {'player': {'id': 9463, 'name': 'Alexander Banor Tettey'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 27}, {'player': {'id': 3286, 'name': 'Nathan Redmond'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 22}, {'player': {'id': 9578, 'name': 'Jonathan Howson'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 8}, {'player': {'id': 10967, 'name': 'Robert Brady'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 12}, {'player': {'id': 23663, 'name': 'Dieumerci Mbokani Bezua'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Norwich City,56,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,67ab274e-dda3-45d9-a63d-5b3aefe05ec0,3,,,,3754102,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Newcastle United,37,['3cd791b4-87e3-43e0-b447-929081158f4f'],0,,,,,,,,,,,,,,,,,,Norwich City,56,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,3cd791b4-87e3-43e0-b447-929081158f4f,4,,,,3754102,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Newcastle United,37,['67ab274e-dda3-45d9-a63d-5b3aefe05ec0'],0,,,,,,,,,,,,,,,,,,Newcastle United,37,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,40964b61-08ec-4617-a7fe-8292030a6415,1671,,,,3754102,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,82,Newcastle United,37,['dee4427f-4a2e-47c9-a9f7-7aabe5ee0bc3'],0,,,,,,,,,,,,,,,,,,Norwich City,56,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,dee4427f-4a2e-47c9-a9f7-7aabe5ee0bc3,1672,,,,3754102,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,82,Newcastle United,37,['40964b61-08ec-4617-a7fe-8292030a6415'],0,,,,,,,,,,,,,,,,,,Newcastle United,37,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.573147,,,,,,,,,,,86d6cdcd-7874-4661-8014-62b70ddd2d66,5,,,"[61.0, 40.1]",3754102,0,,,,,1.6951513,,Right Foot,,,"[60.5, 44.1]",,Ground Pass,,4.031129,,,,Dieumerci Mbokani Bezua,23663.0,,,,,,Kick Off,1,From Kick Off,Jonathan Howson,9578.0,Center Attacking Midfield,2,Norwich City,56,['37486a2d-d291-466b-8a9f-a105e113f9b9'],0,,,,,,,,,,,,,,,,,,Norwich City,56,00:00:00.231,Pass,
,,,,,,,,,,,,,,,,0.588637,,,,,,,,,,,9dc2a484-af53-4651-869b-f8c877591e4e,7,,,"[60.5, 44.1]",3754102,0,,,,,3.0860941,,Right Foot,,,"[46.1, 44.9]",,Ground Pass,,14.422205,,,,Graham Dorrans,16334.0,,,,,,,1,From Kick Off,Dieumerci Mbokani Bezua,23663.0,Center Forward,2,Norwich City,56,['c67b5d87-a625-4ba9-b6a8-7ebf41c9a705'],0,,,,,,,,,,,,,,,,,,Norwich City,56,00:00:00.804,Pass,
,,,,,,,,,,,,,,,,3.077453,,,,,,,,,,,9d408910-ebfc-4d6d-b50a-056796fc0062,10,,,"[46.6, 44.7]",3754102,0,,,,,-0.39741808,,Right Foot,,,"[95.2, 24.3]",,High Pass,,52.707874,,Incomplete,,,,,,,,,,1,From Kick Off,Graham Dorrans,16334.0,Right Center Midfield,2,Norwich City,56,['954a6c07-c617-4422-920a-1d9c7ad84dca'],1,,,,,,,,,,,,,,,,,,Norwich City,56,00:00:01.572,Pass,
,,,,,,,,,,,,,,,,1.810624,,,,,,,,,,,954a6c07-c617-4422-920a-1d9c7ad84dca,11,,,"[24.9, 55.8]",3754102,0,,,,,0.037653428,,Head,,,"[54.1, 56.9]",,High Pass,,29.220713,,Incomplete,,,,,,,,,Recovery,1,From Kick Off,Chancel Mbemba Mangulu,3044.0,Right Center Back,2,Norwich City,56,"['9d408910-ebfc-4d6d-b50a-056796fc0062', 'e2181d6f-5278-4edf-99f1-05db7edd8120']",4,,,,,,,,,,,,,,,,,,Newcastle United,37,00:00:04.649,Pass,
