50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,,8.796308,,,,,,,,,,,,,,61fe30cf-ff92-4ac5-aae6-c39a8b7de3de,2506,,,"[6.1, 33.1]",3754139,66,,True,,,-0.094723724,,Drop Kick,,,"[68.2, 27.2]",,High Pass,,62.379642,Incomplete,,,,,,,,,2,From Keeper,Łukasz Fabiański,3262.0,Goalkeeper,149,Swansea City,26,['8c0918aa-e313-4d9b-a6b1-5af17cbbe6b6'],55,,,,,,,,,,,,,,,,,,Swansea City,26,00:21:55.585,Pass,
,,,,,,,,,,,,,,,,,,,,1.070966,,,,,,,,,,,,,,8c0918aa-e313-4d9b-a6b1-5af17cbbe6b6,2507,,,"[51.9, 52.9]",3754139,67,,,,,-2.2340968,,Right Foot,,,"[20.8, 13.1]",,Ground Pass,,50.5099,,,Jordy Clasie,16181.0,,,,,Recovery,2,From Keeper,Ryan Bertrand,20045.0,Left Center Back,150,Southampton,25,"['250db397-76ca-4f2d-82f9-de9e08356a53', '61fe30cf-ff92-4ac5-aae6-c39a8b7de3de']",4,,,,,,,,,,,,,,,,,,Southampton,25,00:22:04.381,Pass,
,,,,,,,,,,,,,,,,,,,,1.879998,,,,,,,,,,,,,,53f49c85-c0ab-4cef-be10-a5119de2b21d,2510,,,"[20.8, 14.3]",3754139,67,,,,,2.0440745,,Right Foot,,,"[8.1, 39.1]",,Ground Pass,,27.8627,,,Fraser Forster,3970.0,,,,,,2,From Keeper,Jordy Clasie,16181.0,Center Defensive Midfield,150,Southampton,25,['8b9aa616-49df-4a70-be10-35f9d0160943'],5,,,,,,,,,,,,,,,,,,Southampton,25,00:22:05.554,Pass,
,,,,,,,,,,,,,,,,,,,,4.087848,,,,,,,,,,,,,,7a0b74d6-04af-423e-9948-70a4b98a2f10,2513,,,"[7.0, 38.4]",3754139,67,,,,,-0.35181668,,Right Foot,,,"[78.1, 12.3]",,High Pass,,75.73916,Incomplete,,Graziano Pellè,11062.0,,,,,,2,From Keeper,Fraser Forster,3970.0,Goalkeeper,150,Southampton,25,"['88301fc7-fc41-4240-8488-54d308366aaf', '8b895001-33a9-4e86-9bd5-902df2167acd']",7,,,,,,,,,,,,,,,,,,Southampton,25,00:22:07.503,Pass,
,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,8a05c8fa-bbf2-496b-ab0f-3c752f082570,2519,,,"[63.7, 10.4]",3754139,67,,,,,1.9267541,,Right Foot,,,"[57.9, 26.0]",,Ground Pass,,16.643316,,,Cédric Ricardo Alves Soares,3329.0,,,,,,2,From Keeper,Steven Davis,3828.0,Right Wing Back,150,Southampton,25,['19335b74-dd9e-4c6f-a0db-d7b1a0efc2e8'],15,,,,,,,,,,,,,,,,,,Southampton,25,00:22:15.410,Pass,
,,,,,,,,,,,,,,,,,,,,1.005167,,,,,,,,,,,,,,c7f69a1b-f33d-45b2-8bfc-2b5acd8735b1,2522,,,"[57.8, 26.2]",3754139,67,,,,,0.73118776,,Right Foot,,,"[71.4, 38.4]",,Ground Pass,,18.270195,,,James Ward-Prowse,3328.0,,,,,,2,From Keeper,Cédric Ricardo Alves Soares,3329.0,Left Center Midfield,150,Southampton,25,['b8d59353-7f28-4c33-8ebd-33c74913f596'],17,,,,,,,,,,,,,,,,,,Southampton,25,00:22:17.164,Pass,
,,,,,,,,,,,,,,,,,,,,1.20658,,,,,,,,,,,,,,aaf3bccf-f04c-4e0e-8eff-259bc8400551,2525,,,"[71.4, 38.4]",3754139,67,,,,,-0.5010134,,Right Foot,,,"[84.0, 31.5]",,Ground Pass,,14.365583,Incomplete,,Shane Long,3842.0,,,,,,2,From Keeper,James Ward-Prowse,3328.0,Right Center Midfield,150,Southampton,25,"['0ae771bb-b16b-4c73-9d91-81f713b92fb0', 'edefabd7-facc-499a-bd91-1c372607fee7']",18,,,,,,,,,,,,,,,,,,Southampton,25,00:22:18.321,Pass,
,,,,,,,,,,,,,True,,,,,,,1.687292,,,,,,,,,,,,,,0ae771bb-b16b-4c73-9d91-81f713b92fb0,2527,,,"[36.1, 48.6]",3754139,67,,,,,-1.5308176,,Right Foot,,,"[36.2, 46.1]",,Ground Pass,,2.5019991,,,Neil Taylor,9627.0,,,,,Interception,2,Regular Play,Ashley Williams,3644.0,Left Center Back,151,Swansea City,26,"['61916d57-d373-4ed1-9c8c-b5b601ce8195', 'aaf3bccf-f04c-4e0e-8eff-259bc8400551']",19,,,,,,,,,,,,,,,,,,Swansea City,26,00:22:19.527,Pass,
,,,,,,,,,,,,,,,,,,,,1.008153,,,,,,,,,,,,,,b24d8ee5-032a-4d76-96f1-d739e14f6a41,2530,,,"[36.1, 44.4]",3754139,67,,,,,-2.4384825,,Left Foot,,,"[25.6, 35.5]",,Ground Pass,,13.764447,,,Leon Britton,4631.0,,,,,,2,Regular Play,Neil Taylor,9627.0,Left Back,151,Swansea City,26,['69c35998-c8bb-4a36-b6da-24cb2a457137'],25,,,,,,,,,,,,,,,,,,Swansea City,26,00:22:25.767,Pass,
,,,,,,,,,,,,,,,,,,,,1.471721,,,,,,,,,,,,,,01ee877b-6679-456f-b923-1945a127bed5,2533,,,"[46.7, 26.7]",3754139,67,,,,,-1.0779599,,Left Foot,,,"[55.4, 10.5]",,Ground Pass,,18.388311,,,Neil Taylor,9627.0,,,,,,2,Regular Play,Leon Britton,4631.0,Left Defensive Midfield,151,Swansea City,26,['8073fd6b-6c56-4116-916c-7a2de417e576'],28,,,,,,,,,,,,,,,,,,Swansea City,26,00:22:28.071,Pass,
