50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,3.639386,,,,,,,,,,,,,aadd596c-5d12-41d5-ac28-0ba4f0ab8577,652,,,"[16.3, 30.3]",3754151,21,,,,,-0.1858502,,Drop Kick,,,,"[76.4, 19.0]",,High Pass,,61.153088,,Incomplete,,Wayne Routledge,3449.0,,,,,,1,Regular Play,Łukasz Fabiański,3262.0,Goalkeeper,53,Swansea City,26,"['b2014815-f6a6-4ce7-a75b-0691097a6048', 'e0330662-472d-44f6-b93a-afe6633502e8']",22,,,,,,,,,,,,,,,,Swansea City,26,00:21:22.964,Pass,
,,,,,,,,,,,,,,,,1.916044,,,,,,,,,,,,,e0330662-472d-44f6-b93a-afe6633502e8,654,,,"[43.7, 61.1]",3754151,21,,,,,0.33806613,,Head,,,,"[56.5, 65.6]",,High Pass,,13.567977,,Incomplete,,Nathan Redmond,3286.0,,,,,Recovery,1,Regular Play,Gary O''Neil,9452.0,Right Defensive Midfield,53,Swansea City,26,"['4d26c78a-6f3a-4d90-aa07-1ad2cf4a7433', '70f7a68b-bf76-4238-8581-8e810e408e62', 'aadd596c-5d12-41d5-ac28-0ba4f0ab8577']",26,,,,,,,,,,,,,,,,Norwich City,56,00:21:26.603,Pass,
,,,,,,,,,,,,,,,,1.040143,,,,,,,,,,,,,4d26c78a-6f3a-4d90-aa07-1ad2cf4a7433,657,,,"[63.6, 14.5]",3754151,21,,,,True,0.5585993,,,,,,"[73.2, 20.5]",,Low Pass,,11.320777,,Incomplete,,Wayne Routledge,3449.0,,,,,Recovery,1,Regular Play,Neil Taylor,9627.0,Left Back,53,Swansea City,26,"['5274836a-6df8-4d64-abb7-6e94d1b8cffc', '77f2f280-13c8-4e24-8b6b-209b8e3aabf1', '9de54e2a-d895-45d8-a325-28e12b94610d', 'e0330662-472d-44f6-b93a-afe6633502e8']",28,,,,,,,,,,,,,,,,Swansea City,26,00:21:28.519,Pass,True
,,,,,,,,,,,,,,,,1.583076,,,,,,,,,,,,,61e71879-b3f5-4ad0-a517-d10a4d0abd07,660,,,"[61.4, 10.9]",3754151,21,,,,,3.0532813,,Right Foot,,,,"[42.2, 12.6]",,Ground Pass,,19.275114,,,,Ashley Williams,3644.0,,,,,Recovery,1,Regular Play,Neil Taylor,9627.0,Left Back,53,Swansea City,26,['7ecbebd7-2675-457c-997a-080a9894eb6d'],31,,,,,,,,,,,,,,,,Swansea City,26,00:21:31.734,Pass,
,,,,,,,,,,,,,,,,0.965472,,,,,,,,,,,,,f1f9aaef-42f3-40d5-885f-67bd5ff47216,662,,,"[42.8, 13.6]",3754151,21,,,,,0.45706877,,Right Foot,,,,"[55.0, 19.6]",,Ground Pass,,13.595588,,Incomplete,,Leon Britton,4631.0,,,,,,1,Regular Play,Ashley Williams,3644.0,Left Center Back,53,Swansea City,26,"['3f1220b3-66eb-477b-9ba9-dba41ca11d4e', 'b3bb8725-0eb9-4513-b37d-19794856394b']",33,,,,,,,,,,,,,,,,Swansea City,26,00:21:33.317,Pass,
,,,,,,,,,,,,,,,,1.097152,,,,,,,,,,,,,ad5e3179-8fe0-418c-9402-99b169c6de1d,669,,,"[76.0, 55.8]",3754151,21,,True,,,0.63790566,,Right Foot,,,,"[96.1, 70.7]",,Ground Pass,,25.020391,,,,Nathan Redmond,3286.0,,,,,Free Kick,1,From Free Kick,Wes Hoolahan,10966.0,Center Attacking Midfield,54,Norwich City,56,['3497532f-8d65-44c3-9fa7-f92948f44bba'],41,,,,,,,,,,,,,,,,Norwich City,56,00:21:41.537,Pass,
,,,,,,,,,,,,,,,,0.139063,,,,,,,,,,,,,6347d6ac-553e-490d-a306-7334aa437b53,671,,,"[98.9, 69.0]",3754151,21,,,,,-1.1150225,,Right Foot,,,,"[101.4, 63.9]",,Ground Pass,,5.6797886,,Incomplete,,Cameron Jerome,4807.0,,,,,,1,From Free Kick,Nathan Redmond,3286.0,Right Wing,54,Norwich City,56,"['0b634d7c-f64c-46c9-9645-7e0838047333', '420f04a4-e412-4a39-8c88-91f076fdaa25']",44,,,,,,,,,,,,,,,,Norwich City,56,00:21:44.326,Pass,
,,,,,,,,,,,,,,,,0.992807,,,,,,,,,,,,,c726747e-ebb1-4391-9e7d-fee82a28b22a,676,,,"[18.2, 29.3]",3754151,21,,,,,-1.6500691,,Right Foot,,,,"[16.5, 7.9]",,Ground Pass,,21.467417,,,,Neil Taylor,9627.0,,,,,,1,Regular Play,Ashley Williams,3644.0,Left Center Back,55,Swansea City,26,['652c4e04-b037-46bf-9af0-3ff99fae1983'],47,,,,,,,,,,,,,,,,Swansea City,26,00:21:47.488,Pass,
,,,,,,,,,,,,,,,,1.899957,,,,,,,,,,,,,fdb27edd-b468-430b-a172-45959a39b77a,680,,,"[15.2, 5.5]",3754151,21,,,,,0.10130042,,Left Foot,,,,"[51.6, 9.2]",,High Pass,,36.587566,,,,Alberto Paloschi,6950.0,,,,,,1,Regular Play,Neil Taylor,9627.0,Left Back,55,Swansea City,26,['c9b163c4-5288-49f3-82f2-c195838bd21c'],49,,,,,,,,,,,,,,,,Swansea City,26,00:21:49.276,Pass,
,,,,,,,,,,,,,,,,1.09453,,,,,,,,,,,,,3a675e1f-54a4-4218-bcaa-d481eb2d6c0e,684,,,"[57.6, 0.1]",3754151,22,,,,,1.04911,,,,,,"[64.9, 12.8]",,Low Pass,,14.648549,,,,Alberto Paloschi,6950.0,,,,,Throw-in,1,From Throw In,Neil Taylor,9627.0,Left Back,56,Swansea City,26,['d886e05a-7f94-4370-b0e1-064a4254445b'],5,,,,,,,,,,,,,,,,Swansea City,26,00:22:05.804,Pass,
