50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,09548d24-555b-435d-8c2e-adfde97eef06,1,,,,3754211,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Newcastle United,37,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 3096, 'name': 'Rob Elliot'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 21}, {'player': {'id': 3650, 'name': 'Daryl Janmaat'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 22}, {'player': {'id': 3044, 'name': 'Chancel Mbemba Mangulu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 18}, {'player': {'id': 26207, 'name': 'Fabricio Coloccini'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 2}, {'player': {'id': 3065, 'name': 'Paul Dummett'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 3091, 'name': 'Moussa Sissoko'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 7}, {'player': {'id': 16072, 'name': 'Vurnon Anita'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 42900, 'name': 'Cheik Ismaël Tioté'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 24}, {'player': {'id': 3567, 'name': 'Georginio Wijnaldum'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 5}, {'player': {'id': 3076, 'name': 'Ayoze Pérez Gutiérrez'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 17}, {'player': {'id': 4269, 'name': 'Aleksandar Mitrović'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 45}]}",Newcastle United,37,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,dfc5d5a0-7627-454f-a852-e71737c5e4c0,2,,,,3754211,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Newcastle United,37,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 3815, 'name': 'Kasper Schmeichel'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3270, 'name': 'Danny Simpson'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 17}, {'player': {'id': 3813, 'name': 'Wes Morgan'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 40123, 'name': 'Robert Huth'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 3812, 'name': 'Christian Fuchs'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 28}, {'player': {'id': 3814, 'name': 'Riyad Mahrez'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 26}, {'player': {'id': 3961, 'name': ""N''Golo Kanté""}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 3662, 'name': 'Danny Drinkwater'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 3307, 'name': 'Marc Albrighton'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 11}, {'player': {'id': 3671, 'name': 'José Leonardo Ulloa'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 23}, {'player': {'id': 10960, 'name': 'Jamie Vardy'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Leicester City,22,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,6ae5d409-db86-4604-af8b-a63574ed9d5d,3,,,,3754211,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Newcastle United,37,['0794030b-fac0-41d6-876c-189a9e4af11c'],0,,,,,,,,,,,,,,,,,Newcastle United,37,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0794030b-fac0-41d6-876c-189a9e4af11c,4,,,,3754211,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Newcastle United,37,['6ae5d409-db86-4604-af8b-a63574ed9d5d'],0,,,,,,,,,,,,,,,,,Leicester City,22,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,ef651b5b-10f7-4e0d-95ec-c4ae6af92f26,1686,,,,3754211,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,102,Leicester City,22,['dc11c403-329b-4a9e-8c82-314b9cf3ad98'],0,,,,,,,,,,,,,,,,,Newcastle United,37,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,dc11c403-329b-4a9e-8c82-314b9cf3ad98,1687,,,,3754211,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,102,Leicester City,22,['ef651b5b-10f7-4e0d-95ec-c4ae6af92f26'],0,,,,,,,,,,,,,,,,,Leicester City,22,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.509505,,,,,,,,,,,,1e9b6824-7432-4914-b742-fa474f3b8c6b,5,,,"[61.0, 40.1]",3754211,0,,,,,1.9974238,,Right Foot,,,"[60.5, 41.2]",,Ground Pass,,1.2083046,,,N''Golo Kanté,3961.0,,,,,Kick Off,1,From Kick Off,Jamie Vardy,10960.0,Left Center Forward,2,Leicester City,22,['6a2b7e91-09fc-450c-956c-c566f2635b09'],0,,,,,,,,,,,,,,,,,Leicester City,22,00:00:00.649,Pass,
,,,,,,,,,,,,,,,,1.271006,,,,,,,,,,,,01389bca-e903-4491-b623-e3a98a83376a,7,,,"[60.0, 41.7]",3754211,0,,,,,-2.1112158,,Right Foot,,,"[57.3, 37.2]",,Ground Pass,,5.2478566,,,Danny Drinkwater,3662.0,,,,,,1,From Kick Off,N''Golo Kanté,3961.0,Right Center Midfield,2,Leicester City,22,['aa6619ce-d419-4bf1-9554-08deae25995d'],1,,,,,,,,,,,,,,,,,Leicester City,22,00:00:01.158,Pass,
,,,,,,,,,,,,,,,,1.983482,,,,,,,,,,,,119768ef-50a4-4eb4-99a2-356889fa971a,9,,,"[57.3, 37.2]",3754211,0,,,,,1.9672972,,Right Foot,,,"[43.4, 70.4]",,High Pass,,35.99236,,,Danny Simpson,3270.0,,,,,,1,From Kick Off,Danny Drinkwater,3662.0,Left Center Midfield,2,Leicester City,22,['e7eeb9f2-859b-4a19-bf16-14badd90807b'],2,,,,,,,,,,,,,,,,,Leicester City,22,00:00:02.429,Pass,
,,,,,,,,,,,,,,,,2.183726,,,,,,,,,,,,1cb4475e-711a-4363-9522-d7c621beb710,12,,,"[43.4, 70.4]",3754211,0,,,,,-0.48894474,,Right Foot,,,"[79.3, 51.3]",,High Pass,,40.664726,,,Jamie Vardy,10960.0,,,,,,1,From Kick Off,Danny Simpson,3270.0,Right Back,2,Leicester City,22,['35f84621-5d5d-4662-98a0-be2d040ee10e'],8,,,,,,,,,,,,,,,,,Leicester City,22,00:00:08.513,Pass,
,,,,,,,,,,,,,,,,2.191914,,,,,,,,,,,,3ce672be-d62b-4330-bbad-811572ceca3c,15,,,"[79.6, 51.3]",3754211,0,,,,True,0.54295117,,,,,"[91.2, 58.3]",,High Pass,,13.548431,Incomplete,,José Leonardo Ulloa,3671.0,,,,,,1,From Kick Off,Jamie Vardy,10960.0,Left Center Forward,2,Leicester City,22,"['010d1a82-f117-4fa2-818c-bd346fe65a73', '2b54eaf2-8040-4ec2-a191-672c3cafc59d', 'c507edef-bd34-4c2b-80fc-59f036ccae0c']",10,,,,,,,,,,,,,,,,,Leicester City,22,00:00:10.697,Pass,True
,,,,,,,,,,,,,,,,0.781126,,,,,,,,,,,,e252e8a6-fee5-4f17-ad4b-f7b949391ff8,20,,,"[33.7, 19.0]",3754211,0,,,,,0.15264933,,Left Foot,,,"[51.9, 21.8]",,Ground Pass,,18.414125,,,Georginio Wijnaldum,3567.0,,,,,,1,From Kick Off,Paul Dummett,3065.0,Left Back,2,Leicester City,22,"['4bc51643-3496-4c8d-8ff6-4b5e586b749d', '541c70e9-ad7d-47fb-9dde-45559a7ae469']",13,,,,,,,,,,,,,,,,,Newcastle United,37,00:00:13.919,Pass,True
,,,,,,,,,,,,,,,,0.819208,,,,,,,,,,,,a714b8ca-4ad6-4726-9d4c-5205f47f8e36,23,,,"[63.6, 21.5]",3754211,0,,,,,-2.747724,,Right Foot,,,"[55.9, 18.3]",,High Pass,,8.338465,Incomplete,,Georginio Wijnaldum,3567.0,,,,,Recovery,1,From Kick Off,Aleksandar Mitrović,4269.0,Left Center Forward,2,Leicester City,22,"['907e7c74-99dd-4e9f-8719-dfd32bb6b742', 'e1a45f79-1953-4b24-96f8-6da7c0cdec54']",15,,,,,,,,,,,,,,,,,Newcastle United,37,00:00:15.780,Pass,
