ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,06a70c37-9faa-45c5-96a0-40d8d036421d,1,,,,3754076,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sunderland,41,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 6871, 'name': 'Costel Fane Pantilimon'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3658, 'name': 'DeAndre Yedlin'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 24}, {'player': {'id': 6300, 'name': 'Sebastián Coates Nión'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 22}, {'player': {'id': 16890, 'name': ""John O''Shea""}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 16}, {'player': {'id': 10503, 'name': 'Billy Jones'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 2}, {'player': {'id': 4429, 'name': ""Yann Gérard M''Vila""}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 10783, 'name': 'Lee Cattermole'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 16457, 'name': 'Jeremain Lens'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 17}, {'player': {'id': 4417, 'name': 'Ola Toivonen'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 20}, {'player': {'id': 7171, 'name': 'Fabio Borini'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 9}, {'player': {'id': 9554, 'name': 'Steven Fletcher'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 26}]}",Sunderland,41,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0e6e837f-0b60-4aa5-9aa5-29b4159e0f98,2,,,,3754076,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sunderland,41,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3623, 'name': 'Adrián San Miguel del Castillo'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 21254, 'name': 'Carl Jenkinson'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 12}, {'player': {'id': 3316, 'name': 'James Tomkins'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 4280, 'name': 'Winston Reid'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 2}, {'player': {'id': 3062, 'name': 'Aaron Cresswell'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 3684, 'name': 'Cheikhou Kouyaté'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 3874, 'name': 'Mark Noble'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 3595, 'name': 'Manuel Lanzini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 28}, {'player': {'id': 3491, 'name': 'Dimitri Payet'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 27}, {'player': {'id': 3963, 'name': 'Victor Moses'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 20}, {'player': {'id': 3962, 'name': 'Diafra Sakho'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 15}]}",West Ham United,40,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,857d5100-6058-464f-948f-283eaa065fbf,3,,,,3754076,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sunderland,41,['c402fae7-9c50-4316-81ca-46c4312c26b1'],0,,,,,,,,,,,,,,,,,,Sunderland,41,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,c402fae7-9c50-4316-81ca-46c4312c26b1,4,,,,3754076,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sunderland,41,['857d5100-6058-464f-948f-283eaa065fbf'],0,,,,,,,,,,,,,,,,,,West Ham United,40,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,58af50bf-e83f-4511-9f6b-90dbac52deea,1742,,,,3754076,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,99,West Ham United,40,['4e86132c-ef80-4e9d-a570-a0f94ce93944'],0,,,,,,,,,,,,,,,,,,Sunderland,41,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,4e86132c-ef80-4e9d-a570-a0f94ce93944,1743,,,,3754076,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,99,West Ham United,40,['58af50bf-e83f-4511-9f6b-90dbac52deea'],0,,,,,,,,,,,,,,,,,,West Ham United,40,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.543893,,,,,,,,,,,,884de395-429a-4722-aa3f-952dfef90ccb,5,,,"[61.0, 40.1]",3754076,0,,,,,-2.2142975,,Right Foot,,,,"[59.2, 37.7]",,Ground Pass,,3.0,,,Dimitri Payet,3491.0,,,,,,Kick Off,1,From Kick Off,Diafra Sakho,3962.0,Center Forward,2,West Ham United,40,['cf9cfd92-b8a1-4140-af94-6b32034ac484'],0,,,,,,,,,,,,,,,,,,West Ham United,40,00:00:00.278,Pass,
,,,,,,,,,,,,,,,,1.070516,,,,,,,,,,,,ae33f961-3c2a-49e1-86b1-2f0f5d8bd61f,8,,,"[57.2, 37.7]",3754076,0,,,,,2.5280366,,Right Foot,,,,"[35.9, 52.7]",,Ground Pass,,26.05168,,,James Tomkins,3316.0,,,,,,,1,From Kick Off,Dimitri Payet,3491.0,Center Attacking Midfield,2,West Ham United,40,['e306cc50-56ca-4ca3-88a0-76f023e7f9dd'],1,,,,,,,,,,,,,,,,,,West Ham United,40,00:00:01.493,Pass,
,,,,,,,,,,,,,,,,2.715694,,,,,,,,,,,,c758b8eb-0c2f-44d1-b5b2-56e21376e063,11,,,"[43.9, 49.8]",3754076,0,,,,,-0.53761667,,Right Foot,,,,"[91.2, 21.6]",,High Pass,,55.068413,Incomplete,,Victor Moses,3963.0,,,,,,,1,From Kick Off,James Tomkins,3316.0,Right Center Back,2,West Ham United,40,"['16f2b87b-7e45-4817-9efa-b77fbb192fd8', '41b28709-c671-4787-891a-7d3a7279b948']",4,,,,,,,,,,,,,,,,,,West Ham United,40,00:00:04.372,Pass,
,,,,,,,,,,,,,,,,1.285783,,,,,,,,,,,,16f2b87b-7e45-4817-9efa-b77fbb192fd8,13,,,"[28.9, 58.5]",3754076,0,,,,,-0.098045275,,Head,,,,"[41.1, 57.3]",,High Pass,,12.258874,,,Jeremain Lens,16457.0,,,,,,Recovery,1,Regular Play,DeAndre Yedlin,3658.0,Right Back,3,Sunderland,41,"['9e9e659c-cc32-4013-bfb7-1ea1b22a2b56', 'c758b8eb-0c2f-44d1-b5b2-56e21376e063']",7,,,,,,,,,,,,,,,,,,Sunderland,41,00:00:07.087,Pass,
