ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,4c6c88e9-4e3f-4e8b-9571-b97e01116933,1,,,3754283,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Everton,29,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 13042, 'name': 'Tim Howard'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 24}, {'player': {'id': 4589, 'name': 'Séamus Coleman'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 23}, {'player': {'id': 3244, 'name': 'John Stones'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 4629, 'name': 'José Ramiro Funes Mori'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 25}, {'player': {'id': 30702, 'name': 'Brendan Joel Zibusiso Galloway'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 32}, {'player': {'id': 3607, 'name': 'James McCarthy'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 3633, 'name': 'Gareth Barry'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 3726, 'name': 'Gerard Deulofeu Lázaro'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 19}, {'player': {'id': 4275, 'name': 'Ross Barkley'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 20}, {'player': {'id': 26696, 'name': 'Arouna Koné'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 9}, {'player': {'id': 3289, 'name': 'Romelu Lukaku Menama'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Everton,29,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,9bd9b3c4-01ff-448b-9bed-f3a09559f566,2,,,3754283,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Everton,29,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 12608, 'name': 'Bradley Guzan'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 9642, 'name': 'Alan Hutton'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 21}, {'player': {'id': 42700, 'name': 'Micah Richards'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 3041, 'name': 'Ciaran Clark'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 42701, 'name': 'Kieran Richardson'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 3583, 'name': 'Ashley Westwood'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 7153, 'name': 'Jordan Veretout'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 17}, {'player': {'id': 3436, 'name': 'Idrissa Gana Gueye'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 6800, 'name': 'Carles Gil de Pareja Vicent'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 25}, {'player': {'id': 9638, 'name': 'Jack Grealish'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 40}, {'player': {'id': 3450, 'name': 'Jordan Ayew'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 19}]}",Aston Villa,59,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,73206e4a-1c86-46c8-8abf-a67c5f5a9a3c,3,,,3754283,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Everton,29,['e96ad248-effb-4b17-821d-d85bbb1b20b0'],0,,,,,,,,,,,,,,,,,,Aston Villa,59,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,e96ad248-effb-4b17-821d-d85bbb1b20b0,4,,,3754283,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Everton,29,['73206e4a-1c86-46c8-8abf-a67c5f5a9a3c'],0,,,,,,,,,,,,,,,,,,Everton,29,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,2864df48-d012-400d-8983-3c6a5db16ddb,1838,,,3754283,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,86,Everton,29,['a7129049-7aa7-49f8-9399-f0df7cd08940'],0,,,,,,,,,,,,,,,,,,Aston Villa,59,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,a7129049-7aa7-49f8-9399-f0df7cd08940,1839,,,3754283,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,86,Everton,29,['2864df48-d012-400d-8983-3c6a5db16ddb'],0,,,,,,,,,,,,,,,,,,Everton,29,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.612,,,,,,,,,,,,c83441a4-0888-4ced-ac5c-9331ea79d72f,5,,"[61.0, 40.1]",3754283,0,,,,,-1.6506263,,Left Foot,,,"[60.8, 37.6]",,Ground Pass,,2.5079873,,,,Ross Barkley,4275.0,,,,,Kick Off,1,From Kick Off,Romelu Lukaku Menama,3289.0,Center Forward,2,Everton,29,['d87b0a18-d0a4-496e-a92e-4c0c6ab67f02'],0,,,,,,,,,,,,,,,,,,Everton,29,00:00:00.707,Pass,
,,,,,,,,,,,,,,,,1.659298,,,,,,,,,,,,32cffbbd-d2fa-4cb7-a7ef-01b7269a328b,8,,"[59.7, 50.3]",3754283,0,,,,,1.5707964,,Right Foot,,,"[59.7, 77.8]",,Ground Pass,,27.5,,,,Gerard Deulofeu Lázaro,3726.0,,,,,,1,From Kick Off,Ross Barkley,4275.0,Center Attacking Midfield,2,Everton,29,['11644509-6b81-4d5a-9e8b-e0d38f7ecada'],3,,,,,,,,,,,,,,,,,,Everton,29,00:00:03.402,Pass,
,,,,,,,,,,,,,,,,2.813098,,,,,,,,,,,,1b2ec6d6-af4a-443e-9056-f8118ceb9cae,11,,"[60.0, 78.3]",3754283,0,,,,,-2.6656506,,Right Foot,,,"[40.6, 68.3]",,Ground Pass,,21.825672,,,,Séamus Coleman,4589.0,,,,,,1,From Kick Off,Gerard Deulofeu Lázaro,3726.0,Right Wing,2,Everton,29,['2356a825-bba6-4fc4-8d08-914fcae044ce'],5,,,,,,,,,,,,,,,,,,Everton,29,00:00:05.171,Pass,
,,,,,,,,,,,,,,,,1.305399,,,,,,,,,,,,e8f944e3-2ce4-4a20-866a-43bf22935419,14,,"[35.5, 62.4]",3754283,0,,,,,-1.1894573,,Right Foot,,,"[43.8, 41.7]",,Ground Pass,,22.302017,,,,Gareth Barry,3633.0,,,,,,1,From Kick Off,Séamus Coleman,4589.0,Right Back,2,Everton,29,['1532fa19-1f9f-4ccc-9d26-a3f3e8a92ced'],9,,,,,,,,,,,,,,,,,,Everton,29,00:00:09.659,Pass,
