bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,323f9651-632b-4574-9a15-313f40a9784c,1,,,3754209,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Tottenham Hotspur,38,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3099, 'name': 'Hugo Lloris'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3205, 'name': 'Kyle Walker'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 20005, 'name': 'Toby Alderweireld'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 3077, 'name': 'Jan Vertonghen'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 3594, 'name': 'Danny Rose'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 10956, 'name': 'Eric Dier'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 3037, 'name': 'Mousa Sidi Yaya Dembélé'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 19}, {'player': {'id': 3585, 'name': 'Erik Lamela'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 3094, 'name': 'Bamidele Alli'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 20}, {'player': {'id': 3043, 'name': 'Christian Dannemann Eriksen'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 23}, {'player': {'id': 10955, 'name': 'Harry Kane'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Tottenham Hotspur,38,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0ee13261-6e4f-41a7-ab19-9e3456cb8d31,2,,,3754209,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Tottenham Hotspur,38,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3333, 'name': 'David de Gea Quintana'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3465, 'name': 'Timothy Evans Fosu-Mensah'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 51}, {'player': {'id': 10958, 'name': 'Chris Smalling'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 12}, {'player': {'id': 3311, 'name': 'Daley Blind'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 17}, {'player': {'id': 3602, 'name': 'Faustino Marcos Alberto Rojo'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 5}, {'player': {'id': 3600, 'name': 'Morgan Schneiderlin'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 28}, {'player': {'id': 4751, 'name': 'Michael Carrick'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 3294, 'name': 'Juan Manuel Mata García'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 8}, {'player': {'id': 3293, 'name': 'Jesse Lingard'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 35}, {'player': {'id': 20039, 'name': 'Anthony Martial'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 9}, {'player': {'id': 3318, 'name': 'Marcus Rashford'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 39}]}",Manchester United,39,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,e764d41d-d869-436a-a1a7-9575b8d3a765,3,,,3754209,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Tottenham Hotspur,38,['a25d9a8f-84ee-4621-a7d6-c49f0635c258'],0,,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,a25d9a8f-84ee-4621-a7d6-c49f0635c258,4,,,3754209,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Tottenham Hotspur,38,['e764d41d-d869-436a-a1a7-9575b8d3a765'],0,,,,,,,,,,,,,,,,,,Manchester United,39,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,5ac9e22f-ad34-4fe4-b39d-d98d25357337,1695,,,3754209,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,99,Manchester United,39,['cd7bf8f4-35b5-4073-b737-4b7a8d49d45b'],0,,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,cd7bf8f4-35b5-4073-b737-4b7a8d49d45b,1696,,,3754209,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,99,Manchester United,39,['5ac9e22f-ad34-4fe4-b39d-d98d25357337'],0,,,,,,,,,,,,,,,,,,Manchester United,39,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.443831,,,,,,,,,,,,,1301117c-5e90-471c-8b46-f0786b2e9ee8,5,,"[60.0, 40.0]",3754209,0,,,,1.7475052,,Right Foot,,,"[59.5, 42.8]",,Ground Pass,,2.8442926,,,,Jesse Lingard,3293.0,,,,,,Kick Off,1,From Kick Off,Marcus Rashford,3318.0,Center Forward,2,Manchester United,39,['0555275a-611d-4e89-b43f-25257e7048c3'],0,,,,,,,,,,,,,,,,,,Manchester United,39,00:00:00.183,Pass,
,,,,,,,,,,,,,,,,,1.228054,,,,,,,,,,,,,557ed70d-a418-4269-b7d1-123bcf879379,8,,"[56.4, 42.2]",3754209,0,,,,3.0674927,,Right Foot,,,"[33.5, 43.9]",,Ground Pass,,22.963015,,,,Chris Smalling,10958.0,,,,,,,1,From Kick Off,Jesse Lingard,3293.0,Center Attacking Midfield,2,Manchester United,39,['5ceeb8f5-fd78-4c43-8d8c-6c5cdb8d843f'],1,,,,,,,,,,,,,,,,,,Manchester United,39,00:00:01.263,Pass,
,,,,,,,,,,,,,,,,,2.706837,,,,,,,,,,,,,b5d0fe2e-e63e-4e69-b813-029695d3ebb0,11,,"[34.3, 43.9]",3754209,0,,,,-0.8994055,,Right Foot,,,"[69.1, 0.1]",,High Pass,,55.941757,,Out,,,,,,True,,,,1,From Kick Off,Chris Smalling,10958.0,Right Center Back,2,Manchester United,39,,3,,,,,,,,,,,,,,,,,,Manchester United,39,00:00:03.693,Pass,
,,,,,,,,,,,,,,,,,1.753135,,,,,,,,,,,,,cb286234-c104-4922-b590-1eedaecca83d,12,,"[51.4, 80.0]",3754209,0,True,,,-0.5449398,,,,,"[80.6, 62.3]",,High Pass,,34.145718,,,,Harry Kane,10955.0,,,,,,Throw-in,1,From Throw In,Kyle Walker,3205.0,Right Back,3,Tottenham Hotspur,38,['56b9c4a5-3d88-4adf-89b7-958fc7af7bfc'],11,,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:00:11.179,Pass,
