bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c409199c-cd05-4d2f-b983-2e540e601c63,1,,,,3754250,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Aston Villa,59,,0,,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 18672, 'name': 'Mark Bunn'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 31}, {'player': {'id': 9533, 'name': 'Leandro Bacuna'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 7}, {'player': {'id': 24380, 'name': 'Tetchi Jores Charlemagne Ulrich Okore'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 20285, 'name': 'Joleon Lescott'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 16}, {'player': {'id': 27146, 'name': 'Aly Cissokho'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 43}, {'player': {'id': 3436, 'name': 'Idrissa Gana Gueye'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 7153, 'name': 'Jordan Veretout'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 17}, {'player': {'id': 3583, 'name': 'Ashley Westwood'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 15}, {'player': {'id': 6800, 'name': 'Carles Gil de Pareja Vicent'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 25}, {'player': {'id': 3450, 'name': 'Jordan Ayew'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 19}, {'player': {'id': 28247, 'name': 'Libor Kozák'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 27}]}",Aston Villa,59,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,409a5a24-ae65-4c2b-bb3c-cd7609ad89c0,2,,,,3754250,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Aston Villa,59,,0,,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 3815, 'name': 'Kasper Schmeichel'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3270, 'name': 'Danny Simpson'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 17}, {'player': {'id': 3813, 'name': 'Wes Morgan'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 40123, 'name': 'Robert Huth'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 3812, 'name': 'Christian Fuchs'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 28}, {'player': {'id': 3662, 'name': 'Danny Drinkwater'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 3961, 'name': ""N''Golo Kanté""}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 3814, 'name': 'Riyad Mahrez'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 26}, {'player': {'id': 3307, 'name': 'Marc Albrighton'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 11}, {'player': {'id': 3810, 'name': 'Shinji Okazaki'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 20}, {'player': {'id': 10960, 'name': 'Jamie Vardy'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Leicester City,22,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,79077003-01ec-474f-84b2-ab88d7431f16,3,,,,3754250,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Aston Villa,59,['455fdebc-d001-4dae-b404-d36e8d5aada2'],0,,,,,,,,,,,,,,,,,,,Leicester City,22,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,455fdebc-d001-4dae-b404-d36e8d5aada2,4,,,,3754250,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Aston Villa,59,['79077003-01ec-474f-84b2-ab88d7431f16'],0,,,,,,,,,,,,,,,,,,,Aston Villa,59,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,48acb886-fc15-4ea0-bebd-3d65ef9d5194,1590,,,,3754250,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,96,Leicester City,22,['e45c879f-e19e-4196-8d54-05ef5587e194'],0,,,,,,,,,,,,,,,,,,,Leicester City,22,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,e45c879f-e19e-4196-8d54-05ef5587e194,1591,,,,3754250,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,96,Leicester City,22,['48acb886-fc15-4ea0-bebd-3d65ef9d5194'],0,,,,,,,,,,,,,,,,,,,Aston Villa,59,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.438552,,,,,,,,,,,,,b78efdd0-d55f-4c78-9d60-aaa238ea9dfd,5,,,"[60.0, 40.0]",3754250,0,,,,,-2.0222495,,Left Foot,,,,"[58.4, 36.7]",Ground Pass,,3.6674242,,,Jordan Ayew,3450.0,,,,,Kick Off,1,From Kick Off,Carles Gil de Pareja Vicent,6800.0,Right Wing,2,Aston Villa,59,['53a4dd7e-6987-4bb5-ad99-b9832c73733c'],1,,,,,,,,,,,,,,,,,,,Aston Villa,59,00:00:01.038,Pass,
,,,,,,,,,,,,,,,,,0.532918,,,,,,,,,,,,,b20cd384-93b7-4b27-8cd9-e62a330980c3,8,,,"[56.9, 35.2]",3754250,0,,,,,-1.584309,,Right Foot,,,,"[56.8, 27.8]",Ground Pass,,7.400676,,,Ashley Westwood,3583.0,,,,,,1,From Kick Off,Jordan Ayew,3450.0,Left Wing,2,Aston Villa,59,['0bb6e126-faf3-4054-aed6-5fdea1f1bc43'],2,,,,,,,,,,,,,,,,,,,Aston Villa,59,00:00:02.755,Pass,
,,,,,,,,,,,,,,,,,2.185819,,,,,,,,,,,,,a7cf36a9-317c-4275-b3b4-22b5dc58980b,14,,,"[60.4, 29.7]",3754250,0,,,,,0.8727088,,Right Foot,,,,"[77.6, 50.2]",Ground Pass,,26.759857,Incomplete,,Carles Gil de Pareja Vicent,6800.0,,,,,,1,From Kick Off,Ashley Westwood,3583.0,Left Center Midfield,2,Aston Villa,59,"['0be0570d-6e71-40f0-b2e9-3c57ddba76f2', 'ec539e66-e99f-4f0d-908e-d275b642dfc1']",4,,,,,,,,,,,,,,,,,,,Aston Villa,59,00:00:04.717,Pass,
,,,,,,,,,,,,,,,,,0.346203,,,,,,,,,,,,,ec539e66-e99f-4f0d-908e-d275b642dfc1,16,,,"[42.5, 29.9]",3754250,0,,,,,0.8550527,,Left Foot,,,,"[46.5, 34.5]",Ground Pass,,6.0959,Incomplete,,,,,,,,Recovery,1,From Kick Off,Christian Fuchs,3812.0,Left Back,2,Aston Villa,59,"['6845adcb-8dcc-4159-a8ba-0a835e893ced', 'a7cf36a9-317c-4275-b3b4-22b5dc58980b']",6,,,,,,,,,,,,,,,,,,,Leicester City,22,00:00:06.903,Pass,
