bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,71f81e1f-48be-45df-9b13-2f5ca36b5c45,1,,,3754326,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Crystal Palace,31,,0,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3488, 'name': 'Wayne Hennessey'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 3443, 'name': 'Joel Ward'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 3407, 'name': 'Scott Dann'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 43695, 'name': 'Brede Hangeland'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 4884, 'name': ""Pape N''Diaye Souaré""}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 23}, {'player': {'id': 5489, 'name': 'Mile Jedinak'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 3464, 'name': 'James McArthur'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 3507, 'name': 'Wilfried Zaha'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 3277, 'name': 'Yohan Cabaye'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 7}, {'player': {'id': 19688, 'name': 'Jason Puncheon'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 42}, {'player': {'id': 50245, 'name': 'Marouane Chamakh'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 29}]}",Crystal Palace,31,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,4f6e6414-fd4a-43ce-b466-1e384e77bd3d,2,,,3754326,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Crystal Palace,31,,0,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 3262, 'name': 'Łukasz Fabiański'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3340, 'name': 'Kyle Naughton'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 26}, {'player': {'id': 6652, 'name': 'Jordi Amat Maas'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 3644, 'name': 'Ashley Williams'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 9627, 'name': 'Neil Taylor'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 3462, 'name': 'Jack Frank Porteous Cork'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 24}, {'player': {'id': 3057, 'name': 'Jonjo Shelvey'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 4097, 'name': 'Matt Grimes'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 21}, {'player': {'id': 43591, 'name': 'Marvin Emnes'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 9536, 'name': 'Modou Barrow'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 58}, {'player': {'id': 20521, 'name': 'Bafétimbi Gomis'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 18}]}",Swansea City,26,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,55c5105b-86ba-41d3-a85e-ee45b4736d03,3,,,3754326,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Crystal Palace,31,['c862ade2-64a9-4a7d-a102-21d5d5ca3976'],0,,,,,,,,,,,,,,,,Crystal Palace,31,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,c862ade2-64a9-4a7d-a102-21d5d5ca3976,4,,,3754326,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Crystal Palace,31,['55c5105b-86ba-41d3-a85e-ee45b4736d03'],0,,,,,,,,,,,,,,,,Swansea City,26,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,723db8e6-d1c3-417d-bf40-304295471e44,1682,,,3754326,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,101,Swansea City,26,['87a9c4b4-7fe4-4002-931c-63c0d006602a'],0,,,,,,,,,,,,,,,,Swansea City,26,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,87a9c4b4-7fe4-4002-931c-63c0d006602a,1683,,,3754326,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,101,Swansea City,26,['723db8e6-d1c3-417d-bf40-304295471e44'],0,,,,,,,,,,,,,,,,Crystal Palace,31,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.421304,,,,,,,,,,,,af78d3e1-aca5-4f33-b91e-7628a21dbfd2,5,,"[61.0, 40.1]",3754326,0,,,,-2.3561945,,Right Foot,,,,"[59.1, 38.2]",Ground Pass,,2.6870058,,,,Modou Barrow,9536.0,,,,,,Kick Off,1,From Kick Off,Bafétimbi Gomis,20521.0,Center Forward,2,Swansea City,26,['ecabe2d9-968a-4c25-8322-6ee6090554e0'],0,,,,,,,,,,,,,,,,Swansea City,26,00:00:00.390,Pass,
,,,,,,,,,,,,,,,,,,0.893441,,,,,,,,,,,,975bbe2b-e8b9-4c33-bb05-5b9833664963,8,,"[58.0, 38.5]",3754326,0,,,,2.840367,,Left Foot,,,,"[47.7, 41.7]",Ground Pass,,10.785639,,,,Jack Frank Porteous Cork,3462.0,,,,,,,1,From Kick Off,Modou Barrow,9536.0,Left Wing,2,Swansea City,26,['7bbef589-a339-41df-9196-7140bdb11faa'],1,,,,,,,,,,,,,,,,Swansea City,26,00:00:01.020,Pass,
,,,,,,,,,,,,,,,,,,1.106723,,,,,,,,,,,,834ae083-b0e6-41fb-88fd-af7b9acb661b,11,,"[46.9, 41.0]",3754326,0,,,,-2.770333,,Right Foot,,,,"[33.8, 35.9]",Ground Pass,,14.057738,,,,Ashley Williams,3644.0,,,,,,,1,From Kick Off,Jack Frank Porteous Cork,3462.0,Center Defensive Midfield,2,Swansea City,26,['e91d8721-5d90-4989-b18f-0eb1d9db0516'],2,,,,,,,,,,,,,,,,Swansea City,26,00:00:02.746,Pass,
,,,,,,,,,,,,,,,,,,1.031902,,,,,,,,,,,,19cd95d6-77f4-44f3-89ff-bb68b147ef04,14,,"[32.6, 41.7]",3754326,0,,,,1.9655875,,Right Foot,,,,"[26.1, 57.3]",Ground Pass,,16.9,,,,Jordi Amat Maas,6652.0,,,,,,,1,From Kick Off,Ashley Williams,3644.0,Left Center Back,2,Swansea City,26,['b7c54758-fce6-43f1-a360-074ab380c930'],5,,,,,,,,,,,,,,,,Swansea City,26,00:00:05.729,Pass,
