ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,"[75.9, 32.4]",,,,,,,,,,,,1.199806,,,,,,,,,,,,,,4a833fc6-8b53-4f42-960c-08cd84079a25,2833,,,"[76.7, 35.9]",3754307,72,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Wilfried Guemiand Bony,3598.0,Left Center Forward,135,Manchester City,36,"['80888a48-99b7-4485-a584-2baa117c8f75', 'da3ce87b-fa19-4816-a85e-0ae90d08bd13']",31,,,,,,,,,,,,,,,,Manchester City,36,00:27:31.868,Carry,
,,,"[78.1, 11.5]",,,,,,,,,,,,0.362268,,,,,,,,,,,,,,feb1125c-719d-4fed-9341-d352e21e98fd,2836,,,"[78.1, 11.5]",3754307,72,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Fabian Delph,4597.0,Left Midfield,135,Manchester City,36,"['3231f88e-b536-4131-863c-4daceae74d2b', 'd3270b84-33e2-4cd4-b41a-0dd9982b5d2d']",34,,,,,,,,,,,,,,,,Manchester City,36,00:27:34.435,Carry,
,,,"[108.5, 15.0]",,,,,,,,,,,,0.037716,,,,,,,,,,,,,,5a1e3e2a-f602-4a96-8607-a98aedf4e60d,2840,,,"[107.9, 14.9]",3754307,72,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Aleksandar Kolarov,5596.0,Left Back,135,Manchester City,36,"['744cbf3b-1f85-4b4e-9393-6d7598ea79ad', '879a9e0b-e673-448d-8777-f87e0306d21f']",37,,,,,,,,,,,,,,,,Manchester City,36,00:27:37.481,Carry,
,,,"[72.7, 5.6]",,,,,,,,,,,,2.499121,,,,,,,,,,,,,,c232ae02-bf88-4237-a8c1-ba1e82b99e14,2848,,,"[82.8, 4.2]",3754307,73,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,Fabian Delph,4597.0,Left Midfield,136,Manchester City,36,"['817a23d1-d54c-4b26-bf7f-59dd63138413', 'c0b648c1-7b39-490b-b400-000640066423']",23,,,,,,,,,,,,,,,,Manchester City,36,00:28:23.426,Carry,
,,,"[69.0, 17.4]",,,,,,,,,,,,0.102098,,,,,,,,,,,,,,fae2c9dc-840c-4549-8f0c-357870aa83aa,2851,,,"[69.0, 17.1]",3754307,73,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,Martín Gastón Demichelis,19288.0,Right Defensive Midfield,136,Manchester City,36,"['14864f67-6f3b-442c-abb7-7be82ca04465', 'df378b7b-ce02-4743-91b2-ede557374af0']",27,,,,,,,,,,,,,,,,Manchester City,36,00:28:27.094,Carry,
,,,"[60.8, 8.6]",,,,,,,,,,,,1.103104,,,,,,,,,,,,,,bd08ad4d-b9a7-4757-99a8-757d5241a3b9,2854,,,"[63.8, 4.6]",3754307,73,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,Fabian Delph,4597.0,Left Midfield,136,Manchester City,36,"['3035375a-0848-46ec-a7c5-b6d200f0ba81', 'f3917ee1-e84a-4c5d-a8a3-4a6102e6b651']",28,,,,,,,,,,,,,,,,Manchester City,36,00:28:28.225,Carry,
,,,"[33.3, 23.3]",,,,,,,,,,,,0.048701,,,,,,,,,,,,,,523365d8-731b-4706-a59c-df893bc4ad23,2857,,,"[33.3, 23.1]",3754307,73,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,Eliaquim Mangala,3389.0,Left Center Back,136,Manchester City,36,"['0ea2b2cf-3712-41c6-8a70-7fba8917d6b2', '8f67aa60-8e36-4bbc-ad2e-c8d3cfd81993']",31,,,,,,,,,,,,,,,,Manchester City,36,00:28:31.811,Carry,
,,,"[16.6, 47.8]",,,,,,,,,,,,1.980212,,,,,,,,,,,,,,439992c5-8e0d-4466-96c5-15513a18a469,2860,,,"[10.3, 46.8]",3754307,73,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,Joe Hart,3291.0,Goalkeeper,136,Manchester City,36,"['781f10b1-8323-4a0f-9ea5-ef46ab1c2238', 'c51ba517-727d-46fa-89bb-c190462f6a3b']",34,,,,,,,,,,,,,,,,Manchester City,36,00:28:34.989,Carry,
,,,"[30.0, 41.4]",,,,,,,,,,,,5.070382,,,,,,,,,,,,,,04e46053-359f-4950-90f4-d85ebb826629,2863,,,"[18.8, 40.5]",3754307,73,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,Eliaquim Mangala,3389.0,Left Center Back,136,Manchester City,36,"['26721c32-a702-445a-858b-98764083b033', 'dacebeb4-70d7-4ab7-a03a-ea1f0af840b8']",38,,,,,,,,,,,,,,,,Manchester City,36,00:28:38.352,Carry,
,,,"[54.0, 27.9]",,,,,,,,,,,,1.377217,,,,,,,,,,,,,,03ec7428-be54-4b6b-ab89-8c5f0c08cdea,2866,,,"[46.6, 27.3]",3754307,73,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,Fabian Delph,4597.0,Left Midfield,136,Manchester City,36,"['1405f106-e70e-44bb-80c3-42ef83760e74', '7e18dc96-a513-4016-be49-dc7cd69e2494']",44,,,,,,,,,,,,,,,,Manchester City,36,00:28:44.855,Carry,
