50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,b37e99d4-c45c-415e-aef9-c6a074974736,1,,,3754015,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Manchester United,39,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3333, 'name': 'David de Gea Quintana'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3267, 'name': 'Luis Antonio Valencia Mosquera'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 25}, {'player': {'id': 3314, 'name': 'Phil Jones'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 10958, 'name': 'Chris Smalling'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 12}, {'player': {'id': 3602, 'name': 'Faustino Marcos Alberto Rojo'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 5}, {'player': {'id': 3600, 'name': 'Morgan Schneiderlin'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 28}, {'player': {'id': 18414, 'name': 'Bastian Schweinsteiger'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 31}, {'player': {'id': 3294, 'name': 'Juan Manuel Mata García'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 8}, {'player': {'id': 3606, 'name': 'Ander Herrera Agüera'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 21}, {'player': {'id': 20039, 'name': 'Anthony Martial'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 9}, {'player': {'id': 3538, 'name': 'Wayne Mark Rooney'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Manchester United,39,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,f0bb42f3-ce12-4d4b-a36a-04cfd0780a79,2,,,3754015,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Manchester United,39,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3291, 'name': 'Joe Hart'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 7110, 'name': 'Bacary Sagna'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 3}, {'player': {'id': 3101, 'name': 'Vincent Kompany'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 3090, 'name': 'Nicolás Hernán Otamendi'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 30}, {'player': {'id': 5596, 'name': 'Aleksandar Kolarov'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 11}, {'player': {'id': 16003, 'name': 'Fernando Francisco Reges'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 3054, 'name': 'Fernando Luiz Rosa'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 25}, {'player': {'id': 3089, 'name': 'Kevin De Bruyne'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 17}, {'player': {'id': 3087, 'name': 'Gnégnéri Yaya Touré'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 42}, {'player': {'id': 3233, 'name': 'Raheem Sterling'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 3598, 'name': 'Wilfried Guemiand Bony'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 14}]}",Manchester City,36,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,64441ab9-edfa-45dc-b486-2ec10ced9d32,3,,,3754015,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Manchester United,39,['f25a64cf-fa8c-44f0-876f-ff7187c480cd'],0,,,,,,,,,,,,,,,,,Manchester United,39,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,f25a64cf-fa8c-44f0-876f-ff7187c480cd,4,,,3754015,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Manchester United,39,['64441ab9-edfa-45dc-b486-2ec10ced9d32'],0,,,,,,,,,,,,,,,,,Manchester City,36,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,98d7cf9f-d195-4d25-8916-f372f0b676df,1773,,,3754015,45,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,91,Manchester City,36,['8b969555-4799-4227-bec5-34c8f4d5c3c5'],0,,,,,,,,,,,,,,,,,Manchester City,36,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,8b969555-4799-4227-bec5-34c8f4d5c3c5,1774,,,3754015,45,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,91,Manchester City,36,['98d7cf9f-d195-4d25-8916-f372f0b676df'],0,,,,,,,,,,,,,,,,,Manchester United,39,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.74252,,,,,,,,,,,,74e96c0c-d0c4-4093-88b6-0e840699bcb4,5,,"[61.0, 40.1]",3754015,0,,,,,1.3258177,,Right Foot,,"[61.8, 43.3]",Ground Pass,,3.2984846,,,Ander Herrera Agüera,3606.0,,,,,Kick Off,1,From Kick Off,Wayne Mark Rooney,3538.0,Center Forward,2,Manchester United,39,['8c86ee5a-afed-4139-a185-d25061a22e54'],0,,,,,,,,,,,,,,,,,Manchester United,39,00:00:00.196,Pass,
,,,,,,,,,,,,,,,,,0.897102,,,,,,,,,,,,fad3ba15-4841-4d40-b3ee-a541ac296838,8,,"[61.2, 43.3]",3754015,0,,,,,3.0531147,,Right Foot,,"[48.8, 44.4]",Ground Pass,,12.448695,,,Bastian Schweinsteiger,18414.0,,,,,,1,From Kick Off,Ander Herrera Agüera,3606.0,Center Attacking Midfield,2,Manchester United,39,['e2356112-3994-49af-8076-52f1028c7e87'],1,,,,,,,,,,,,,,,,,Manchester United,39,00:00:01.015,Pass,
,,,,,,,,,,,,,,,,,1.36155,,,,,,,,,,,,54fd27aa-2f10-4a38-9841-8864aeb5ab27,11,,"[50.2, 50.2]",3754015,0,,,,,1.297656,,Right Foot,,"[58.1, 78.4]",Low Pass,,29.285662,,,Luis Antonio Valencia Mosquera,3267.0,,,,,,1,From Kick Off,Bastian Schweinsteiger,18414.0,Left Defensive Midfield,2,Manchester United,39,['589aafa4-13e5-4263-a1ba-aec53dcf8dd1'],4,,,,,,,,,,,,,,,,,Manchester United,39,00:00:04.011,Pass,
,,,,,,,,,,,,,,,,,3.009739,,,,,,,,,,,,8c85a71b-26e4-410e-93ec-60159885f990,15,,"[49.6, 72.3]",3754015,0,,,,,-2.6098685,,Right Foot,,"[27.5, 59.3]",Ground Pass,,25.640007,,,Phil Jones,3314.0,,,,,,1,From Kick Off,Luis Antonio Valencia Mosquera,3267.0,Right Back,2,Manchester United,39,"['3683cb38-88ba-42b2-9759-d56698984973', 'bd57ffb7-9df6-4ab7-8056-d77d108f5d60']",7,,,,,,,,,,,,,,,,,Manchester United,39,00:00:07.897,Pass,True
