50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0fd8c882-7cb1-41ae-b96e-c727eff91520,1,,,3754317,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Norwich City,56,,0,,,,,,,,,,,,,,,,,,"{'formation': 4411, 'lineup': [{'player': {'id': 9014, 'name': 'Declan Rudd'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 10499, 'name': 'Ivo Daniel Ferreira Mendonca Pinto'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 25}, {'player': {'id': 9461, 'name': 'Timm Klose'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 17}, {'player': {'id': 31296, 'name': 'Sébastien Aymar Bassong Nguena'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 3576, 'name': 'Martin Olsson'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 23}, {'player': {'id': 9463, 'name': 'Alexander Banor Tettey'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 27}, {'player': {'id': 16932, 'name': 'Youssouf Chafiq Mulumbu Ngangu'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 9578, 'name': 'Jonathan Howson'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 8}, {'player': {'id': 22594, 'name': 'Matt Jarvis'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 16}, {'player': {'id': 9528, 'name': 'Steven Naismith'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 7}, {'player': {'id': 23663, 'name': 'Dieumerci Mbokani Bezua'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Norwich City,56,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,bd47182c-8e8c-4a66-a231-165ef49b9fce,2,,,3754317,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Norwich City,56,,0,,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3099, 'name': 'Hugo Lloris'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3205, 'name': 'Kyle Walker'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 20005, 'name': 'Toby Alderweireld'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 3611, 'name': 'Kevin Wimmer'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 27}, {'player': {'id': 3594, 'name': 'Danny Rose'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 3037, 'name': 'Mousa Sidi Yaya Dembélé'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 19}, {'player': {'id': 10956, 'name': 'Eric Dier'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 3083, 'name': 'Heung-Min Son'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 3043, 'name': 'Christian Dannemann Eriksen'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 23}, {'player': {'id': 3094, 'name': 'Bamidele Alli'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 20}, {'player': {'id': 10955, 'name': 'Harry Kane'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Tottenham Hotspur,38,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,a810bbff-77b7-432a-92fb-1bce20986dfb,3,,,3754317,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Norwich City,56,['08a2bbfa-63e6-413e-ba1f-5a314d7d67ca'],0,,,,,,,,,,,,,,,,,,,Norwich City,56,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,08a2bbfa-63e6-413e-ba1f-5a314d7d67ca,4,,,3754317,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Norwich City,56,['a810bbff-77b7-432a-92fb-1bce20986dfb'],0,,,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,2cbf888b-738a-4a13-bb2f-874b8591bc3a,1535,,,3754317,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,97,Tottenham Hotspur,38,['61d6255e-03a8-4a0b-8e36-a7f745817b40'],0,,,,,,,,,,,,,,,,,,,Norwich City,56,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,61d6255e-03a8-4a0b-8e36-a7f745817b40,1536,,,3754317,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,97,Tottenham Hotspur,38,['2cbf888b-738a-4a13-bb2f-874b8591bc3a'],0,,,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.310276,,,,,,,,,,,,,,,74732ba7-c2f3-4bab-9873-38139814ee4d,5,,"[61.0, 40.1]",3754317,0,,,,,1.4677147,,Right Foot,,,,"[61.3, 43.0]",Ground Pass,,2.9154758,,,,,Harry Kane,10955.0,,,,,Kick Off,1,From Kick Off,Christian Dannemann Eriksen,3043.0,Center Attacking Midfield,2,Tottenham Hotspur,38,['7168cab9-f914-43af-9352-098715957e9a'],0,,,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:00:00.759,Pass,
,,,,,,,,,,,,,,,,,,1.310125,,,,,,,,,,,,,,,ededf264-25a9-48ef-b7f7-74a38fefc6cb,7,,"[60.8, 42.9]",3754317,0,,,,,-3.0015464,,Right Foot,,,,"[38.1, 39.7]",Ground Pass,,22.92444,,,,,Kevin Wimmer,3611.0,,,,,,1,From Kick Off,Harry Kane,10955.0,Center Forward,2,Tottenham Hotspur,38,['db99bb20-8bd2-4520-b8ec-f20ad7e4e58b'],1,,,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:00:01.070,Pass,
,,,,,,,,,,,,,,,,,,3.628938,,,,,,,,,,,,,,,71c89c3a-15c4-4d7f-ab6e-55a88719fa55,10,,"[40.6, 38.1]",3754317,0,,,,,0.66168624,,Left Foot,,,,"[94.4, 80.0]",High Pass,,68.19128,,,Out,,Heung-Min Son,3083.0,,True,,,,1,From Kick Off,Kevin Wimmer,3611.0,Left Center Back,2,Tottenham Hotspur,38,['a9f6c5d0-3c09-4a2e-9ac3-42252c2b5500'],3,,,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:00:03.427,Pass,
,,,,,,,,,,,,,,,,,,1.544738,,,,,,,,,,,,,,,f4a5115d-5215-4bb6-8c84-c3a780d72be9,12,,"[25.7, 0.1]",3754317,0,,,,,0.20343982,,,,,,"[54.3, 6.0]",High Pass,,29.202227,,,Incomplete,,Dieumerci Mbokani Bezua,23663.0,,,,,Throw-in,1,From Throw In,Martin Olsson,3576.0,Left Back,3,Norwich City,56,"['c809de60-615f-4672-b478-00f2638c1e73', 'daa1fe54-9f09-48ab-ade4-cd7939cd9769']",16,,,,,,,,,,,,,,,,,,,Norwich City,56,00:00:16.132,Pass,
