ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,0.0,,,,,,,,,,,,6b4a2cc2-2cc5-4377-8145-5c2be86c8c3a,1,,,3754011,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Southampton,25,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 20201, 'name': 'Maarten Stekelenburg'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 22}, {'player': {'id': 3300, 'name': 'Maya Yoshida'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 3}, {'player': {'id': 3960, 'name': 'José Miguel da Rocha Fonte'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 3669, 'name': 'Virgil van Dijk'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 17}, {'player': {'id': 3651, 'name': 'Matt Targett'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 33}, {'player': {'id': 3098, 'name': 'Victor Wanyama'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 12}, {'player': {'id': 3272, 'name': 'Oriol Romeu Vidal'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 3328, 'name': 'James Ward-Prowse'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 16}, {'player': {'id': 3629, 'name': 'Sadio Mané'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 3831, 'name': 'Dušan Tadić'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 11062, 'name': 'Graziano Pellè'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 19}]}",Southampton,25,00:00:00.000,Starting XI,
,,,,,,,,,,,,,0.0,,,,,,,,,,,,392e3327-e636-4a1b-bacd-d6c5e7b71dbd,2,,,3754011,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Southampton,25,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3333, 'name': 'David de Gea Quintana'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4587, 'name': 'Matteo Darmian'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 36}, {'player': {'id': 10958, 'name': 'Chris Smalling'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 12}, {'player': {'id': 3311, 'name': 'Daley Blind'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 17}, {'player': {'id': 3602, 'name': 'Faustino Marcos Alberto Rojo'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 5}, {'player': {'id': 4751, 'name': 'Michael Carrick'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 3600, 'name': 'Morgan Schneiderlin'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 28}, {'player': {'id': 3294, 'name': 'Juan Manuel Mata García'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 8}, {'player': {'id': 3538, 'name': 'Wayne Mark Rooney'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 2988, 'name': 'Memphis Depay'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 20039, 'name': 'Anthony Martial'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Manchester United,39,00:00:00.000,Starting XI,
,,,,,,,,,,,,,0.0,,,,,,,,,,,,3d215ef2-992e-4275-8e9e-716e8f009bc7,3,,,3754011,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Southampton,25,['7b3c75ab-276a-4be0-95dc-a924141afff9'],0,,,,,,,,,,,,,,,,,Manchester United,39,00:00:00.000,Half Start,
,,,,,,,,,,,,,0.0,,,,,,,,,,,,7b3c75ab-276a-4be0-95dc-a924141afff9,4,,,3754011,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Southampton,25,['3d215ef2-992e-4275-8e9e-716e8f009bc7'],0,,,,,,,,,,,,,,,,,Southampton,25,00:00:00.000,Half Start,
,,,,,,,,,,,,,0.0,,,,,,,,,,,,a3e85c3a-4fd8-4838-8e3d-654ca76a0461,1827,,,3754011,45,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,93,Manchester United,39,['102e15e6-4cc9-4436-892f-72332d9b2c19'],0,,,,,,,,,,,,,,,,,Manchester United,39,00:00:00.000,Half Start,
,,,,,,,,,,,,,0.0,,,,,,,,,,,,102e15e6-4cc9-4436-892f-72332d9b2c19,1828,,,3754011,45,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,93,Manchester United,39,['a3e85c3a-4fd8-4838-8e3d-654ca76a0461'],0,,,,,,,,,,,,,,,,,Southampton,25,00:00:00.000,Half Start,
,,,,,,,,,,,,,0.447872,,,,,,,,,,,,f8538e67-d34a-4a9b-98aa-fd5f2a0bfe3b,5,,"[60.0, 40.0]",3754011,0,,,,,1.6539376,,Right Foot,,,"[59.9, 41.2]",,Ground Pass,,1.2041595,,,Graziano Pellè,11062.0,,,,Kick Off,1,From Kick Off,Sadio Mané,3629.0,Center Attacking Midfield,2,Southampton,25,['fb780358-2b5c-46f7-94ef-92112b383f56'],0,,,,,,,,,,,,,,,,,Southampton,25,00:00:00.533,Pass,
,,,,,,,,,,,,,1.242564,,,,,,,,,,,,98b416ad-0dbb-4fc3-a25d-a7ae8aeef366,8,,"[59.9, 40.7]",3754011,0,,,,,-2.872186,,Right Foot,,,"[46.5, 37.0]",,Ground Pass,,13.901439,,,Oriol Romeu Vidal,3272.0,,,,,1,From Kick Off,Graziano Pellè,11062.0,Center Forward,2,Southampton,25,['86f95df5-a0c4-4821-9d03-bc70140c63a7'],1,,,,,,,,,,,,,,,,,Southampton,25,00:00:01.021,Pass,
,,,,,,,,,,,,,1.237585,,,,,,,,,,,,fa3e4780-403c-4a24-b351-fecf224157a8,11,,"[46.5, 37.0]",3754011,0,,,,,-2.2223835,,Right Foot,,,"[33.0, 19.3]",,Ground Pass,,22.260727,,,Virgil van Dijk,3669.0,,,,,1,From Kick Off,Oriol Romeu Vidal,3272.0,Left Center Midfield,2,Southampton,25,['62dca57a-31e6-4a28-b1f8-d0fe0a7516b8'],2,,,,,,,,,,,,,,,,,Southampton,25,00:00:02.890,Pass,
,,,,,,,,,,,,,1.88305,,,,,,,,,,,,97b9e3e1-244c-4989-a376-7533b7cc4015,14,,"[27.4, 21.8]",3754011,0,,,,,1.7341624,,Right Foot,,,"[22.9, 49.1]",,Ground Pass,,27.668394,,,José Miguel da Rocha Fonte,3960.0,,,,,1,From Kick Off,Virgil van Dijk,3669.0,Left Center Back,2,Southampton,25,['9afecc04-5026-4345-b942-f0d65163f8a5'],5,,,,,,,,,,,,,,,,,Southampton,25,00:00:05.685,Pass,
