50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,fa8d3596-ec71-456c-be99-e94b82cba144,1,,,3754310,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Manchester United,39,,0,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 3333, 'name': 'David de Gea Quintana'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3267, 'name': 'Luis Antonio Valencia Mosquera'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 25}, {'player': {'id': 10958, 'name': 'Chris Smalling'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 12}, {'player': {'id': 3311, 'name': 'Daley Blind'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 17}, {'player': {'id': 4587, 'name': 'Matteo Darmian'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 36}, {'player': {'id': 3600, 'name': 'Morgan Schneiderlin'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 28}, {'player': {'id': 3293, 'name': 'Jesse Lingard'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 14}, {'player': {'id': 3294, 'name': 'Juan Manuel Mata García'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 3538, 'name': 'Wayne Mark Rooney'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 20039, 'name': 'Anthony Martial'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 11}, {'player': {'id': 3318, 'name': 'Marcus Rashford'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Manchester United,39,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,a7cd5e26-c5bf-41bb-9005-53ee4a8800fd,2,,,3754310,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Manchester United,39,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3487, 'name': 'Julián Speroni'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3448, 'name': 'Martin Kelly'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 34}, {'player': {'id': 3731, 'name': 'Adrian Mariappa'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 3693, 'name': 'Damien Delaney'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 27}, {'player': {'id': 4884, 'name': ""Pape N''Diaye Souaré""}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 23}, {'player': {'id': 3277, 'name': 'Yohan Cabaye'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 5489, 'name': 'Mile Jedinak'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 3507, 'name': 'Wilfried Zaha'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 3326, 'name': 'Chung-Yong Lee'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 14}, {'player': {'id': 3469, 'name': 'Bakary Sako'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 26}, {'player': {'id': 26699, 'name': 'Emmanuel Adebayor'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 25}]}",Crystal Palace,31,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,83ee9aab-d953-465f-b0e2-2255b3cd349f,3,,,3754310,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Manchester United,39,['ee666a75-7950-4525-87b5-2f144bebc506'],0,,,,,,,,,,,,,,,,,Manchester United,39,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,ee666a75-7950-4525-87b5-2f144bebc506,4,,,3754310,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Manchester United,39,['83ee9aab-d953-465f-b0e2-2255b3cd349f'],0,,,,,,,,,,,,,,,,,Crystal Palace,31,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,ae9e5a37-6c59-429d-aa52-fdd1f2c36a4c,1857,,,3754310,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,100,Crystal Palace,31,['d39af90e-baba-401c-94c7-bc79041befe5'],0,,,,,,,,,,,,,,,,,Manchester United,39,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,d39af90e-baba-401c-94c7-bc79041befe5,1858,,,3754310,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,100,Crystal Palace,31,['ae9e5a37-6c59-429d-aa52-fdd1f2c36a4c'],0,,,,,,,,,,,,,,,,,Crystal Palace,31,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.363828,,,,,,,,,,,,,601bfa5f-3c9f-483d-868e-2b8fd5df979a,5,,"[60.0, 40.0]",3754310,0,,,,,1.0516502,,Right Foot,,,"[61.2, 42.1]",Ground Pass,,2.4186773,,,,,Marcus Rashford,3318.0,,,,Kick Off,1,From Kick Off,Wayne Mark Rooney,3538.0,Left Center Midfield,2,Manchester United,39,['2823274a-f746-4a71-afb0-b60b79f91333'],0,,,,,,,,,,,,,,,,,Manchester United,39,00:00:00.163,Pass,
,,,,,,,,,,,,,,,,,1.75196,,,,,,,,,,,,,64bbe515-b859-4c1a-97f4-aa6bc31b9273,8,,"[57.4, 41.0]",3754310,0,,,,,2.5854263,,Right Foot,,,"[42.6, 50.2]",Ground Pass,,17.426416,,,,,Chris Smalling,10958.0,,,,,1,From Kick Off,Marcus Rashford,3318.0,Center Forward,2,Manchester United,39,['422ec9a5-d253-491d-bba2-3cbe441f34f6'],0,,,,,,,,,,,,,,,,,Manchester United,39,00:00:00.811,Pass,
,,,,,,,,,,,,,,,,,1.674835,,,,,,,,,,,,,cafb56f3-1c1c-4c13-af66-2fdd0f3e16cf,11,,"[40.9, 54.7]",3754310,0,,,,,1.140866,,Right Foot,,,"[50.3, 75.2]",Ground Pass,,22.552383,,,,,Luis Antonio Valencia Mosquera,3267.0,,,,,1,From Kick Off,Chris Smalling,10958.0,Right Center Back,2,Manchester United,39,['9fdedf50-c551-46c0-92f1-425665c07018'],3,,,,,,,,,,,,,,,,,Manchester United,39,00:00:03.314,Pass,
,,,,,,,,,,,,,,,,,1.986403,,,,,,,,,,,,,e2ea2065-c76f-4418-87e3-c3dd82e2e3b4,14,,"[51.6, 75.4]",3754310,0,,,,,-2.4626784,,Right Foot,,,"[28.3, 56.6]",Ground Pass,,29.93877,,,,,Chris Smalling,10958.0,,,,,1,From Kick Off,Luis Antonio Valencia Mosquera,3267.0,Right Back,2,Manchester United,39,['605d7f62-d4ae-4573-be75-749b60cf14a6'],5,,,,,,,,,,,,,,,,,Manchester United,39,00:00:05.022,Pass,
