bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,abe07942-dd71-49ca-a050-6cc715371edd,1,,,3754146,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Stoke City,30,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3537, 'name': 'Jack Butland'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4724, 'name': 'Glen Johnson'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 8}, {'player': {'id': 3480, 'name': 'Geoff Cameron'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 20}, {'player': {'id': 13848, 'name': 'Marc Wilson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 12}, {'player': {'id': 3467, 'name': 'Erik Pieters'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 9625, 'name': 'Glenn Whelan'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 8251, 'name': 'Marco van Ginkel'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 3533, 'name': 'Xherdan Shaqiri'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 22}, {'player': {'id': 4913, 'name': 'Bojan Krkíc Pérez'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 27}, {'player': {'id': 3325, 'name': 'Marko Arnautović'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 3670, 'name': 'Jonathan Walters'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 19}]}",Stoke City,30,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,a15c3562-71fd-4043-9c45-cfccd99fc31f,2,,,3754146,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Stoke City,30,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 3815, 'name': 'Kasper Schmeichel'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 28782, 'name': 'Ritchie De Laet'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 40123, 'name': 'Robert Huth'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 3813, 'name': 'Wes Morgan'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 3520, 'name': 'Jeffrey Schlupp'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 3662, 'name': 'Danny Drinkwater'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 20230, 'name': 'Gökhan İnler'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 33}, {'player': {'id': 3814, 'name': 'Riyad Mahrez'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 26}, {'player': {'id': 3961, 'name': ""N''Golo Kanté""}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 14}, {'player': {'id': 3810, 'name': 'Shinji Okazaki'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 20}, {'player': {'id': 10960, 'name': 'Jamie Vardy'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Leicester City,22,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0ef78b4a-57e0-4ab8-b396-cf2206987636,3,,,3754146,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Stoke City,30,['14b96287-f922-4232-b08a-6b48073dc0cf'],0,,,,,,,,,,,,,,,,,Leicester City,22,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,14b96287-f922-4232-b08a-6b48073dc0cf,4,,,3754146,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Stoke City,30,['0ef78b4a-57e0-4ab8-b396-cf2206987636'],0,,,,,,,,,,,,,,,,,Stoke City,30,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,a98a8e76-d42a-4595-ad85-b372ded7f77a,1739,,,3754146,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,90,Stoke City,30,['9602f768-dedd-4adb-ad87-adc83f092a50'],0,,,,,,,,,,,,,,,,,Leicester City,22,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,9602f768-dedd-4adb-ad87-adc83f092a50,1740,,,3754146,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,90,Stoke City,30,['a98a8e76-d42a-4595-ad85-b372ded7f77a'],0,,,,,,,,,,,,,,,,,Stoke City,30,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.507503,,,,,,,,,,,,,,,766fe674-fe34-458d-95ae-1797b429b44b,5,,"[60.0, 40.0]",3754146,0,,,,,0.4048918,,Right Foot,,"[61.4, 40.6]",,Ground Pass,,1.5231546,,,,Marco van Ginkel,8251.0,,,,,,Kick Off,1,From Kick Off,Bojan Krkíc Pérez,4913.0,Center Attacking Midfield,2,Stoke City,30,['7a5136aa-8f87-4a04-b9a6-66fc27fdc835'],0,,,,,,,,,,,,,,,,,Stoke City,30,00:00:00.545,Pass,
,,,,,,,,,,,,,,,,,,,1.017559,,,,,,,,,,,,,,,ca8e3661-956d-4ab6-a849-8a1390c332e2,8,,"[61.0, 39.9]",3754146,0,,,,,-3.038068,,Left Foot,,"[53.3, 39.1]",,Ground Pass,,7.741447,,,,Glenn Whelan,9625.0,,,,,,,1,From Kick Off,Marco van Ginkel,8251.0,Left Defensive Midfield,2,Stoke City,30,['f05f7405-0bb7-4df7-bd02-86c872ba674c'],1,,,,,,,,,,,,,,,,,Stoke City,30,00:00:01.184,Pass,
,,,,,,,,,,,,,,,,,,,3.146865,,,,,,,,,,,,,,,fdd7e8a9-f168-43e0-b43e-b49f02e8b0c6,11,,"[53.5, 39.9]",3754146,0,,,,,-0.76272166,,Right Foot,,"[78.3, 16.2]",,High Pass,,34.303497,,Incomplete,,Jonathan Walters,3670.0,,,,,,,1,From Kick Off,Glenn Whelan,9625.0,Right Defensive Midfield,2,Stoke City,30,"['474e86a9-a756-4db4-96e1-2a55f8695213', '615fb942-93c5-417c-b898-9cdd4f53293c']",2,,,,,,,,,,,,,,,,,Stoke City,30,00:00:02.334,Pass,
,,,,,,,,,,,,,,,,,,,2.318094,,,,,,,,,,,,,,,615fb942-93c5-417c-b898-9cdd4f53293c,14,,"[41.8, 63.9]",3754146,0,,,,True,2.4845178,,,,"[31.3, 72.0]",,Low Pass,,13.261222,,,,Ritchie De Laet,28782.0,,,,,,Recovery,1,Regular Play,Robert Huth,40123.0,Right Center Back,3,Leicester City,22,"['06d406e0-7e1c-4fcb-87c7-c7abdc7f64a1', 'd02237f0-b1b8-4c66-aaf3-1332d88007d0', 'fdd7e8a9-f168-43e0-b43e-b49f02e8b0c6']",5,,,,,,,,,,,,,,,,,Leicester City,22,00:00:05.481,Pass,True
,,,,,,,,,,,,,,,,,,,2.353871,,,,,,,,,,,,,,,9f897a80-a9e2-4a35-a4dc-12f797a3609e,18,,"[29.3, 73.3]",3754146,0,,,,,0.0143432785,,Right Foot,,"[78.1, 74.0]",,High Pass,,48.80502,,Incomplete,,Shinji Okazaki,3810.0,,,,,,,1,Regular Play,Ritchie De Laet,28782.0,Right Back,3,Leicester City,22,"['a9d00c1a-84bf-4216-a443-7f3578855e46', 'ea9f5a0a-d040-49f4-b06a-36819f355a08']",7,,,,,,,,,,,,,,,,,Leicester City,22,00:00:07.839,Pass,
