ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,b29fe993-d2a9-4cab-8189-682d9588b1ba,1,,,3754325,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,West Bromwich Albion,27,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 5108, 'name': 'Glyn Oliver Myhill'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 3523, 'name': 'Craig Dawson'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 25}, {'player': {'id': 3596, 'name': 'Gareth McAuley'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 23}, {'player': {'id': 11012, 'name': 'Jonathan Grant Evans'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 3541, 'name': 'Chris Brunt'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 11}, {'player': {'id': 4022, 'name': 'Darren Fletcher'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 24}, {'player': {'id': 3967, 'name': 'Claudio Ariel Yacob'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 9551, 'name': 'Callum McManaman'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 19}, {'player': {'id': 9485, 'name': 'Craig Gardner'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 8}, {'player': {'id': 40124, 'name': 'Rickie Lambert'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 17}, {'player': {'id': 4041, 'name': 'José Salomón Rondón Giménez'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 33}]}",West Bromwich Albion,27,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,4fb62bfc-5e54-4293-83af-7a9fe38eedbe,2,,,3754325,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,West Bromwich Albion,27,,0,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 20201, 'name': 'Maarten Stekelenburg'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 22}, {'player': {'id': 3329, 'name': 'Cédric Ricardo Alves Soares'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 3960, 'name': 'José Miguel da Rocha Fonte'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 3669, 'name': 'Virgil van Dijk'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 17}, {'player': {'id': 3651, 'name': 'Matt Targett'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 33}, {'player': {'id': 3098, 'name': 'Victor Wanyama'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 12}, {'player': {'id': 3831, 'name': 'Dušan Tadić'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 11}, {'player': {'id': 3328, 'name': 'James Ward-Prowse'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 16}, {'player': {'id': 3828, 'name': 'Steven Davis'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 3685, 'name': 'Jay Rodriguez'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 9}, {'player': {'id': 11062, 'name': 'Graziano Pellè'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 19}]}",Southampton,25,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,26a42137-472d-4aa5-a4a9-9585cb9f7024,3,,,3754325,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,West Bromwich Albion,27,['573a6bb4-b746-447c-a0bf-6c5a3ef9033b'],0,,,,,,,,,,,,,,,,,West Bromwich Albion,27,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,573a6bb4-b746-447c-a0bf-6c5a3ef9033b,4,,,3754325,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,West Bromwich Albion,27,['26a42137-472d-4aa5-a4a9-9585cb9f7024'],0,,,,,,,,,,,,,,,,,Southampton,25,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,4f4baf15-5663-407b-941c-477a42bf9b35,1823,,,3754325,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,94,Southampton,25,['87d24594-58d4-40d3-8f6c-4e952ef26441'],0,,,,,,,,,,,,,,,,,Southampton,25,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,87d24594-58d4-40d3-8f6c-4e952ef26441,1824,,,3754325,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,94,Southampton,25,['4f4baf15-5663-407b-941c-477a42bf9b35'],0,,,,,,,,,,,,,,,,,West Bromwich Albion,27,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.640001,,,,,,,,,,,c0ef32dd-2c97-4368-8615-5fe8a9be221a,5,,"[60.0, 40.0]",3754325,0,,,,,-1.6373645,,Right Foot,,,,"[59.8, 37.0]",Ground Pass,,3.0066593,,,,Darren Fletcher,4022.0,,,,,Kick Off,1,From Kick Off,Craig Gardner,9485.0,Left Midfield,2,West Bromwich Albion,27,['c5685edd-ce9e-4863-85a6-d72e975ea650'],0,,,,,,,,,,,,,,,,,West Bromwich Albion,27,00:00:00.285,Pass,
,,,,,,,,,,,,,,,,1.117754,,,,,,,,,,,dbf7162d-8372-40e1-9d2b-9472e82d60bc,8,,"[58.0, 40.2]",3754325,0,,,,,1.7076598,,Right Foot,,,,"[55.7, 56.9]",Ground Pass,,16.85764,,,,Craig Dawson,3523.0,,,,,,1,From Kick Off,Darren Fletcher,4022.0,Right Defensive Midfield,2,West Bromwich Albion,27,['5b3248ab-5571-4ed6-9b7e-a7ea82360e1e'],1,,,,,,,,,,,,,,,,,West Bromwich Albion,27,00:00:01.817,Pass,
,,,,,,,,,,,,,,,,1.524179,,,,,,,,,,,5f2fbe3c-fd70-4d23-bcbc-b3c8c5be7ca2,12,,"[55.3, 60.4]",3754325,0,,,,,-2.9201536,,Right Foot,,,,"[36.2, 56.1]",Ground Pass,,19.578049,,,,Gareth McAuley,3596.0,,,,,,1,From Kick Off,Craig Dawson,3523.0,Right Back,2,West Bromwich Albion,27,"['28506461-6f42-4893-a3be-d5c7d6d447ad', '2ae0f38d-c9a9-430c-913a-083c6919cdd2']",3,,,,,,,,,,,,,,,,,West Bromwich Albion,27,00:00:03.584,Pass,True
,,,,,,,,,,,,,,,,5.151671,,,,,,,,,,,f4826be1-7d85-4651-867d-34faf0d0c41b,15,,"[35.3, 56.6]",3754325,0,,,,,-0.47699004,,Right Foot,,,,"[88.9, 28.9]",High Pass,,60.334484,,,,Rickie Lambert,40124.0,,,,,,1,From Kick Off,Gareth McAuley,3596.0,Right Center Back,2,West Bromwich Albion,27,['dca3c365-5ab5-4069-9c2b-f06aff8eba3a'],5,,,,,,,,,,,,,,,,,West Bromwich Albion,27,00:00:05.248,Pass,
