ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,1.067008,,,,,,,,,,,,,18f6a960-ea44-4e70-a6e1-fab969bbd642,19,,"[55.0, 57.2]",3754030,0,,,,,2.1948195,,Right Foot,,,"[47.8, 67.2]",Ground Pass,,12.322337,,,,,Séamus Coleman,4589.0,,,,,,,1,From Kick Off,James McCarthy,3607.0,Right Center Midfield,2,Everton,29,"['1a33dc4e-9305-4ef6-97b3-090e3de70b7c', 'bec73549-becb-4940-9518-c4102cf53bda']",11,,,,,,,,,,,,,,,,,Everton,29,00:00:11.068,Pass,True
,,,,,,,,,,,,,,,,1.678287,,,,,,,,,,,,,8dc724be-6800-4ce8-a4b4-e36ebcf3b6e4,22,,"[47.2, 67.7]",3754030,0,,,,,-0.6086893,,Right Foot,,,"[70.3, 51.6]",High Pass,,28.157059,,,,,Romelu Lukaku Menama,3289.0,,,,,,,1,From Kick Off,Séamus Coleman,4589.0,Right Back,2,Everton,29,['e5da6df8-b106-4003-9161-e3ff0fa8009f'],12,,,,,,,,,,,,,,,,,Everton,29,00:00:12.215,Pass,
,,,,,,,,,,,,,,,,2.373518,,,,,,,,,,,,,53877863-ae05-42f3-b125-2ba27a16ca09,26,,"[70.3, 53.5]",3754030,0,,,,,0.65107673,,Left Foot,,,"[93.4, 71.1]",Low Pass,,29.040833,,,,,Gerard Deulofeu Lázaro,3726.0,,,,,,,1,From Kick Off,Romelu Lukaku Menama,3289.0,Center Forward,2,Everton,29,"['763d218a-370d-4cff-9088-b400a21b5ab9', 'e3dd4306-d54a-40ef-8480-c37390cdf574']",13,,,,,,,,,,,,,,,,,Everton,29,00:00:13.933,Pass,True
,,,,,,,,,,,,,,,,0.530049,,,,,,,,,,,,,5a8f40cb-1761-49e5-b02d-0f6d69e21f6a,39,,"[2.9, 9.1]",3754030,0,,,,,-0.52984905,,Left Foot,,,"[16.9, 0.9]",Low Pass,,16.224672,,,Out,,José Manuel Jurado Marín,6870.0,,,,,,,1,From Kick Off,José Holebas,3725.0,Left Back,2,Everton,29,"['7d33e3e5-928b-4d65-bb86-80953d0f25fa', '81b5d0dc-9a82-4eab-a7d8-e049a08c1bcb']",28,,,,,,,,,,,,,,,,,Watford,23,00:00:28.697,Pass,True
,,,,,,,,,,,,,,,,1.825542,,,,,,,,,,,,,659fb413-03a1-4f8b-ac25-d52c89937cbb,41,,"[93.4, 80.0]",3754030,0,,,,,-2.425849,,,,,"[84.2, 72.0]",Low Pass,,12.1918,,,,,John Stones,3244.0,,,,,,Throw-in,1,From Throw In,James McCarthy,3607.0,Right Center Midfield,3,Everton,29,['54a8a009-b27d-43a3-bc94-4b37149497d1'],34,,,,,,,,,,,,,,,,,Everton,29,00:00:34.145,Pass,
,,,,,,,,,,,,,,,,1.821285,,,,,,,,,,,,,f656aed0-c444-420e-92f9-c78b700f260f,44,,"[71.8, 70.3]",3754030,0,,,,,-2.300696,,Right Foot,,,"[53.1, 49.4]",Ground Pass,,28.044607,,,,,Phil Jagielka,20046.0,,,,,,,1,From Throw In,John Stones,3244.0,Right Center Back,3,Everton,29,['52ecf337-e5b3-4173-952b-1a8f29264b29'],36,,,,,,,,,,,,,,,,,Everton,29,00:00:36.091,Pass,
,,,,,,,,,,,,,,,,3.888863,,,,,,,,,,,,,fcb31ca2-4c25-4c47-b6ac-805543d655bf,48,,"[47.6, 42.7]",3754030,0,,,,,3.0894208,,Right Foot,,,"[9.3, 44.7]",Ground Pass,,38.352184,,,,,Joel Robles Blázquez,16309.0,,,,,,,1,From Throw In,Phil Jagielka,20046.0,Left Center Back,3,Everton,29,"['6d1759c0-2e77-4b4e-8d4d-faffb625f60a', '9b178896-95b5-4cfa-8c31-a8eb7b235c02']",39,,,,,,,,,,,,,,,,,Everton,29,00:00:39.081,Pass,True
,,,,,,,,,,,,,,,,6.277856,,,,,,,,,,,,,d3707cbf-fd2f-44c1-a8f2-5c19e182e083,51,,"[9.2, 44.9]",3754030,0,,,,,-0.094902344,,Right Foot,,,"[104.8, 35.8]",High Pass,,96.03213,,,Incomplete,,Romelu Lukaku Menama,3289.0,,,,,,,1,From Throw In,Joel Robles Blázquez,16309.0,Goalkeeper,3,Everton,29,"['a2c77932-4acc-49be-a6a7-f55c029bedc7', 'e7282902-2b99-43d0-841f-422ee979e4fa']",43,,,,,,,,,,,,,,,,,Everton,29,00:00:43.210,Pass,
,,,,,,,,,,,,,,,,1.594071,,,,,,,,,,,,,fabdb9d4-ed15-4efa-ac46-5d222633cf0c,55,,"[15.6, 43.5]",3754030,0,,,,,0.3366748,,Keeper Arm,,,"[27.6, 47.7]",Ground Pass,,12.713772,,,,,Craig Cathcart,3263.0,,,,,,,1,Regular Play,Heurelho da Silva Gomes,3522.0,Goalkeeper,4,Watford,23,['535755b3-c4ac-4208-bfb7-1f6b6fa5a1aa'],50,,,,,,,,,,,,,,,,,Watford,23,00:00:50.162,Pass,
,,,,,,,,,,,,,,,,2.562292,,,,,,,,,,,,,6ae99e63-6455-434b-8957-bbdebaf20317,58,,"[34.4, 47.7]",3754030,0,,,,,-0.04013907,,Right Foot,,,"[84.2, 45.7]",High Pass,,49.840145,,,,,Odion Jude Ighalo,5458.0,,,,,,,1,Regular Play,Craig Cathcart,3263.0,Right Center Back,4,Watford,23,['d15c3091-0cef-4eac-8630-ac258b62eeeb'],54,,,,,,,,,,,,,,,,,Watford,23,00:00:54.495,Pass,
,,,,,,,,,,,,,,,,0.904889,,,,,,,,,,,,,e9a2d41a-9dfc-45d1-9191-ef3b908be5b3,62,,"[84.5, 44.3]",3754030,0,,,,,-2.5733058,,Right Foot,,,"[76.2, 39.0]",Ground Pass,,9.847842,,,,,Ben Watson,3626.0,,,,,,,1,Regular Play,Odion Jude Ighalo,5458.0,Left Center Forward,4,Watford,23,"['baf84fb9-0677-44a4-935e-a92061800e67', 'c4fcfc7c-3381-4e14-ba34-6eb338e04cce']",58,,,,,,,,,,,,,,,,,Watford,23,00:00:58.175,Pass,True
,,,,,,,,,,,,,,,,0.923308,,,,,,,,,,,,,be87d5ee-69a4-4b58-a506-591c45edd439,66,,"[78.1, 42.0]",3754030,0,,,,,-1.0269638,,Right Foot,,,"[83.3, 33.4]",Ground Pass,,10.049875,,,,,José Manuel Jurado Marín,6870.0,,,,,,,1,Regular Play,Ben Watson,3626.0,Left Center Midfield,4,Watford,23,['a0976bc8-09a1-4c17-895e-43cc62dd8691'],59,,,,,,,,,,,,,,,,,Watford,23,00:00:59.120,Pass,
,,,,,,,,,,,,,,,,0.921413,,,,,,,,,,,,,58001b79-d93c-447f-a59c-e93744f68a3c,68,,"[83.6, 33.1]",3754030,1,,,,,2.3676882,,Right Foot,,,"[79.2, 37.4]",Ground Pass,,6.1522355,,,,,Ben Watson,3626.0,,,,,,,1,Regular Play,José Manuel Jurado Marín,6870.0,Left Midfield,4,Watford,23,['ac6a77a8-18df-4ff5-a03b-da21a4d34a34'],0,,,,,,,,,,,,,,,,,Watford,23,00:01:00.043,Pass,
,,,,,,,,,,,,,,,,0.659993,,,,,,,,,,,,,facaeff3-4531-4fac-8f9d-7d8dcb5ef87b,71,,"[75.3, 31.3]",3754030,1,,,,,-1.1167178,,Right Foot,,,"[79.4, 22.9]",Ground Pass,,9.347192,,,,,José Manuel Jurado Marín,6870.0,,,,,,,1,Regular Play,Ben Watson,3626.0,Left Center Midfield,4,Watford,23,['59cedb95-e658-4091-bd79-fba5792d577e'],2,,,,,,,,,,,,,,,,,Watford,23,00:01:02.651,Pass,
,,,,,,,,,,,,,,,,1.060488,,,,,,,,,,,,,c467d37d-ab76-4b94-abaa-812bfb22e6d8,75,,"[78.7, 22.6]",3754030,1,,,,,-3.0014908,,Right Foot,,,"[70.9, 21.5]",Ground Pass,,7.877182,,,,,Ben Watson,3626.0,,,,,,,1,Regular Play,José Manuel Jurado Marín,6870.0,Left Midfield,4,Watford,23,"['2382e15f-374f-484f-b1b9-3acfda039fa1', '85735283-a6d4-4ba5-8a4d-52ea9c62bf01']",3,,,,,,,,,,,,,,,,,Watford,23,00:01:03.450,Pass,True
,,,,,,,,,,,,,,,,1.948439,,,,,,,,,,,,,18e5ef9a-1799-4ced-9269-3d63cd79b5de,79,,"[70.8, 21.3]",3754030,1,,,,,-2.3447008,,Right Foot,,,"[57.9, 8.1]",Ground Pass,,18.456707,,,,,José Holebas,3725.0,,,,,,,1,Regular Play,Ben Watson,3626.0,Left Center Midfield,4,Watford,23,"['e17d2a97-649c-4432-8e8a-4ecde2d47b57', 'f266c3b7-0610-4513-9ad6-38ac5ba9e53b']",4,,,,,,,,,,,,,,,,,Watford,23,00:01:04.644,Pass,True
,,,,,,,,,,,,,,,,3.520713,,,,,,,,,,,,,97cf0bc2-8a39-49cb-b984-84dca7daa751,83,,"[55.9, 12.6]",3754030,1,,,,,2.6407907,,Left Foot,,,"[12.6, 36.3]",Ground Pass,,49.361725,,,,,Heurelho da Silva Gomes,3522.0,,,,,,,1,Regular Play,José Holebas,3725.0,Left Back,4,Watford,23,"['9f368d36-8bd5-411c-82db-6f75892fc9ca', 'da3568a6-7a28-4d5c-bcc0-bf7c2513121f']",7,,,,,,,,,,,,,,,,,Watford,23,00:01:07.247,Pass,True
,,,,,,,,,,,,,,,,2.046299,,,,,,,,,,,,,ff281098-c116-4db4-bcd5-155324629424,85,,"[12.6, 36.3]",3754030,1,,True,,,-1.2660757,,Right Foot,,,"[20.4, 11.5]",Ground Pass,,25.997692,,,,,Miguel Ángel Britos Cabrera,3288.0,,,,,,,1,Regular Play,Heurelho da Silva Gomes,3522.0,Goalkeeper,4,Watford,23,['468211cf-9214-4896-b154-01cc994737a2'],12,,,,,,,,,,,,,,,,,Watford,23,00:01:12.187,Pass,
