ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,2239e7f9-d47f-4f29-b4da-6e3fd5b44baa,1,,,,3754056,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Everton,29,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 13042, 'name': 'Tim Howard'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 24}, {'player': {'id': 4589, 'name': 'Séamus Coleman'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 23}, {'player': {'id': 3244, 'name': 'John Stones'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 4629, 'name': 'José Ramiro Funes Mori'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 25}, {'player': {'id': 30702, 'name': 'Brendan Joel Zibusiso Galloway'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 32}, {'player': {'id': 3633, 'name': 'Gareth Barry'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 4275, 'name': 'Ross Barkley'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 3607, 'name': 'James McCarthy'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 16}, {'player': {'id': 3726, 'name': 'Gerard Deulofeu Lázaro'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 19}, {'player': {'id': 26696, 'name': 'Arouna Koné'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 9}, {'player': {'id': 3289, 'name': 'Romelu Lukaku Menama'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Everton,29,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,cca5e7d4-3faf-4925-a729-976cef05222e,2,,,,3754056,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Everton,29,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3537, 'name': 'Jack Butland'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4724, 'name': 'Glen Johnson'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 8}, {'player': {'id': 4035, 'name': 'Ryan Shawcross'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 17}, {'player': {'id': 40121, 'name': 'Philipp Wollscheid'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 26}, {'player': {'id': 3467, 'name': 'Erik Pieters'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 3480, 'name': 'Geoff Cameron'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 9625, 'name': 'Glenn Whelan'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 3533, 'name': 'Xherdan Shaqiri'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 22}, {'player': {'id': 4891, 'name': 'Ibrahim Afellay'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 14}, {'player': {'id': 3325, 'name': 'Marko Arnautović'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 4913, 'name': 'Bojan Krkíc Pérez'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 27}]}",Stoke City,30,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,ffd1b57b-bc18-462d-86d8-77785406c8dd,3,,,,3754056,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Everton,29,['6c3a70f7-db46-4ea0-bc4e-9d7042f280d1'],0,,,,,,,,,,,,,,,,,Stoke City,30,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,6c3a70f7-db46-4ea0-bc4e-9d7042f280d1,4,,,,3754056,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Everton,29,['ffd1b57b-bc18-462d-86d8-77785406c8dd'],0,,,,,,,,,,,,,,,,,Everton,29,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,435fa0ef-1932-47f0-b268-a404efcf58a5,1857,,,,3754056,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,90,Stoke City,30,['2a9f90ea-8475-4ccf-9008-e12af2064930'],0,,,,,,,,,,,,,,,,,Stoke City,30,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,2a9f90ea-8475-4ccf-9008-e12af2064930,1858,,,,3754056,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,90,Stoke City,30,['435fa0ef-1932-47f0-b268-a404efcf58a5'],0,,,,,,,,,,,,,,,,,Everton,29,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.318141,,,,,,,,,,,,,,,9e9007e6-89cb-43d1-b9b4-19f1b1e7670a,5,,,"[60.0, 40.0]",3754056,0,,,,1.6295521,,Right Foot,,,,"[59.8, 43.4]",,Ground Pass,,3.4058774,,,,Bojan Krkíc Pérez,4913.0,,,,,,Kick Off,1,From Kick Off,Ibrahim Afellay,4891.0,Center Attacking Midfield,2,Stoke City,30,['552ff10a-01de-4ae4-8882-28fa100f8ca7'],0,,,,,,,,,,,,,,,,,Stoke City,30,00:00:00.565,Pass,
,,,,,,,,,,,,,,,0.605276,,,,,,,,,,,,,,,d66c655c-64b4-4171-a699-ea340e921b80,7,,,"[59.8, 43.6]",3754056,0,,,,-2.4383621,,Right Foot,,,,"[55.2, 39.7]",,Ground Pass,,6.0307546,,,,Glenn Whelan,9625.0,,,,,,,1,From Kick Off,Bojan Krkíc Pérez,4913.0,Center Forward,2,Stoke City,30,['8bbe7182-25a8-4e48-b4ef-ffe96ab02118'],0,,,,,,,,,,,,,,,,,Stoke City,30,00:00:00.883,Pass,
,,,,,,,,,,,,,,,1.535988,,,,,,,,,,,,,,,cfffd9fd-f4b9-413e-8bf1-2db25074ccba,10,,,"[54.4, 40.8]",3754056,0,,,,1.5525613,,Right Foot,,,,"[55.0, 73.7]",,Ground Pass,,32.90547,,,,Xherdan Shaqiri,3533.0,,,,,,,1,From Kick Off,Glenn Whelan,9625.0,Left Defensive Midfield,2,Stoke City,30,['e2e65515-781e-4003-8f05-905745ec2516'],2,,,,,,,,,,,,,,,,,Stoke City,30,00:00:02.365,Pass,
,,,,,,,,,,,,,,,1.522256,,,,,,,,,,,,,,,46ded212-b5f6-4e49-9e48-2b2a4a7bd09e,13,,,"[55.7, 75.0]",3754056,0,,,,-2.8698006,,Right Foot,,,,"[43.5, 71.6]",,Ground Pass,,12.664912,,,,Glen Johnson,4724.0,,,,,,,1,From Kick Off,Xherdan Shaqiri,3533.0,Right Wing,2,Stoke City,30,['8d72a081-a0ef-449d-b17a-ee6a21b2182f'],5,,,,,,,,,,,,,,,,,Stoke City,30,00:00:05.290,Pass,
