ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,1.50565,,,,,,,,,,,,,d4b03425-afe3-4ad9-a953-0deb05ef257a,15,,"[36.2, 77.4]",3754085,0,,,,,-2.7073483,,Right Foot,,,,"[22.4, 71.0]",,Ground Pass,,15.211838,,,,Kyle Bartley,4726.0,,,,,,,1,From Kick Off,Kyle Naughton,3340.0,Right Back,2,Swansea City,26,['dc55b562-e94b-4912-9396-311a693931a2'],6,,,,,,,,,,,,,,,,,Swansea City,26,00:00:06.502,Pass,
,,,,,,,,,,,,,,,,,2.190078,,,,,,,,,,,,,084a2ef2-165a-451d-b42f-55be9fc91264,18,,"[21.7, 70.4]",3754085,0,,,,,-2.2078667,,Right Foot,,,,"[3.2, 45.4]",,Ground Pass,,31.100643,,,,Łukasz Fabiański,3262.0,,,,,,,1,From Kick Off,Kyle Bartley,4726.0,Right Center Back,2,Swansea City,26,['a70fcc01-a246-4192-b762-61686604467a'],8,,,,,,,,,,,,,,,,,Swansea City,26,00:00:08.633,Pass,
,,,,,,,,,,,,,,,,,2.751696,,,,,,,,,,,,,bcbfc372-43ed-4a70-9fc2-32561217e588,21,,"[11.4, 49.8]",3754085,0,,,,,0.28315753,,Right Foot,,,,"[65.7, 65.6]",,High Pass,,56.55201,,Incomplete,,,,,,,,,,1,From Kick Off,Łukasz Fabiański,3262.0,Goalkeeper,2,Swansea City,26,['c66d5647-57ff-4690-8d2a-fe661a69c168'],19,,,,,,,,,,,,,,,,,Swansea City,26,00:00:19.712,Pass,
,,,,,,,,,,,,,,,,,0.979957,,,,,,,,,,,,,aee9e3d9-c91c-471f-8290-b7796a06e52a,24,,"[57.3, 80.0]",3754085,0,,,,,-0.28451848,,,,,,"[67.9, 76.9]",,Low Pass,,11.044003,,,,Bafétimbi Gomis,20521.0,,,,,,Throw-in,1,From Throw In,Kyle Naughton,3340.0,Right Back,3,Swansea City,26,['3caa30aa-62ab-4e8b-87df-191cabcaeb69'],37,,,,,,,,,,,,,,,,,Swansea City,26,00:00:37.758,Pass,
,,,,,,,,,,,,,,,,,1.278541,,,,,,,,,,,,,d230809a-a688-47d3-80e2-3a4f1215e7d6,26,,"[67.9, 76.9]",3754085,0,,,,,2.7928216,,Right Foot,,,,"[60.2, 79.7]",,Low Pass,,8.19329,,,,Kyle Naughton,3340.0,,,,,,,1,From Throw In,Bafétimbi Gomis,20521.0,Center Forward,3,Swansea City,26,['66c78364-8bd1-43e9-a67c-fe085d9d7005'],38,,,,,,,,,,,,,,,,,Swansea City,26,00:00:38.738,Pass,
,,,,,,,,,,,,,,,,,2.061605,,,,,,,,,,,,,d05e5856-6f40-4924-840c-8768c1fc9c53,28,,"[60.2, 79.7]",3754085,0,,,,,-0.1429041,,Right Foot,,,,"[88.0, 75.7]",,High Pass,,28.086296,,Incomplete,,Wayne Routledge,3449.0,,,,,,,1,From Throw In,Kyle Naughton,3340.0,Right Back,3,Swansea City,26,"['ccb1d283-7a03-4136-b68e-046a51222bfa', 'fdf21ccb-35a2-4bee-a36a-ba2bcc9d5f58']",40,,,,,,,,,,,,,,,,,Swansea City,26,00:00:40.017,Pass,
,,,,,,,,,,,,,,,,,3.441321,,,,,,,,,,,,,ccb1d283-7a03-4136-b68e-046a51222bfa,31,,"[32.1, 4.4]",3754085,0,,,,True,-3.0661805,,,,,,"[9.6, 2.7]",,Low Pass,,22.56413,,,,Christian Fuchs,3812.0,,,,,,Recovery,1,Regular Play,Robert Huth,40123.0,Left Center Back,4,Leicester City,22,"['22d405c4-df10-4373-923b-33a95585021f', 'ce204f77-7276-45b1-92f0-c84ad74986ce', 'd05e5856-6f40-4924-840c-8768c1fc9c53']",42,,,,,,,,,,,,,,,,,Leicester City,22,00:00:42.078,Pass,True
,,,,,,,,,,,,,,,,,1.970927,,,,,,,,,,,,,73941b75-ea37-46fd-be09-8e4581cd5365,35,,"[0.1, 3.6]",3754085,0,,,,,0.13113755,,Left Foot,,,,"[41.8, 9.1]",,High Pass,,42.061146,,,,Marc Albrighton,3307.0,,,,,,,1,Regular Play,Christian Fuchs,3812.0,Left Back,4,Leicester City,22,['ad529104-8f4d-4a14-8581-ba2e00f9a502'],47,,,,,,,,,,,,,,,,,Leicester City,22,00:00:47.146,Pass,
,,,,,,,,,,,,,,,,,1.072293,,,,,,,,,,,,,b3022875-81ac-47c8-a029-dac8ff5d6c61,38,,"[40.6, 8.6]",3754085,0,,True,,True,2.9090357,,,,,,"[25.4, 12.2]",,Low Pass,,15.6205,,,,N''Golo Kanté,3961.0,,,,,,,1,Regular Play,Marc Albrighton,3307.0,Left Midfield,4,Leicester City,22,"['0152b4b9-1993-44d6-b14a-9fe3da002827', 'a0618af3-8d56-418b-be8a-39ab417c31ce']",49,,,,,,,,,,,,,,,,,Leicester City,22,00:00:49.117,Pass,True
,,,,,,,,,,,,,,,,,1.05883,,,,,,,,,,,,,03873e6a-e985-4a98-84f2-5b59c6eff912,41,,"[29.6, 0.1]",3754085,0,,,,,0.4191426,,Left Foot,,,,"[49.8, 9.1]",,Low Pass,,22.114248,,Incomplete,,Jamie Vardy,10960.0,,,,,,,1,Regular Play,N''Golo Kanté,3961.0,Left Center Midfield,4,Leicester City,22,"['b4e70cc2-29d0-44ae-9cb7-983710d1ed79', 'e767c25e-2459-4075-9995-b408b311627a']",52,,,,,,,,,,,,,,,,,Leicester City,22,00:00:52.344,Pass,
